;Size;EntryBar;ExitBar;EntryPrice;ExitPrice;PnL;ReturnPct;EntryTime;ExitTime;Tag;Duration
0;141621;131;160;70,61094122314454;73,66000366210938;431811,27166863944;0,043181161249914446;2016-07-12;2016-08-22;;41 days
1;-146417;169;174;71,24721939086913;66,69000244140625;667254,0340895071;0,06396343588458586;2016-09-02;2016-09-12;;10 days
2;-160341;183;194;69,22128060913086;67,55000305175781;267974,3148267515;0,024143984951826902;2016-09-23;2016-10-10;;17 days
3;168413;205;215;67,49472061157226;70,0;421921,6176432806;0,03711815332706481;2016-10-25;2016-11-08;;14 days
4;165337;216;220;71,30232366943359;77,0;942036,7114668584;0,07990870475668577;2016-11-09;2016-11-15;;6 days
5;162683;227;235;78,25619847106934;82,12000274658203;628575,2709532313;0,04937377934274578;2016-11-25;2016-12-07;;12 days
6;-158324;240;264;84,38090304565429;84,87000274658203;-77436,22104968327;-0,005796331673093347;2016-12-14;2017-01-20;;37 days
7;152644;280;285;87,01367633056641;88,54000091552734;232984,2899467765;0,017541203283520712;2017-02-13;2017-02-21;;8 days
8;155286;300;303;87,03372061157226;88,38999938964844;210611,10633233673;0,015583371232963605;2017-03-14;2017-03-17;;3 days
9;152169;305;308;90,20003663635254;93,5;502152,12508287095;0,036584944826036914;2017-03-21;2017-03-24;;3 days
10;151042;311;316;94,19802214050293;92,80000305175781;-211159,5992022398;-0,014841278585020268;2017-03-29;2017-04-05;;7 days
11;138228;339;340;101,40239694213867;102,33999633789062;129602,48927600188;0,009246323795353284;2017-05-09;2017-05-10;;1 days
12;-138195;347;350;102,36485969543457;105,94999694824219;-495448,04265174805;-0,03502312476639391;2017-05-19;2017-05-24;;5 days
13;-130293;361;379;104,77004335021972;100,44999694824219;562871,805852859;0,04123360326898706;2017-06-09;2017-07-06;;27 days
14;138813;389;404;102,39438244628906;100,95999908447266;-199111,0576038201;-0,01400841850448975;2017-07-20;2017-08-10;;21 days
15;-139589;408;419;100,39879847717285;103,70999908447266;-462207,18157237314;-0,032980480419321445;2017-08-16;2017-08-31;;15 days
16;-132251;422;426;102,47464030456543;104,66000366210938;-289016,48939854477;-0,02132589439737309;2017-09-06;2017-09-12;;6 days
17;125148;430;444;105,98153663635254;111,23999786376953;658085,9056887811;0,049616767168228604;2017-09-18;2017-10-06;;18 days
18;120814;450;453;115,23;115,3499984741211;14497,495652465339;0,0010413822279013996;2017-10-16;2017-10-19;;3 days
19;115411;462;465;120,75102214050293;121,33999633789062;67974,10109471178;0,004877591816178528;2017-11-01;2017-11-06;;5 days
20;-114819;466;475;121,9655790863037;125,33000183105469;-386299,655129563;-0,02758501841220551;2017-11-07;2017-11-20;;13 days
21;107579;476;482;126,5826618347168;126,13999938964844;-47621,18317800961;-0,003497022725326815;2017-11-21;2017-11-30;;9 days
22;-106444;486;495;127,48451786804199;133,8800048828125;-680761,2198002321;-0,05016677414421733;2017-12-06;2017-12-19;;13 days
23;-95041;503;511;135,61821939086914;140,11000061035156;-426903,3788808286;-0,03312078008144703;2018-01-02;2018-01-12;;10 days
24;-85459;518;527;145,82775512695312;134,07000732421875;1004805,3694738767;0,08062764041384607;2018-01-24;2018-02-06;;13 days
25;-97684;536;538;137,86371939086914;142,19000244140625;-422608,63350866747;-0,03138086705952925;2018-02-20;2018-02-22;;2 days
26;91796;539;541;142,10364733886718;141,7899932861328;-28792,187424803684;-0,0022072202832796872;2018-02-23;2018-02-27;;4 days
27;99257;566;570;131,1317351074219;132,4600067138672;131840,254840941;0,010129291779424676;2018-04-04;2018-04-10;;6 days
28;95860;576;597;137,15376489257812;139,88999938964844;262295,4388891602;0,01995012312796085;2018-04-18;2018-05-17;;29 days
29;-97502;603;611;137,53437756347657;141,66000366210938;-402256,79586889595;-0,0299970536219476;2018-05-25;2018-06-07;;13 days
30;-95039;619;624;136,86571939086915;129,4499969482422;704782,8452248235;0,054182467864350325;2018-06-19;2018-06-26;;7 days
31;-108154;626;633;126,78592091369629;130,08999633789062;-357348,9734283144;-0,02606027073339967;2018-06-28;2018-07-10;;12 days
32;100176;642;644;133,31610305786134;129,0;-432369,93992431764;-0,032374956654621756;2018-07-23;2018-07-25;;2 days
33;101775;650;653;126,97344122314453;125,30999755859375;-169296,97895965597;-0,013100721288851536;2018-08-02;2018-08-07;;5 days
34;102910;667;680;123,92736030578614;129,82000732421875;606412,3046669001;0,04754920143455599;2018-08-27;2018-09-14;;18 days
35;-111110;697;706;120,23904335021973;112,55000305175781;854329,2675621038;0,06394794971934437;2018-10-09;2018-10-22;;13 days
36;-122191;721;729;116,32687756347656;116,51000213623047;-22376,17466937317;-0,0015742240881002623;2018-11-12;2018-11-23;;11 days
37;131070;769;774;108,27611755371093;113,5999984741211;697801,0722381598;0,049169484838327504;2019-01-24;2019-01-31;;7 days
38;129576;776;779;114,90936030578614;116,41999816894531;195742,4117567133;0,013146342988414661;2019-02-04;2019-02-07;;3 days
39;122859;787;790;122,7850809173584;129,69000244140625;848331,7535229948;0,056235834781061644;2019-02-20;2019-02-25;;5 days
40;-127592;798;814;124,87973725891113;124,01000213623047;110971,24377307153;0,006964581618853494;2019-03-07;2019-03-29;;22 days
41;118911;831;844;134,9293236694336;129,47000122070312;-649173,4917009878;-0,0404606078223988;2019-04-24;2019-05-13;;19 days
42;-119741;851;863;128,5723418273926;133,1300048828125;-545739,1319190352;-0,035448238638591034;2019-05-22;2019-06-10;;19 days
43;109778;870;881;135,27;140,88999938964844;616952,2929968251;0,04154653204441794;2019-06-19;2019-07-05;;16 days
44;-111791;883;903;138,35274487304687;126,58000183105469;1316086,7174073486;0,08509222605445887;2019-07-09;2019-08-06;;28 days
45;131998;924;929;127,14377938842773;133,5;839008,4082863163;0,04999238375755555;2019-09-05;2019-09-12;;7 days
