;top_bottom_idx;top_bottom_value
0;23;40,599325928875906
1;27;42,06471349699634
2;34;46,84479578895503
3;39;42,021619851947065
4;43;46,75150301113238
5;52;54,28195989994335
6;57;55,46283475578977
7;63;60,53290822136188
8;66;57,55258070410059
9;71;57,36964481732238
10;76;41,26095242734408
11;81;28,55998447264676
12;85;28,977270967985646
13;93;28,855723955886162
14;113;39,73128008601732
15;121;35,38851286043101
16;136;62,052122221994416
17;145;80,7037750358521
18;160;61,27048251257366
19;173;31,340171480662605
20;176;33,56888768471977
21;180;43,499212567568556
22;184;41,655730522719274
23;187;47,26257849974384
24;190;47,576114532303066
25;195;50,862066535563656
26;199;49,794809494287854
27;202;46,23338673169886
28;207;61,11708879690628
29;213;55,32380761356894
30;219;52,931326815120386
31;226;47,4190728787137
32;231;47,64151565825114
33;236;52,08654234211235
34;242;61,96928047615159
35;246;61,649098809140646
36;250;59,28206921942595
37;256;58,61601520910186
38;260;47,77778585121701
39;264;41,43971441718247
40;273;53,36371750549368
41;276;53,386911344450404
42;290;35,98135200351284
43;301;50,26547585128491
44;305;46,831498699935736
45;308;52,55682772596979
46;312;56,23986813583592
47;319;56,02407700474461
48;322;52,12762158301409
49;325;51,04364518669507
50;330;71,6322861388497
51;336;71,27059480592013
52;341;68,34970393852896
53;345;60,43957802826304
54;350;55,240439024527916
55;354;52,485504165733204
56;361;54,10236275617494
57;365;51,95842438088176
58;379;36,02266247959016
59;388;60,53558476722811
60;392;61,05340964981241
61;395;63,455122554905905
62;399;66,14089908102318
63;404;51,44445753687332
64;410;41,47780444519945
65;421;54,068253558224185
66;428;57,6204483274181
67;436;52,20001556398859
68;440;49,1489560294625
69;452;63,99996062255737
70;458;89,66065930598592
71;461;88,02125396785638
72;477;66,51127277555938
73;481;47,42748498028059
74;484;38,7585043835838
75;492;51,83907935099261
76;497;55,08571079799107
77;501;52,69924064014326
78;512;63,61162881504723
79;522;75,28817734937851
80;526;52,07846622470113
81;529;44,619513800810715
82;532;50,35417815559496
83;538;49,74297240269702
84;544;47,08507133434681
85;559;39,839199918219926
86;571;43,34147039463678
87;578;53,34927894896841
88;581;47,4750911019881
89;584;53,9267024072143
90;587;53,39578203267777
91;591;58,299269843042296
92;597;49,387366067785045
93;604;56,713668520919754
94;617;60,19150725992969
95;625;48,67005866042153
96;629;42,410208716608125
97;640;58,867744950204404
98;649;62,98137509339306
99;652;65,19843605524181
100;659;53,706130110575074
101;665;40,778319586351245
102;675;46,3800924503485
103;683;61,51643338871949
104;690;56,46671537382746
105;699;37,60684819625149
106;708;32,52664519474308
107;712;36,211700496282624
108;723;42,19518457293747
109;727;41,1804017310062
110;739;44,6354009496563
111;746;44,25861472990975
112;749;39,21709673004279
113;755;35,04766637142443
114;762;41,24096611392041
115;767;52,51707350024849
116;772;52,966964391591404
117;775;52,42123278905977
118;780;52,29659132636625
119;784;53,432618004817634
120;787;48,971349130271484
121;798;60,39342622007654
122;812;62,02943285746454
123;826;60,55405584945768
124;829;61,61415460308449
125;837;67,56754279883964
126;841;61,57676435243868
127;844;55,427743846503816
128;858;39,64899291633369
129;864;56,843858755935585
130;868;56,77734038023512
131;874;61,064930606352284
132;883;63,77999087464606
133;891;52,69251566525653
134;902;40,10607097254967
135;907;45,02399173436289
136;916;42,30420797815555
137;922;48,980559712709606
138;927;47,833021071772556
