;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades
0;21;3;50;2;3;3;6;0,02;0,05;PHM;18,353910859534935;0,9680675296923457;-13,11998085303452;39.333333333333336
1;21;3;50;2;3;4;6;0,02;0,05;PHM;21,17003093030807;1,060645652757864;-11,510391595323258;39.333333333333336
2;21;3;100;2;3;3;6;0,02;0,05;PHM;10,13308867677989;0,6654909469573388;-15,777780660380218;35.333333333333336
3;21;3;100;2;3;4;6;0,02;0,05;PHM;12,49973382607267;0,810456129503093;-16,19223733671696;34.0
4;21;4;50;2;3;3;6;0,02;0,05;PHM;10,919991927669718;0,7577638841502986;-19,811825786567834;25.333333333333332
5;21;4;50;2;3;4;6;0,02;0,05;PHM;13,128959278749184;0,9089837972333964;-17,773052407682215;25.0
6;21;4;100;2;3;3;6;0,02;0,05;PHM;5,964339602336199;0,5022709961964383;-16,262035137063666;23.0
7;21;4;100;2;3;4;6;0,02;0,05;PHM;7,407048955597369;0,635278814172094;-12,325320147292748;22.0
8;28;3;50;2;3;3;6;0,02;0,05;PHM;18,91678161660566;0,9191595678741606;-15,0088830222055;41.666666666666664
9;28;3;50;2;3;4;6;0,02;0,05;PHM;17,07264415872363;0,9210290399326375;-14,881275642812245;34.625
10;28;3;50;2;3;4;6;0,02;0,07;PHM;15,82404887986633;0,8101408418624834;-15,899078124247424;28.8
11;28;3;50;2;3;4;6;0,02;0,09;PHM;15,677965346777643;0,770907721007054;-16,743675705004318;27.6
12;28;3;50;2;3;4;6;0,02;0,11;PHM;19,27682483657551;0,8930658161234039;-16,29091323630012;26.2
13;28;3;50;2;3;4;6;0,02;0,13;PHM;14,189551076869867;0,6746861315770322;-20,052789381222492;25.6
14;28;3;50;2;3;4;6;0,03;0,05;PHM;16,388706323331906;0,8698961547626398;-14,208006354663913;29.0
15;28;3;50;2;3;4;6;0,03;0,07;PHM;17,262264283014634;0,8373057165899253;-16,230717231771273;26.8
16;28;3;50;2;3;4;6;0,03;0,09;PHM;18,088182595711608;0,8201287978497126;-17,743099987202065;25.2
17;28;3;50;2;3;4;6;0,03;0,11;PHM;23,272730984577287;0,991085582784228;-16,661362900434202;24.0
18;28;3;50;2;3;4;6;0,03;0,13;PHM;17,706071228049414;0,7781990487172019;-20,741184600364512;23.4
19;28;3;50;2;3;4;6;0,04;0,05;PHM;15,25112377807857;0,7779642178140431;-15,809803142795056;28.6
20;28;3;50;2;3;4;6;0,04;0,07;PHM;17,230828935111873;0,8335790697145271;-16,62363915031578;26.6
21;28;3;50;2;3;4;6;0,04;0,09;PHM;18,113345109818848;0,779642040619283;-18,396408523344714;25.2
22;28;3;50;2;3;4;6;0,04;0,11;PHM;24,335044262738613;1,0220494523756902;-15,950738357227015;23.6
23;28;3;50;2;3;4;6;0,04;0,13;PHM;17,31835476485174;0,7374308731858173;-21,594193041229133;23.0
24;28;3;50;2;3;4;6;0,05;0,05;PHM;15,957393332434368;0,7846937232959806;-16,290744356354246;27.8
25;28;3;50;2;3;4;6;0,05;0,07;PHM;17,76198949905379;0,8191466114560129;-17,080040771482814;25.8
26;28;3;50;2;3;4;6;0,05;0,09;PHM;17,509723803308123;0,7398166493395364;-19,653962342184652;24.4
27;28;3;50;2;3;4;6;0,05;0,11;PHM;21,96652525439408;0,904232451103067;-17,06245073896326;22.6
28;28;3;50;2;3;4;6;0,05;0,13;PHM;15,332063709921844;0,5807625807225855;-22,57930712314704;21.8
29;28;3;60;2;3;4;6;0,02;0,05;PHM;18,344550100200895;0,9387347991709625;-14,887659999066614;30.0
30;28;3;60;2;3;4;6;0,02;0,07;PHM;18,86932531141627;0,908854351216927;-15,459444450695983;29.0
31;28;3;60;2;3;4;6;0,02;0,09;PHM;21,69974579280428;0,9914343714721678;-15,959382988482513;27.8
32;28;3;60;2;3;4;6;0,02;0,11;PHM;22,956756376923884;0,9888626993564319;-15,227157379706037;26.4
33;28;3;60;2;3;4;6;0,02;0,13;PHM;23,048498033438293;0,9596985102770411;-17,169671268389283;25.8
34;28;3;60;2;3;4;6;0,03;0,05;PHM;19,94321082805388;0,9672878935885075;-14,662809819588114;28.8
35;28;3;60;2;3;4;6;0,03;0,07;PHM;20,96727979972799;0,9564790198469353;-15,439013055524743;27.6
36;28;3;60;2;3;4;6;0,03;0,09;PHM;22,998828610938812;0,9729700882767244;-17,157497318617313;26.0
37;28;3;60;2;3;4;6;0,03;0,11;PHM;25,53953450674729;1,0251277671386358;-17,099124372667823;24.2
38;28;3;60;2;3;4;6;0,03;0,13;PHM;27,306749227125273;1,0300019579035529;-18,30901956452892;23.6
39;28;3;60;2;3;4;6;0,04;0,05;PHM;19,830083257395255;0,9446354977117805;-14,967790380862454;28.6
40;28;3;60;2;3;4;6;0,04;0,07;PHM;20,277308267984615;0,9218503395324064;-16,38460114565185;27.2
41;28;3;60;2;3;4;6;0,04;0,09;PHM;21,672125288713154;0,9169831103333485;-17,867593082405875;25.8
42;28;3;60;2;3;4;6;0,04;0,11;PHM;24,155707642042337;0,9716127853330179;-17,336419898820157;24.0
43;28;3;60;2;3;4;6;0,04;0,13;PHM;25,75597861318214;0,9708990981540833;-18,45177876862006;23.4
44;28;3;60;2;3;4;6;0,05;0,05;PHM;20,1046339047631;0,9279179711423282;-15,065067381849385;28.4
45;28;3;60;2;3;4;6;0,05;0,07;PHM;21,33204894577103;0,9222226366292776;-16,36405396676979;27.0
46;28;3;60;2;3;4;6;0,05;0,09;PHM;22,797092196170695;0,9449974327194685;-18,02250288124597;24.8
47;28;3;60;2;3;4;6;0,05;0,11;PHM;23,28883985112727;0,9019049795626618;-17,933994866568064;23.0
48;28;3;60;2;3;4;6;0,05;0,13;PHM;24,228162728325948;0,8282922640332011;-21,454668201022194;22.2
49;28;3;70;2;3;4;6;0,02;0,05;PHM;22,78475509830951;1,0833124079545104;-13,12750118456728;33.6
50;28;3;70;2;3;4;6;0,02;0,07;PHM;22,43106112984912;0,9759308892345615;-13,744402511529998;30.8
51;28;3;70;2;3;4;6;0,02;0,09;PHM;25,999556014402764;1,0457745797719404;-14,634491689656636;29.0
52;28;3;70;2;3;4;6;0,02;0,11;PHM;25,85844881439791;1,0339758030341621;-15,437775146465771;27.6
53;28;3;70;2;3;4;6;0,02;0,13;PHM;27,026193806008962;1,0335572741938281;-16,401071511212226;26.8
54;28;3;70;2;3;4;6;0,03;0,05;PHM;22,5777706090013;1,0426284807511155;-14,203986803298832;32.6
55;28;3;70;2;3;4;6;0,03;0,07;PHM;23,037916419311216;0,9700655116792738;-15,699436641597833;29.8
56;28;3;70;2;3;4;6;0,03;0,09;PHM;26,867537478627234;1,0208327260021375;-17,238962939921947;27.6
57;28;3;70;2;3;4;6;0,03;0,11;PHM;27,138614376705114;0,9983386333185656;-17,988741943890734;26.4
58;28;3;70;2;3;4;6;0,03;0,13;PHM;27,638033820730264;0,9749756664695457;-19,7733691996584;25.4
59;28;3;70;2;3;4;6;0,04;0,05;PHM;21,991581646991026;0,9802806778362004;-16,14239302567403;32.4
60;28;3;70;2;3;4;6;0,04;0,07;PHM;22,380048152343704;0,9375696511362577;-17,96474686662301;29.4
61;28;3;70;2;3;4;6;0,04;0,09;PHM;25,608848028503168;0,9602404926312202;-18,511787837889848;27.4
62;28;3;70;2;3;4;6;0,04;0,11;PHM;25,077182114301927;0,9002705835639441;-19,34319401010223;26.0
63;28;3;70;2;3;4;6;0,04;0,13;PHM;25,838793214233657;0,8746867579584855;-21,300339511826238;25.2
64;28;3;70;2;3;4;6;0,05;0,05;PHM;23,17130856066533;1,0087902592436073;-15,247796471825783;31.6
65;28;3;70;2;3;4;6;0,05;0,07;PHM;24,275893800222;0,9561913366071024;-17,135507557586855;28.8
66;28;3;70;2;3;4;6;0,05;0,09;PHM;27,328312368266694;1,0044367707732267;-18,01267944459665;26.6
67;28;3;70;2;3;4;6;0,05;0,11;PHM;25,36144753819261;0,9140793955446354;-18,845800171297274;24.8
68;28;3;70;2;3;4;6;0,05;0,13;PHM;25,00553797309216;0,847291829265415;-22,95189559693373;24.0
69;28;3;80;2;3;4;6;0,02;0,05;PHM;17,459225968514403;0,9714655975194569;-12,037625775402269;30.4
70;28;3;80;2;3;4;6;0,02;0,07;PHM;18,234838792981805;0,8787843153016173;-13,560431093750097;28.8
71;28;3;80;2;3;4;6;0,02;0,09;PHM;20,710437741923382;0,9250923652378356;-16,53793055165732;27.4
72;28;3;80;2;3;4;6;0,02;0,11;PHM;20,64136099088309;0,839607768316478;-17,88584787478542;26.0
73;28;3;80;2;3;4;6;0,02;0,13;PHM;19,487074035744712;0,7662410975615221;-19,61281598013945;25.4
74;28;3;80;2;3;4;6;0,03;0,05;PHM;16,93981303524958;0,8928441394011862;-14,21021585539388;29.2
75;28;3;80;2;3;4;6;0,03;0,07;PHM;18,28067757670457;0,8448750365874232;-13,720008681673496;27.4
76;28;3;80;2;3;4;6;0,03;0,09;PHM;21,68689963386401;0,923525008629765;-17,722092280776977;25.8
77;28;3;80;2;3;4;6;0,03;0,11;PHM;22,074463292128073;0,8320338765630793;-20,26080000244466;24.6
78;28;3;80;2;3;4;6;0,03;0,13;PHM;20,760793130042277;0,7312852420670221;-22,419711085301905;23.8
79;28;3;80;2;3;4;6;0,04;0,05;PHM;16,6037997235618;0,861689910168279;-14,67947754168701;28.6
80;28;3;80;2;3;4;6;0,04;0,07;PHM;17,885365476325223;0,8138526349555812;-15,253183045276478;27.0
81;28;3;80;2;3;4;6;0,04;0,09;PHM;21,046110061207006;0,8819593393034808;-19,642063061953543;25.6
82;28;3;80;2;3;4;6;0,04;0,11;PHM;20,858484539857375;0,7661285640470927;-21,37654441297206;24.2
83;28;3;80;2;3;4;6;0,04;0,13;PHM;19,84671588259183;0,664224699714522;-23,297402566703187;23.6
84;28;3;80;2;3;4;6;0,05;0,05;PHM;17,545114744610046;0,8850122157250985;-14,600548039346325;28.2
85;28;3;80;2;3;4;6;0,05;0,07;PHM;18,98287846667956;0,8249851965193546;-15,253178757096872;26.6
86;28;3;80;2;3;4;6;0,05;0,09;PHM;21,39748079938741;0,873570830966964;-19,57832487197662;25.2
87;28;3;80;2;3;4;6;0,05;0,11;PHM;19,711448283443815;0,722794025833107;-21,39355269444399;23.4
88;28;3;80;2;3;4;6;0,05;0,13;PHM;17,489012239052645;0,5639444374765306;-26,125607348778907;22.8
89;28;3;100;2;3;3;6;0,02;0,05;PHM;21,330531295343153;1,0821752406120762;-11,112212824310731;40.666666666666664
90;28;3;100;2;3;4;6;0,02;0,05;PHM;25,265073856354586;1,274304293674582;-9,587815576498393;40.0
91;28;4;50;2;3;3;6;0,02;0,05;PHM;10,985494566688876;0,8072362445544753;-16,39298292490663;26.333333333333332
92;28;4;50;2;3;4;6;0,02;0,05;PHM;10,549258701204067;0,7867050387462579;-16,875778213836245;25.0
93;28;4;100;2;3;3;6;0,02;0,05;PHM;16,003034329850536;0,9710132859198605;-13,593415530273491;30.666666666666668
94;28;4;100;2;3;4;6;0,02;0,05;PHM;18,1851407856609;1,1037026373242997;-13,498884903572852;30.333333333333332
