MAR;21;2;[50, 90];2;2;2;6;0,02;0,05;MAR;;in_sample_3_1x;;;9,650520235;0,662398077;;;-19,93754197;64;;;
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
MAR;21;2;50;2;2;2;6;0,02;0,05;4;01/01/2000;19/08/2005;35304878,22;253,0487822;25,18863695;0,915506858;1,899326602;27,51332414;-16,45601161;107;57,00934579;1,942309066;1,185889129
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
MAR;21;2;90;2;2;2;6;0,02;0,05;4;01/01/2000;19/08/2005;28029455,49;180,2945549;20,14799652;0,821309106;1,63118417;24,53156355;-14,63758979;88;54,54545455;1,911886973;1,178102922
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
MAR;21;2;50;2;2;2;6;0,02;0,05;4;01/01/2008;29/10/2013;66763866,04;567,6386604;38,56036756;1,162223037;2,838452399;33,17811328;-17,75574932;126;59,52380952;2,253977346;1,518217375
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
MAR;21;2;90;2;2;2;6;0,02;0,05;4;01/01/2008;29/10/2013;52498372,33;424,9837233;32,95541613;1,163044855;2,700176009;28,33546444;-18,30655387;90;64,44444444;2,667027975;1,859519625
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
MAR;21;2;50;2;2;2;6;0,02;0,05;4;29/04/2016;18/09/2019;16288517,42;62,88517418;14,08497696;0,913537435;1,565127699;15,41806216;-15,51360851;52;48,07692308;1,960821485;0,942642874
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
MAR;21;2;90;2;2;2;6;0,02;0,05;4;29/04/2016;18/09/2019;17621785,58;76,21785584;16,53522288;1,047801697;1,950010717;15,78087048;-16,69341191;46;58,69565217;2,332742295;1,239254398
MAR;;;;;;;;;;;;;;;;;;;;;;;
MAR;;;;;;;;;;;;;;;;;;;;;;;
