;indice_original_upper_pivot;resist_slope;resist_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;resist_slope_rounded
0;52,0;-1,3269258800414674;147,11233442848342;78,11218866632711;1;52,0;77,0;2,0;28,0;79,0;0,0;-1,32693
1;52,0;-0,27140545961928053;92,2252725665297;78,11218866632711;1;52,0;99,0;3,0;49,0;101,0;10,0;-0,27141
2;52,0;0,05526434354336438;75,23844280207217;78,11218866632711;1;41,0;77,0;3,0;28,0;79,0;1,0;0,05526
3;86,0;-1,2078664637194034;172,76091891914027;68,88440303927158;1;86,0;105,0;2,0;59,0;108,0;14,0;-1,20787
4;86,0;-0,9513323334410881;150,69898371520515;68,88440303927158;1;86,0;112,0;2,0;67,0;116,0;18,0;-0,95133
5;86,0;-0,27140545961928053;92,2252725665297;68,88440303927158;1;52,0;86,0;3,0;36,0;97,0;5,0;-0,27141
6;86,0;-0,14514926740749895;81,36724003631649;68,88440303927158;1;83,0;133,0;4,0;69,0;135,0;20,0;-0,14515
7;86,0;0,2075636367981275;51,03393027463261;68,88440303927158;1;83,0;124,0;2,0;55,0;132,0;13,0;0,20756
8;119,0;0,5937769891727372;-6,5649844967316255;64,09447721482411;1;119,0;148,0;2,0;99,0;148,0;32,0;0,59378
9;119,0;0,8455696500621883;-36,5283111425763;64,09447721482411;1;99,0;148,0;2,0;99,0;148,0;33,0;0,84557
10;142,0;-1,755290087403118;327,00254037703985;77,75134796579707;1;142,0;148,0;2,0;105,0;154,0;34,0;-1,75529
11;142,0;-0,6181345174410863;165,52644944243133;77,75134796579707;1;142,0;172,0;2,0;112,0;180,0;38,0;-0,61813
12;142,0;0,5937769891727372;-6,5649844967316255;77,75134796579707;1;119,0;163,0;2,0;98,0;168,0;31,0;0,59378
13;142,0;1,6285081342846095;-153,49680710261748;77,75134796579707;1;124,0;172,0;2,0;122,0;173,0;45,0;1,62851
14;142,0;1,945436388577926;-198,50061921226845;77,75134796579707;1;133,0;172,0;2,0;131,0;180,0;49,0;1,94544
15;159,0;-1,24736759940045;265,5745094739702;67,2430611692986;1;159,0;181,0;3,0;133,0;182,0;50,0;-1,24737
16;159,0;-0,6181345174410863;165,52644944243133;67,2430611692986;1;142,0;181,0;2,0;133,0;182,0;51,0;-0,61813
17;163,0;-0,08689053926160407;76,28585691242425;62,12269901278279;1;83,0;133,0;3,0;163,0;212,0;63,0;-0,08689
18;181,0;1,1582931608599258;-169,85008813315787;39,8009739824887;1;181,0;227,0;3,0;181,0;230,0;70,0;1,15829
19;191,0;-0,8312561495716833;199,41278895119623;40,642864383004735;1;159,0;191,0;3,0;141,0;191,0;52,0;-0,83126
20;194,0;-2,300159857838954;497,2660980678624;51,035085647105355;1;194,0;197,0;2,0;148,0;197,0;57,0;-2,30016
21;194,0;-0,46308501491980697;140,87357854154791;51,035085647105355;1;159,0;197,0;2,0;147,0;199,0;56,0;-0,46309
22;216,0;0,8708105797807164;-107,75385062004864;80,3412346125861;1;172,0;242,0;4,0;172,0;246,0;66,0;0,87081
23;216,0;0,9143761087639247;-117,16400488042163;80,3412346125861;1;172,0;220,0;3,0;172,0;221,0;67,0;0,91438
24;216,0;1,1582931608599258;-169,85008813315787;80,3412346125861;1;181,0;220,0;3,0;177,0;226,0;69,0;1,15829
25;216,0;1,3320976802491251;-207,39186432122494;80,3412346125861;1;194,0;242,0;3,0;185,0;243,0;72,0;1,3321
26;216,0;1,9056120283682954;-331,2709635149657;80,3412346125861;1;197,0;242,0;2,0;197,0;246,0;82,0;1,90561
27;220,0;0,8708105797807164;-107,75385062004864;83,82447693170897;1;172,0;216,0;2,0;170,0;219,0;65,0;0,87081
28;227,0;-0,36054417305235614;170,9897870348562;89,14625975197134;1;227,0;258,0;4,0;200,0;258,0;83,0;-0,36054
29;227,0;0,7602546886089101;-83,43155456225125;89,14625975197134;1;216,0;258,0;3,0;200,0;258,0;84,0;0,76025
30;239,0;-1,453320063462428;432,1632248428633;84,81972967534307;1;239,0;258,0;2,0;216,0;265,0;91,0;-1,45332
31;239,0;-0,8417880703451338;286,0070784878301;84,81972967534307;1;239,0;269,0;3,0;227,0;280,0;95,0;-0,84179
