;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem
0;50;2;3;3;6;0,01;0,05;CSCO;Media dos resultados por ativo;16,38212772;1,03062161;-13,28505202;39;28;2
0;60;2;3;3;6;0,02;0,05;MSFT;Media dos resultados por ativo;13,01076435;0,946094877;-13,91263391;29;42;3
0;50;2;3;4;6;0,01;0,05;PHM;Media dos resultados por ativo;32,7949105;1,127805669;-14,18759237;51;35;2
0;60;2;3;3;6;0,02;0,05;MAR;Media dos resultados por ativo;10,7603643;0,660843832;-23,14439838;33;28;2
0;50;2;3;3;6;0,01;0,06;YUM;Media dos resultados por ativo;9,69925499;0,436568828;-20,37027395;41;42;2
0;50;2;3;4;6;0,01;0,05;COST;Media dos resultados por ativo;1,496755859;0,102230135;-24,20428164;34,5;28;2
0;60;2;3;3;6;0,01;0,05;HSY;Media dos resultados por ativo;9,820280438;0,83954416;-10,95282282;30,5;28;2
0;90;2;3;3;6;0,02;0,05;K;Media dos resultados por ativo;12,11448827;0,940789638;-9,036244524;26,5;35;2
0;50;2;3;3;6;0,01;0,05;HES;Media dos resultados por ativo;19,14084983;1,181637401;-13,36088015;31;42;3
0;60;2;3;3;6;0,01;0,05;BSX;Media dos resultados por ativo;9,988239262;0,516945829;-20,033386;38,5;35;2
0;60;2;3;3;6;0,01;0,05;CI;Media dos resultados por ativo;-1,523720014;-0,137817377;-21,48622034;25;28;3
0;60;2;3;3;6;0,01;0,05;CVS;Media dos resultados por ativo;8,470609016;0,531699771;-20,62203347;40;42;2
0;50;2;3;3;6;0,01;0,05;BA;Media dos resultados por ativo;20,54772805;1,048811802;-11,95844867;44,5;35;2
0;70;2;3;4;6;0,02;0,05;GE;Media dos resultados por ativo;12,04525968;0,782658435;-17,96829634;30;42;2
0;60;2;3;4;6;0,01;0,05;WM;Media dos resultados por ativo;15,57081217;1,203908713;-9,939823751;29,5;28;2
0;50;2;3;3;6;0,01;0,06;ADBE;Media dos resultados por ativo;32,47019243;1,311649439;-16,68236131;42,5;42;2
