;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem
0;50;2;3;3;6;0,01;0,05;CMI;Media dos resultados por ativo;24,600568342885843;1,3150877866305666;-14,212099588334294;40,0;28;2
0;60;2;3;3;6;0,02;0,05;AFL;Media dos resultados por ativo;-5,194625015723281;-0,4463881368039158;-32,336258059573474;25,0;35;3
0;50;2;3;3;6;0,02;0,05;JNJ;Media dos resultados por ativo;9,468359971953875;0,7435264836007172;-10,164523972379095;34,5;35;2
0;70;2;3;4;6;0,03;0,05;AIG;Media dos resultados por ativo;15,087752992680382;1,0292922826942326;-13,94990023784069;22,0;49;3
0;50;2;3;3;6;0,02;0,05;LLY;Media dos resultados por ativo;22,67651496376233;1,2187791499445444;-13,667741111858678;37,5;42;2
0;60;2;3;3;6;0,02;0,05;NOC;Media dos resultados por ativo;22,58645135229989;1,3478197102904486;-10,982309019936444;33,5;35;2
0;50;2;3;3;6;0,01;0,05;AES;Media dos resultados por ativo;61,12104198187838;1,4527488869210377;-17,790372802017806;50,0;42;2
0;60;2;3;3;6;0,01;0,05;BEN;Media dos resultados por ativo;11,367867584401392;0,7483361094766785;-13,48727055041865;34,0;28;2
0;60;2;3;3;6;0,01;0,05;BAC;Media dos resultados por ativo;17,064458144357342;1,2405408727098828;-9,568024423555803;32,5;28;2
0;50;2;3;3;6;0,02;0,06;CL;Media dos resultados por ativo;10,572909028666476;0,8341386159985079;-14,111432001775391;24,5;49;3
0;50;2;3;3;6;0,01;0,05;COF;Media dos resultados por ativo;34,83939883020294;1,3897647850852883;-9,809950660602452;44,0;35;2
0;70;2;3;3;6;0,01;0,06;MMC;Media dos resultados por ativo;7,971488385164017;0,7632578905936438;-11,742548542938003;21,0;42;3
0;50;2;3;3;6;0,01;0,05;DHR;Media dos resultados por ativo;5,220876152332754;0,3498189560030552;-14,95646749150704;32,5;28;2
0;60;2;3;4;6;0,01;0,05;HAS;Media dos resultados por ativo;16,62668914887453;0,6762310138442122;-15,671401641182731;40,0;42;2
0;60;2;3;3;6;0,02;0,05;PFE;Media dos resultados por ativo;13,958501378960795;0,895747906719026;-12,019114343239556;34,5;28;2
0;50;2;3;3;6;0,02;0,05;MMM;Media dos resultados por ativo;15,214578958706094;0,850825542902593;-13,051558950676606;34,5;49;2
0;50;2;3;3;6;0,01;0,05;ED;Media dos resultados por ativo;6,580546846657909;0,5385278897412873;-12,241128971699682;38,0;42;2
0;70;2;3;4;6;0,01;0,05;ORCL;Media dos resultados por ativo;11,295899267410316;0,5246346398718191;-22,23538822990753;35,0;28;2
0;50;2;3;3;6;0,01;0,07;PNC;Media dos resultados por ativo;10,8052315005551;0,6714879771752033;-15,512191911799428;34,5;28;2
0;50;2;3;4;6;0,02;0,05;MU;Media dos resultados por ativo;15,396546574146862;0,6362349359457257;-19,579062331629054;40,0;28;2
0;60;2;3;3;6;0,01;0,07;MCO;Media dos resultados por ativo;5,314906852641577;0,3437127855309029;-15,557433121425234;35,5;28;2
0;50;2;3;3;6;0,01;0,05;FDX;Media dos resultados por ativo;15,722864659231483;0,8128424570876783;-20,034017580335888;34,0;28;2
0;60;2;3;4;6;0,01;0,05;WY;Media dos resultados por ativo;17,69502319304581;1,1104771878074104;-9,308128662401916;36,0;28;2
0;70;2;3;3;6;0,01;0,06;CINF;Media dos resultados por ativo;10,892028876432205;0,786533383640931;-12,499816121281375;32,5;42;2
0;50;2;3;4;6;0,01;0,05;AEE;Media dos resultados por ativo;11,047670748140382;0,8751803250424788;-12,317067682980088;35,0;42;2
0;60;2;3;3;6;0,01;0,05;TJX;Media dos resultados por ativo;23,33026078534164;1,4114070682741264;-9,66475938348908;39,0;35;2
0;70;2;3;3;6;0,01;0,05;SO;Media dos resultados por ativo;6,417047318665103;0,5467375625671387;-13,94006717820293;27,5;28;2
0;50;2;3;3;6;0,01;0,05;ITW;Media dos resultados por ativo;7,812265188855461;0,7539404375585788;-9,806226035576387;19,5;28;3
