top_bottom_idx;top_bottom_value
30;45,247933884297524
42;41,34078212290503
51;44,550408719346045
64;63,13559322033898
69;61,1731843575419
73;66,97674418604652
77;67,56756756756758
90;54,788069073783355
95;49,65576592082616
100;50,40899795501022
110;53,146067415730336
126;57,544910179640716
140;50,95759233926128
148;51,91458026509573
160;49,12891986062718
176;49,58904109589041
196;48,78752427277453
209;77,98963163992212
218;73,30705552250214
225;70,04539693280346
232;69,11928123221385
239;53,89221223481463
250;58,884685591600075
256;52,40994530527245
266;51,84259816765934
273;52,723914974895685
282;51,06383698260221
290;55,12104653452915
297;56,35359608653804
310;47,678496053133706
317;44,96388722874824
323;42,21755521739043
334;60,047195468323
343;62,2883493159868
348;66,74046256453798
353;67,25763177888685
357;64,24549914792144
370;58,57314708088625
375;60,72507371816369
387;44,41558045226258
413;54,26357149498947
427;71,58702730078713
435;59,238574984344254
447;56,50822083560702
451;56,65235854755946
458;63,0761069219612
467;55,62129910388467
475;56,70275331697766
481;48,96029686848743
487;46,09375436557386
494;54,107640663706405
505;41,965974216554265
512;52,34450546742814
517;49,73592625277204
535;55,43726288685813
543;50,0
555;59,46317048556087
567;58,00921460133597
572;60,59403931221749
577;52,14007707844083
585;46,141905007619506
590;47,71309513683639
608;54,03170745621842
628;48,249905817059975
651;56,83188329737946
665;69,58718532174484
676;60,62153054360169
685;53,481153023355425
696;58,485404953120295
702;54,58294988237729
709;56,03644868616292
715;49,74572208895177
735;46,12612195671818
740;48,663469186164164
747;49,369085600566784
754;60,20787419592544
774;48,67967035938955
778;48,09203053641666
789;45,77425566903237
806;64,1195913080727
813;66,12164012430567
823;74,41709122883911
836;66,26713553521266
844;64,40422804419296
853;64,93392002376876
858;61,95220682664089
867;68,48249561476585
871;62,84797426586359
876;49,01767617057649
890;39,02669053524486
906;35,30182419649799
926;60,675272900289116
942;67,25042881933136
950;62,33229508506496
955;58,41888988368696
962;43,11192524694068
986;64,11824704380446
994;59,08570327448825
1002;43,76026686569053
1008;43,85278687721466
1017;44,40817284890979
1028;70,89665071992245
1032;72,44224921046487
1036;72,97512922396486
1049;70,75976823756147
1061;49,53052070607107
1067;51,4947596384534
1088;69,26576829134686
1101;64,46020358287095
1112;55,790359939158314
1123;63,18343414679367
1128;64,16834456917691
1146;28,583937799127625
1152;26,943943942562925
1172;62,40178550021749
1182;68,63269886382521
1217;57,02703659396171
1225;67,88777705263126
1232;60,69869553327383
1241;67,60391850812594
1248;63,21004681951332
1255;70,31250735255135
1261;64,12166400395535
1265;63,07798990434559
1273;61,369180915819555
1280;65,69954693393981
1286;68,60705959359078
1292;60,59077233597147
1298;63,14244166343173
1311;41,61435858205547
1325;55,36480616428801
1338;48,1790604322881
1358;44,982087000333955
1365;49,547738308154436
1375;64,13156918724502
1390;62,274900880997535
1399;68,53408957745857
