;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem;lookback
0;2;2;2;6;0,01;0,05;ITUB;out_of_sample_final_1;49,21529038795509;1,4247499269417505;-15,302498269044118;80,0;49;2;50
1;2;2;2;6;0,01;0,05;ITUB;out_of_sample_final_2;13,134034798642125;0,6503776082596181;-20,59295422752764;77,0;49;2;50
0;2;2;2;6;0,02;0,05;BRLUSD=X;out_of_sample_final_1;15,13118162018705;2,178750515112045;-2,699185542455451;4,0;49;2;50
1;2;2;2;6;0,02;0,05;BRLUSD=X;out_of_sample_final_2;-12,208162827323676;-1,355408768914258;-44,13174719373397;52,0;49;2;50
0;2;2;3;6;0,01;0,05;EURUSD=X;out_of_sample_final_1;12,408576836919671;1,6553418975923284;-3,820913015792149;21,0;28;3;50
1;2;2;3;6;0,01;0,05;EURUSD=X;out_of_sample_final_2;-2,853191539629496;-0,5346718025560376;-14,10032263400054;39,0;28;3;50
0;2;2;2;6;0,01;0,06;JPYUSD=X;out_of_sample_final_1;3,378584747218793;0,5244152339777659;-10,568989797307914;44,0;21;2;90
1;2;2;2;6;0,01;0,06;JPYUSD=X;out_of_sample_final_2;0,5532615306383271;0,0718905479558239;-11,865345966152008;48,0;21;2;90
0;2;2;2;6;0,01;0,05;VALE3.SA;out_of_sample_final_1;40,18014225924278;1,5634952107134494;-11,266842054141046;99,0;42;2;50
1;2;2;2;6;0,01;0,05;VALE3.SA;out_of_sample_final_2;28,58675578275831;1,2920351325858586;-13,358355751998564;74,0;42;2;50
0;2;2;2;6;0,03;0,07;PETR4.SA;out_of_sample_final_1;27,006789539834706;1,0699305467084788;-20,379145107729315;65,0;49;2;50
1;2;2;2;6;0,03;0,07;PETR4.SA;out_of_sample_final_2;24,005029314036964;0,78903428548501;-19,588915043537526;65,0;49;2;50
