;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;cenario
17;28;1;lookback duplo [60, 100];2;2;0.05;6;0,01;0,05;PNC;25,47313161684668;1,1484773690510404;-17,77396575581288;88,0;Media_dos_resultados_por_ativo
18;28;1;lookback duplo [60, 100];2;2;3;6;0,03;0,05;WM;29,40977263164931;1,4518847894473121;-13,766218389479222;56,0;Media_dos_resultados_por_ativo
19;35;1;lookback duplo [50, 90];2;2;0.05;6;0,01;0,05;COF;61,10012881288461;1,3977178888272532;-15,945541282044669;114,5;Media_dos_resultados_por_ativo
20;35;1;lookback duplo [50, 90];2;2;0.05;6;0,01;0,05;TJX;28,133951513171205;1,128425787758315;-15,07355257009348;97,0;Media_dos_resultados_por_ativo
21;35;1;lookback duplo [50, 90];2;2;0.05;6;0,02;0,05;MCO;22,563982776245073;1,0953103550662737;-13,180133850862308;92,5;Media_dos_resultados_por_ativo
22;35;1;lookback duplo [50, 90];2;2;0.05;6;0,02;0,05;NOC;37,34847579075039;1,554443767017104;-10,3659106550761;76,0;Media_dos_resultados_por_ativo
23;35;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;ADBE;54,627190569084306;1,2678246883053501;-23,759303942168497;97,0;Media_dos_resultados_por_ativo
24;35;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;HPQ;34,35104014333571;1,129012371483659;-22,556845244160797;88,5;Media_dos_resultados_por_ativo
25;35;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;NEE;36,78081498604226;1,610842709297365;-11,91410725705701;70,5;Media_dos_resultados_por_ativo
26;35;1;lookback duplo [50, 90];2;2;3;6;0,01;0,06;K;18,84559440290814;0,9822399106884343;-12,732221223668255;66,5;Media_dos_resultados_por_ativo
27;35;1;lookback duplo [70, 110];2;2;3;6;0,01;0,05;BSX;29,16362958745674;0,9318684483821345;-17,509190489657307;68,5;Media_dos_resultados_por_ativo
28;42;1;lookback duplo [50, 90];2;2;0.06;6;0,01;0,06;ED;21,262793742629015;1,225267692450492;-10,540296588256641;84,5;Media_dos_resultados_por_ativo
29;42;1;lookback duplo [50, 90];2;2;0.06;6;0,02;0,06;LLY;52,84436924637113;1,6345602177155654;-13,901728139656067;84,0;Media_dos_resultados_por_ativo
30;42;1;lookback duplo [50, 90];2;2;0.07;6;0,01;0,07;AES;104,75308764392719;1,5691161778223142;-24,114311909731388;104,5;Media_dos_resultados_por_ativo
31;42;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;CSCO;42,20652218051026;1,2287353529773406;-16,02077414269847;83,0;Media_dos_resultados_por_ativo
32;42;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;CVS;19,38761391541309;0,8098020134297916;-26,031886957313766;80,0;Media_dos_resultados_por_ativo
33;42;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;GE;30,778865733435538;1,3564417673731561;-14,008714129846274;75,5;Media_dos_resultados_por_ativo
34;42;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;PHM;57,520505208471015;1,4385643364424094;-12,304655213439073;90,5;Media_dos_resultados_por_ativo
35;42;1;lookback duplo [60, 100];2;2;3;6;0,03;0,05;MSFT;18,702532599847707;0,845249243717855;-14,265776455992523;58,5;Media_dos_resultados_por_ativo
36;42;1;lookback duplo [70, 110];2;2;4;6;0,01;0,06;COST;24,685496960151934;1,1155733072837482;-12,320028428543479;58,5;Media_dos_resultados_por_ativo
37;49;1;lookback duplo [50, 90];2;2;0.05;6;0,01;0,05;PFE;28,88942134769715;1,165862162656849;-11,785829192669839;95,5;Media_dos_resultados_por_ativo
38;49;1;lookback duplo [50, 90];2;2;0.05;6;0,01;0,05;SO;23,831075436860004;1,2869050450529;-13,190239135785799;79,5;Media_dos_resultados_por_ativo
39;49;1;lookback duplo [60, 100];2;2;0.05;6;0,01;0,05;AIG;33,27186591014283;1,3050194833334077;-15,653585285267063;88,5;Media_dos_resultados_por_ativo
40;56;1;lookback duplo [50, 90];2;2;0.06;6;0,01;0,06;CL;14,760238830236915;0,9488260713756971;-12,699067037327088;65,0;Media_dos_resultados_por_ativo
41;56;1;lookback duplo [50, 90];2;2;4;6;0,02;0,05;YUM;18,775850922162405;1,1002999798408415;-20,01365473766395;53,5;Media_dos_resultados_por_ativo
42;56;1;lookback duplo [60, 100];2;2;0.06;6;0,01;0,06;CINF;20,00452181504533;0,9468777236357447;-13,503953458250471;82,5;Media_dos_resultados_por_ativo
43;56;1;lookback duplo [60, 100];2;2;3;6;0,01;0,06;MAR;29,93011431545247;1,3619161955094583;-11,587859241383224;59,5;Media_dos_resultados_por_ativo
44;63;1;lookback duplo [50, 90];2;2;0.05;6;0,02;0,05;ITW;27,456104917436676;1,3098710820480177;-13,538959074039557;82,5;Media_dos_resultados_por_ativo
45;63;1;lookback duplo [50, 90];2;2;0.06;6;0,01;0,06;AEE;32,86437491960731;1,7815563647436647;-7,890664789227592;80,0;Media_dos_resultados_por_ativo
46;63;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;AEP;27,046828991642236;1,2714006249660206;-10,095239625068874;61,0;Media_dos_resultados_por_ativo
47;63;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;BA;23,64732444536346;0,9961543254602341;-19,426729067737448;76,0;Media_dos_resultados_por_ativo
48;63;1;lookback duplo [50, 90];2;2;3;6;0,01;0,05;VMC;22,90858219033791;1,110340488261984;-14,076468298972088;62,5;Media_dos_resultados_por_ativo
49;63;1;lookback duplo [70, 110];2;2;0.06;6;0,01;0,06;MMC;14,409095022711824;0,5625111307839321;-18,08552984012732;71,5;Media_dos_resultados_por_ativo
