indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela
264,0;671,0;19,04763084321273;0,0026519316050976176;17,26818473619223;586,0;675,0
265,0;671,0;19,04763084321273;2,538304100774238;-1684,1544207763009;591,0;680,0
266,0;671,0;19,04763084321273;0,0026519316050976176;17,26818473619223;591,0;680,0
267,0;671,0;19,04763084321273;2,538304100774238;-1684,1544207763009;593,0;682,0
268,0;671,0;19,04763084321273;0,0026519316050976176;17,26818473619223;593,0;682,0
269,0;671,0;19,04763084321273;2,538304100774238;-1684,1544207763009;596,0;685,0
270,0;671,0;19,04763084321273;0,0026519316050976176;17,26818473619223;596,0;685,0
271,0;671,0;19,04763084321273;2,2690985449554915;-1503,517492821922;604,0;693,0
272,0;671,0;19,04763084321273;0,0026519316050976176;17,26818473619223;604,0;693,0
273,0;671,0;19,04763084321273;1,3330419553528383;-875,4235211985418;610,0;699,0
274,0;671,0;19,04763084321273;-0,15266218356606193;121,48395601604028;610,0;699,0
275,0;671,0;19,04763084321273;0,9416044427082199;-612,7689502140029;613,0;702,0
276,0;671,0;19,04763084321273;-0,15266218356606193;121,48395601604028;613,0;702,0
277,0;671,0;19,04763084321273;0,9416044427082199;-612,7689502140029;615,0;704,0
278,0;671,0;19,04763084321273;-0,22426323108381527;169,52825890045278;615,0;704,0
279,0;671,0;19,04763084321273;0,8146450902295967;-527,5792247008467;619,0;708,0
280,0;671,0;19,04763084321273;-0,22426323108381527;169,52825890045278;619,0;708,0
281,0;671,0;19,04763084321273;0,8146450902295967;-527,5792247008467;630,0;719,0
282,0;671,0;19,04763084321273;-0,22426323108381527;169,52825890045278;630,0;719,0
283,0;671,0;19,04763084321273;0,8146450902295967;-527,5792247008467;635,0;724,0
284,0;671,0;19,04763084321273;-0,6457686970765679;452,3584265815898;635,0;724,0
285,0;671,0;19,04763084321273;0,5715236474324505;-364,44473658396157;639,0;728,0
286,0;671,0;19,04763084321273;-0,6457686970765679;452,3584265815898;639,0;728,0
287,0;671,0;19,04763084321273;0,5715236474324505;-364,44473658396157;644,0;733,0
288,0;671,0;19,04763084321273;-1,8224079456424516;1241,8833623692979;644,0;733,0
289,0;671,0;19,04763084321273;0,24750605460775366;-147,02893179858995;653,0;742,0
290,0;671,0;19,04763084321273;-1,8224079456424516;1241,8833623692979;653,0;742,0
291,0;734,0;34,64051228350121;0,24750605460775366;-147,02893179858998;658,0;747,0
292,0;734,0;34,64051228350121;0,24750605460775366;-147,02893179858998;659,0;748,0
293,0;734,0;34,64051228350121;2,495857002794935;-1797,3185277679809;668,0;757,0
294,0;734,0;34,64051228350121;0,24750605460775366;-147,02893179858998;668,0;757,0
295,0;734,0;34,64051228350121;1,3431860108462033;-951,2580196776121;671,0;760,0
296,0;734,0;34,64051228350121;0,24750605460775366;-147,02893179858998;671,0;760,0
297,0;734,0;34,64051228350121;1,3431860108462033;-951,2580196776121;676,0;765,0
298,0;734,0;34,64051228350121;0,05002346442098777;-2,0767106015038124;676,0;765,0
299,0;734,0;34,64051228350121;0,6544565527236799;-445,7305974156798;680,0;769,0
300,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;680,0;769,0
301,0;734,0;34,64051228350121;0,4110471574774416;-267,0681013049409;683,0;772,0
302,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;683,0;772,0
303,0;734,0;34,64051228350121;0,4110471574774416;-267,0681013049409;685,0;774,0
304,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;685,0;774,0
305,0;734,0;34,64051228350121;0,4110471574774416;-267,0681013049409;686,0;775,0
306,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;686,0;775,0
307,0;734,0;34,64051228350121;0,32883802029322073;-206,72659461172282;691,0;780,0
308,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;691,0;780,0
309,0;734,0;34,64051228350121;0,21228831862955327;-121,1791135905909;694,0;783,0
310,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;694,0;783,0
311,0;734,0;34,64051228350121;0,21228831862955327;-121,1791135905909;698,0;787,0
312,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;698,0;787,0
313,0;734,0;34,64051228350121;-0,005358241045952217;38,57346121123014;700,0;789,0
314,0;734,0;34,64051228350121;-0,344519041124997;287,517488469249;700,0;789,0
315,0;734,0;34,64051228350121;-0,005358241045952217;38,57346121123014;705,0;794,0
316,0;734,0;34,64051228350121;-0,4174155733626831;341,0235431317106;705,0;794,0
317,0;734,0;34,64051228350121;-0,12436701608324342;125,92590208860189;709,0;798,0
318,0;734,0;34,64051228350121;-0,806416887328917;626,5505075829262;709,0;798,0
319,0;734,0;34,64051228350121;-0,12436701608324342;125,92590208860189;713,0;802,0
320,0;734,0;34,64051228350121;-1,6965995023404277;1279,9445470013752;713,0;802,0
321,0;734,0;34,64051228350121;-0,24898787309372844;217,39761113429788;717,0;806,0
322,0;734,0;34,64051228350121;-1,6965995023404277;1279,9445470013752;717,0;806,0
323,0;734,0;34,64051228350121;-0,24898787309372844;217,39761113429788;724,0;813,0
324,0;734,0;34,64051228350121;-1,6965995023404277;1279,9445470013752;724,0;813,0
325,0;734,0;34,64051228350121;-0,24898787309372844;217,39761113429788;725,0;814,0
326,0;734,0;34,64051228350121;-1,6965995023404277;1279,9445470013752;725,0;814,0
