indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela
0,0;44,0;18,13184984821534;2,1674182097412444;-77,23455138039942;24,0;73,0
1,0;44,0;18,13184984821534;-1,5100360751417052;84,57343715445037;24,0;73,0
2,0;44,0;18,13184984821534;0,8659101170699277;-19,96819530286148;26,0;75,0
3,0;44,0;18,13184984821534;-1,5100360751417052;84,57343715445037;26,0;75,0
4,0;44,0;18,13184984821534;0,8659101170699277;-19,96819530286148;29,0;78,0
5,0;44,0;18,13184984821534;-1,9183577184538578;102,53958946018508;29,0;78,0
6,0;44,0;18,13184984821534;0,8659101170699277;-19,96819530286148;31,0;80,0
7,0;44,0;18,13184984821534;-2,4141354693546306;124,35381049981909;31,0;80,0
8,0;44,0;18,13184984821534;0,8659101170699277;-19,96819530286148;36,0;85,0
9,0;44,0;18,13184984821534;-2,4141354693546306;124,35381049981909;36,0;85,0
10,0;44,0;18,13184984821534;0,8659101170699277;-19,96819530286148;37,0;86,0
11,0;44,0;18,13184984821534;0,646839355155438;-10,329081778623934;40,0;89,0
12,0;44,0;18,13184984821534;0,646839355155438;-10,329081778623934;44,0;93,0
13,0;73,0;43,24324324324324;0,19304991976113786;29,15059910068018;54,0;103,0
14,0;73,0;43,24324324324324;-4,12320423817012;344,23715262966203;54,0;103,0
15,0;73,0;43,24324324324324;0,19304991976113786;29,15059910068018;67,0;116,0
16,0;73,0;43,24324324324324;-4,12320423817012;344,23715262966203;67,0;116,0
17,0;117,0;42,79071693748711;-0,010284688767184781;43,99402552324773;70,0;119,0
18,0;117,0;42,79071693748711;0,07334550256268813;34,2092931376526;73,0;122,0
19,0;117,0;42,79071693748711;-0,010284688767184781;43,99402552324773;73,0;122,0
20,0;117,0;42,79071693748711;0,07334550256268813;34,2092931376526;74,0;123,0
21,0;117,0;42,79071693748711;-0,10517417274706868;55,09609514889415;74,0;123,0
22,0;87,0;45,94594211989917;-0,10517417274706868;55,09609514889415;81,0;130,0
23,0;87,0;45,94594211989917;-1,207592627184;151,00650068490717;81,0;130,0
24,0;87,0;45,94594211989917;-0,10517417274706868;55,09609514889415;87,0;136,0
25,0;117,0;42,79071693748711;0,07334550256268813;34,2092931376526;90,0;139,0
26,0;117,0;42,79071693748711;-0,31706079954451644;79,88683048419554;90,0;139,0
27,0;117,0;42,79071693748711;0,07334550256268813;34,2092931376526;94,0;143,0
28,0;117,0;42,79071693748711;-1,224132272898331;186,01419286659183;94,0;143,0
29,0;120,0;43,010753445175176;0,6985218725377704;-40,81187125935727;104,0;153,0
30,0;120,0;43,010753445175176;0,07334550256268813;34,2092931376526;104,0;153,0
31,0;120,0;43,010753445175176;0,6985218725377704;-40,81187125935727;107,0;156,0
32,0;120,0;43,010753445175176;0,07334550256268813;34,2092931376526;107,0;156,0
33,0;157,0;41,87725640301999;-0,022836513361678003;45,46258900080344;113,0;162,0
34,0;117,0;42,79071693748711;-0,022836513361678003;45,46258900080344;117,0;166,0
35,0;120,0;43,010753445175176;-0,030635055193383363;46,68696006838118;120,0;169,0
36,0;124,0;45,97701062923506;-0,12423497655197178;61,38214772167956;124,0;173,0
37,0;157,0;41,87725640301999;0,14793863132671348;18,650891284725976;125,0;174,0
38,0;157,0;41,87725640301999;-1,376770921773975;258,03029112153405;125,0;174,0
39,0;157,0;41,87725640301999;-0,07252171024653681;53,26316491172627;131,0;180,0
40,0;157,0;41,87725640301999;-1,376770921773975;258,03029112153405;131,0;180,0
41,0;157,0;41,87725640301999;-0,07252171024653681;53,26316491172627;137,0;186,0
42,0;157,0;41,87725640301999;-1,376770921773975;258,03029112153405;137,0;186,0
43,0;157,0;41,87725640301999;-0,07252171024653681;53,26316491172627;141,0;190,0
44,0;157,0;41,87725640301999;-1,376770921773975;258,03029112153405;141,0;190,0
45,0;157,0;41,87725640301999;-0,41245188030521995;106,63220161093952;144,0;193,0
46,0;157,0;41,87725640301999;-1,376770921773975;258,03029112153405;144,0;193,0
47,0;191,0;27,853892472642514;-0,41245188030521995;106,63220161093952;147,0;196,0
48,0;191,0;27,853892472642514;2,757408676660481;-498,81116476950933;153,0;202,0
49,0;191,0;27,853892472642514;-0,41245188030521995;106,63220161093952;153,0;202,0
50,0;191,0;27,853892472642514;1,1050901996205986;-183,21833565489183;157,0;206,0
51,0;191,0;27,853892472642514;-0,41245188030521995;106,63220161093952;157,0;206,0
52,0;191,0;27,853892472642514;1,1050901996205986;-183,21833565489183;163,0;212,0
53,0;191,0;27,853892472642514;-0,5636595298183078;135,51286266793932;163,0;212,0
54,0;191,0;27,853892472642514;1,1050901996205986;-183,21833565489183;166,0;215,0
55,0;191,0;27,853892472642514;-0,6459479268185255;151,22994649498088;166,0;215,0
56,0;191,0;27,853892472642514;1,1050901996205986;-183,21833565489183;167,0;216,0
57,0;191,0;27,853892472642514;-0,6459479268185255;151,22994649498088;167,0;216,0
58,0;191,0;27,853892472642514;1,1050901996205986;-183,21833565489183;169,0;218,0
59,0;191,0;27,853892472642514;-0,7948733216212385;179,67469690229908;169,0;218,0
60,0;191,0;27,853892472642514;1,0478248265127748;-172,28064939129746;175,0;224,0
61,0;191,0;27,853892472642514;-0,7948733216212385;179,67469690229908;175,0;224,0
62,0;191,0;27,853892472642514;1,0478248265127748;-172,28064939129746;176,0;225,0
63,0;191,0;27,853892472642514;-1,3765159564734843;290,76844015907807;176,0;225,0
