;Ticker;Data_Pregao;Open;High;Low;Close;Adj Close;Volume
0;BVSP;2000-01-03;17098,0;17408,0;16719,0;16930,0;16930,0;0
1;BVSP;2005-08-19;26909,0;27183,0;26129,0;26644,0;26644,0;0
2;BVSP;2005-08-22;26647,0;27287,0;26647,0;27261,0;27261,0;0
3;BVSP;2008-01-14;61950,0;62536,0;61643,0;62188,0;62188,0;2829000
4;BVSP;2008-01-15;62180,0;62180,0;59897,0;59907,0;59907,0;4080800
5;BVSP;2013-10-29;55076,0;55267,0;54224,0;54539,0;54539,0;6136200
6;BVSP;2013-10-30;54541,0;54764,0;53917,0;54173,0;54173,0;6039200
7;BVSP;2016-04-28;54475,0;54978,0;53963,0;54312,0;54312,0;4413500
8;BVSP;2016-04-29;54317,0;54705,0;53592,0;53911,0;53911,0;4898400
9;BVSP;2019-09-18;104616,0;104762,0;103684,0;104532,0;104532,0;3882100
10;BVSP;2019-09-19;104555,0;106001,0;104286,0;104339,0;104339,0;4915800
11;BVSP;2022-05-17;108246,0;109774,0;108245,0;108789,0;108789,0;16503400
12;BVSP;2022-05-18;107903,0;108096,0;106038,0;106247,0;106247,0;14752800
13;BVSP;2024-11-01;129718,0;129902,0;128070,0;128121,0;128121,0;9897900
14;GSPC;2000-01-03;1469,25;1478,0;1438,3599853515625;1455,219970703125;1455,219970703125;931800000
15;GSPC;2005-08-19;1219,02001953125;1225,0799560546875;1219,02001953125;1219,7099609375;1219,7099609375;1558790000
16;GSPC;2005-08-22;1219,7099609375;1228,9599609375;1216,469970703125;1221,72998046875;1221,72998046875;1621330000
17;GSPC;2008-01-14;1402,9100341796875;1417,8900146484375;1402,9100341796875;1416,25;1416,25;3682090000
18;GSPC;2008-01-15;1411,8800048828125;1411,8800048828125;1380,5999755859375;1380,949951171875;1380,949951171875;4601640000
19;GSPC;2013-10-29;1762,9300537109375;1772,0899658203125;1762,9300537109375;1771,949951171875;1771,949951171875;3358460000
20;GSPC;2013-10-30;1772,27001953125;1775,219970703125;1757,239990234375;1763,31005859375;1763,31005859375;3523040000
21;GSPC;2016-04-28;2090,929931640625;2099,300048828125;2071,6201171875;2075,81005859375;2075,81005859375;4309840000
22;GSPC;2016-04-29;2071,820068359375;2073,85009765625;2052,280029296875;2065,300048828125;2065,300048828125;4704720000
23;GSPC;2019-09-18;3001,5;3007,830078125;2978,570068359375;3006,72998046875;3006,72998046875;3458800000
24;GSPC;2019-09-19;3010,360107421875;3021,989990234375;3003,159912109375;3006,7900390625;3006,7900390625;3265660000
25;GSPC;2022-05-17;4052,0;4090,719970703125;4033,929931640625;4088,85009765625;4088,85009765625;4841410000
26;GSPC;2022-05-18;4051,97998046875;4051,97998046875;3911,909912109375;3923,679931640625;3923,679931640625;5103220000
27;GSPC;2024-11-01;5723,22021484375;5772,52001953125;5723,22021484375;5728,7998046875;5728,7998046875;3796450000
28;FTSE;2005-08-19;5269,2998046875;5313,10009765625;5269,2998046875;5312,60009765625;5312,60009765625;1251718300
29;FTSE;2005-08-22;5312,60009765625;5329,7001953125;5312,60009765625;5318,39990234375;5318,39990234375;998728300
30;FTSE;2008-01-14;6202,0;6247,2998046875;6173,0;6215,7001953125;6215,7001953125;1141689600
31;FTSE;2008-01-15;6215,7001953125;6215,7001953125;6025,60009765625;6025,60009765625;6025,60009765625;1633314500
32;FTSE;2013-10-29;6725,7998046875;6777,2001953125;6718,89990234375;6774,7001953125;6774,7001953125;781277300
33;FTSE;2013-10-30;6774,7001953125;6819,89990234375;6763,7001953125;6777,7001953125;6777,7001953125;656351600
