;indice_original_upper_pivot;resist_slope;resist_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;resist_slope_rounded
0;38,0;0,2643416258925453;60,87223891664725;70,91722070056397;1;38,0;84,0;4,0;22,0;91,0;0,0;0,26434
1;84,0;0,2643416258925453;60,872238916647255;83,07693549162106;1;38,0;103,0;4,0;24,0;107,0;3,0;0,26434
2;84,0;0,2739400751454672;60,06596917940181;83,07693549162106;1;47,0;113,0;3,0;43,0;116,0;11,0;0,27394
3;157,0;-0,35028126387098346;133,66341251696943;78,66925408922502;1;157,0;220,0;3,0;157,0;226,0;29,0;-0,35028
4;157,0;0,4073806612046411;14,710490280096366;78,66925408922502;1;113,0;157,0;3,0;113,0;182,0;23,0;0,40738
5;185,0;0,12716747746043353;33,033149265549675;56,55913259572988;1;185,0;245,0;3,0;185,0;254,0;31,0;0,12717
6;434,0;-0,46052449764629183;282,8088457381207;82,94121375963002;1;434,0;486,0;4,0;412,0;503,0;59,0;-0,46052
7;548,0;-0,170336469004992;181,79199046795776;88,44760545322214;1;548,0;580,0;3,0;524,0;593,0;75,0;-0,17034
8;580,0;-0,24638906396851232;224,07723326767507;81,1715761659379;1;548,0;605,0;3,0;535,0;617,0;78,0;-0,24639
9;645,0;0,25146955112412717;-92,03800233027836;70,15985814478366;1;645,0;704,0;4,0;645,0;714,0;100,0;0,25147
10;656,0;0,30418493225862464;-128,35889993194712;71,18641562971064;1;656,0;719,0;3,0;649,0;725,0;101,0;0,30418
11;689,0;0,25146955112412717;-92,03800233027837;81,22451839424525;1;645,0;689,0;3,0;621,0;703,0;97,0;0,25147
12;845,0;-0,3059149040084678;335,5623172813955;77,06422339424016;1;845,0;891,0;3,0;822,0;891,0;126,0;-0,30591
13;885,0;0,12001749417747999;-42,00143947125896;64,21404287581083;1;885,0;923,0;3,0;863,0;932,0;136,0;0,12002
14;885,0;0,1291546974529728;-50,08786437007011;64,21404287581083;1;885,0;923,0;3,0;864,0;933,0;138,0;0,12915
15;898,0;0,21775446686318803;-131,8730757135584;63,670435529584466;1;898,0;960,0;4,0;898,0;967,0;143,0;0,21775
16;923,0;0,22693256271748785;-140,6840477336862;68,77470765455507;1;923,0;960,0;3,0;902,0;971,0;144,0;0,22693
17;953,0;0,13699057741409668;-57,02261813566473;73,5294021399694;1;885,0;953,0;4,0;883,0;954,0;139,0;0,13699
18;960,0;0,20549383572828236;-120,10286982404895;77,17121247510212;1;891,0;960,0;5,0;890,0;960,0;141,0;0,20549
19;960,0;0,22693256271748785;-140,6840477336862;77,17121247510212;1;923,0;987,0;3,0;913,0;992,0;147,0;0,22693
20;960,0;0,25494574708060086;-167,5767047222747;77,17121247510212;1;934,0;997,0;3,0;927,0;1003,0;153,0;0,25495
