;Size;EntryBar;ExitBar;EntryPrice;ExitPrice;PnL;ReturnPct;EntryTime;ExitTime;Tag;Duration
0;192925;129;136;51,8334595413208;53,709999084472656;362031,39136257203;0,03620324708706568;2016-07-08;2016-07-19;;11 days
1;184173;137;138;56,262301528930664;55,97999954223633;-51992,40379545585;-0,00501760466640655;2016-07-20;2016-07-21;;1 days
2;182049;141;167;56,6330404586792;57,650001525878906;185136,74532263985;0,017957027540163706;2016-07-26;2016-08-31;;36 days
3;-182986;171;204;57,35506121826172;59,939998626708984;-473007,3566221316;-0,045069037562533776;2016-09-07;2016-10-24;;47 days
4;-171223;213;215;58,532701522827146;60,54999923706055;-345407,76652418554;-0,03446445596649372;2016-11-04;2016-11-08;;4 days
5;-164285;219;223;58,901960456848144;60,779998779296875;-308533,5258034898;-0,0318841394731606;2016-11-14;2016-11-18;;4 days
6;-153935;225;237;60,858039543151854;61,18000030517578;-49561,02990215325;-0,0052903571071434285;2016-11-22;2016-12-09;;17 days
7;147620;240;259;63,126;63,060001373291016;-9742,717274779929;-0,00104550623687516;2016-12-14;2017-01-12;;29 days
8;-146337;276;292;63,61252167510986;64,69000244140625;-157675,30289751475;-0,01693818666393132;2017-02-07;2017-03-02;;23 days
9;-140659;305;313;65,05962243652344;65,6500015258789;-83042,13232965044;-0,009074431532883231;2017-03-21;2017-03-31;;10 days
10;-139169;322;326;65,1594209136963;65,45999908447266;-41831,163448775485;-0,004612965655027557;2017-04-13;2017-04-20;;7 days
11;133496;328;345;67,61496336364746;68,88999938964844;170212,20932702624;0,018857305581067463;2017-04-24;2017-05-17;;23 days
12;-134095;349;353;68,58256121826172;69,79000091552734;-161911,6262048343;-0,017605637290549536;2017-05-23;2017-05-30;;7 days
13;-125663;361;378;71,89592091369629;68,26000213623047;456900,4613326871;0,05057197586814932;2017-06-09;2017-07-05;;26 days
14;127697;389;390;74,32836030578613;73,44999694824219;-112164,36566828936;-0,011817338011095191;2017-07-20;2017-07-21;;1 days
15;-129327;395;396;72,52465817260742;73,30000305175781;-100273,02718588321;-0,010690776057228568;2017-07-28;2017-07-31;;3 days
16;-128795;399;411;72,04562243652343;72,47000122070312;-54657,86550842375;-0,005890417347057975;2017-08-03;2017-08-21;;18 days
17;123887;425;454;74,45861755371094;78,31999969482422;478375,0493161011;0,05185943908141821;2017-09-11;2017-10-20;;39 days
18;122731;456;460;79,05780152893067;83,69999694824219;569741,2860075221;0,05871900469699676;2017-10-24;2017-10-30;;6 days
19;-122845;469;494;83,62242091369629;87,12000274658203;-429660,4402608491;-0,041825885864934076;2017-11-10;2017-12-18;;38 days
20;-114615;497;505;85,87790304565429;86,58999633789062;-81616,57268966723;-0,008291926875039879;2017-12-21;2018-01-04;;14 days
