;ativo;cenario;variavel;melhor_valor;media_de_pontos
0;BSX;cenario_in_sample_1x;janela_rsi;21;6,098765121323734
1;BSX;cenario_in_sample_1x;ordem;2;6,098765121323734
2;BSX;cenario_in_sample_1x;lookback;50;8,216325141153957
3;BSX;cenario_in_sample_1x;break_min;3;7,53785197754925
