;ativo;cenario;variavel;melhor_valor;media_de_pontos
0;FDX;cenario_in_sample_1x;janela_rsi;42;5,5764637856223995
1;FDX;cenario_in_sample_1x;ordem;2;4,630584850548458
2;FDX;cenario_in_sample_1x;lookback;50;6,350851808980536
3;FDX;cenario_in_sample_1x;break_min;3;5,382310212579015
