;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi
0;3;50;2;3;4;6;0,01;0,05;MSFT;out_of_sample_final_1;11,890154054504196;0,9135959806601868;-10,295831729115037;31,0;49
1;3;50;2;3;4;6;0,01;0,05;MSFT;out_of_sample_final_2;31,887274123810982;1,843860965798868;-7,631351289400545;33,0;49
0;3;100;2;3;4;6;0,04;0,1;PHM;out_of_sample_final_1;29,827528742354016;1,2757564129284666;-17,18982792448138;28,0;49
1;3;100;2;3;4;6;0,04;0,1;PHM;out_of_sample_final_2;31,746236070524738;1,2628381224329654;-13,424643274716583;24,0;49
0;3;50;2;3;4;6;0,01;0,05;MAR;out_of_sample_final_1;25,640403849679604;1,7552937893137437;-9,762823830763557;36,0;49
1;3;50;2;3;4;6;0,01;0,05;MAR;out_of_sample_final_2;20,00825452446005;1,4770837187158516;-8,05157779033121;34,0;49
0;3;50;2;3;4;6;0,06;0,05;YUM;out_of_sample_final_1;15,6018088704994;1,0277102722610916;-23,12770512211912;20,0;42
1;3;50;2;3;4;6;0,06;0,05;YUM;out_of_sample_final_2;11,437857579899946;1,0233124710624446;-15,096073890366212;19,0;42
0;3;50;2;3;4;6;0,05;0,05;COST;out_of_sample_final_1;28,07100282527117;1,3012240100104857;-11,401181571845145;28,0;42
1;3;50;2;3;4;6;0,05;0,05;COST;out_of_sample_final_2;12,475689200722506;0,9988448134367672;-11,927471951137523;17,0;42
0;3;80;2;3;3;6;0,03;0,05;HSY;out_of_sample_final_1;15,113709058553182;0,9229668931462296;-7,518575751316248;19,0;35
1;3;80;2;3;3;6;0,03;0,05;HSY;out_of_sample_final_2;20,57552932382558;1,578222173802632;-8,209656019443356;22,0;35
0;3;100;2;3;4;6;0,01;0,05;K;out_of_sample_final_1;16,215628272520743;1,374774783797632;-6,987038520065858;27,0;49
1;3;100;2;3;4;6;0,01;0,05;K;out_of_sample_final_2;19,05744036669519;1,5353883925696434;-7,645817786331133;27,0;49
0;3;50;2;3;3;6;0,02;0,05;HES;out_of_sample_final_1;15,190262734197525;0,9963732406011117;-14,133070356616562;33,0;49
1;3;50;2;3;3;6;0,02;0,05;HES;out_of_sample_final_2;20,487581098952965;1,0795836903005736;-17,35563412177491;36,0;49
0;3;60;2;3;4;6;0,02;0,07;BSX;out_of_sample_final_1;37,45686509946371;1,6455809141195614;-13,680546310411469;41,0;49
1;3;60;2;3;4;6;0,02;0,07;BSX;out_of_sample_final_2;11,885051674969738;0,84004653440761;-13,228105998501205;23,0;49
0;3;50;2;3;4;6;0,04;0,05;CI;out_of_sample_final_1;18,14554748061605;1,077984839845804;-25,851602569125;27,0;49
1;3;50;2;3;4;6;0,04;0,05;CI;out_of_sample_final_2;24,41579831730092;1,7467839644820669;-7,478516796256629;20,0;49
0;3;50;2;3;4;6;0,01;0,05;CVS;out_of_sample_final_1;13,45564409674238;0,9934889564121137;-21,733596599924187;38,0;49
1;3;50;2;3;4;6;0,01;0,05;CVS;out_of_sample_final_2;9,306627984466488;0,6232033277993477;-21,75221598340288;27,0;49
0;3;90;2;3;4;6;0,02;0,05;BA;out_of_sample_final_1;19,56448623178056;1,3060292183506674;-10,385785866980878;27,0;35
1;3;90;2;3;4;6;0,02;0,05;BA;out_of_sample_final_2;21,44167865001309;1,3205992772361832;-9,76076286701707;27,0;35
0;3;50;2;3;4;6;0,02;0,06;GE;out_of_sample_final_1;15,281384871194458;1,0593544679901743;-8,983166386134867;31,0;49
1;3;50;2;3;4;6;0,02;0,06;GE;out_of_sample_final_2;21,30050454117552;1,1669531237066182;-14,155391872606582;32,0;49
0;3;50;2;3;4;6;0,01;0,07;WM;out_of_sample_final_1;9,454668809894695;0,7881563330395942;-12,024487975164089;25,0;49
1;3;50;2;3;4;6;0,01;0,07;WM;out_of_sample_final_2;16,99584337715516;1,4661456951423033;-5,580144553619082;18,0;49
0;3;50;2;3;4;6;0,02;0,06;ADBE;out_of_sample_final_1;19,09055768696062;1,1751558350195863;-22,250996824482925;35,0;49
1;3;50;2;3;4;6;0,02;0,06;ADBE;out_of_sample_final_2;24,93586652051283;1,4352196429807529;-12,037944576386897;34,0;49
0;3;100;2;3;4;6;0,05;0,05;AAPL;out_of_sample_final_1;33,31864973581003;1,3471827802445573;-12,551205113940576;36,0;42
1;3;100;2;3;4;6;0,05;0,05;AAPL;out_of_sample_final_2;34,11493208669438;1,772907852442695;-8,531769615468365;23,0;42
0;3;50;2;3;4;6;0,02;0,05;HPQ;out_of_sample_final_1;31,863187039636443;1,2164887751375186;-12,282691754296405;40,0;49
1;3;50;2;3;4;6;0,02;0,05;HPQ;out_of_sample_final_2;16,357188468878814;0,9331417049194556;-21,48739982023763;32,0;49
0;3;50;2;3;4;6;0,01;0,05;VMC;out_of_sample_final_1;15,962966930851042;1,400641896911882;-9,598164357739693;28,0;49
1;3;50;2;3;4;6;0,01;0,05;VMC;out_of_sample_final_2;20,23736471948348;1,2925973305827945;-11,664335872578611;36,0;49
0;3;100;2;3;4;6;0,02;0,05;NEM;out_of_sample_final_1;28,258875394888094;1,692772742261761;-12,819134564242074;36,0;49
1;3;100;2;3;4;6;0,02;0,05;NEM;out_of_sample_final_2;22,264237503704344;1,1885648348335571;-18,88374813104869;24,0;49
0;3;70;2;3;4;6;0,01;0,05;AEP;out_of_sample_final_1;11,163128195177308;1,141860451631562;-8,786500290211807;33,0;49
1;3;70;2;3;4;6;0,01;0,05;AEP;out_of_sample_final_2;21,14784506785956;1,8854829934707087;-6,027848416654935;22,0;49
0;3;60;2;3;4;6;0,02;0,07;NEE;out_of_sample_final_1;20,493586565114885;1,4553898080743526;-9,131735648466632;25,0;49
1;3;60;2;3;4;6;0,02;0,07;NEE;out_of_sample_final_2;10,386887377693066;0,6679177954319419;-15,121039841418485;25,0;49
0;3;50;2;3;4;6;0,03;0,06;CMI;out_of_sample_final_1;37,19314869217581;1,845167519878014;-11,746798838520832;30,0;49
1;3;50;2;3;4;6;0,03;0,06;CMI;out_of_sample_final_2;14,031975915580652;0,963422884614962;-11,913949354904762;25,0;49
0;3;90;2;3;4;6;0,04;0,05;AFL;out_of_sample_final_1;13,56730442239986;1,0875886365907044;-9,63934207429118;30,0;35
1;3;90;2;3;4;6;0,04;0,05;AFL;out_of_sample_final_2;1,701938424936289;0,1533751358646986;-18,09993401459253;15,0;35
0;4;100;2;3;4;6;0,05;0,1;JNJ;out_of_sample_final_1;10,355132906923291;0,8930433998540865;-10,583252015038424;13,0;49
1;4;100;2;3;4;6;0,05;0,1;JNJ;out_of_sample_final_2;7,751943929832739;0,6266137536982139;-14,895674949670768;11,0;49
0;3;50;2;3;4;6;0,01;0,05;AIG;out_of_sample_final_1;19,94730770990356;1,4333281322288982;-12,463166802992198;38,0;49
1;3;50;2;3;4;6;0,01;0,05;AIG;out_of_sample_final_2;27,619936764347;1,8915577450166567;-8,326251791771977;31,0;49
0;3;100;2;3;4;6;0,02;0,05;LLY;out_of_sample_final_1;15,339004123085177;1,242521382596937;-12,89369898911541;25,0;49
1;3;100;2;3;4;6;0,02;0,05;LLY;out_of_sample_final_2;26,142268983173224;1,498628280020355;-9,864127080953988;27,0;49
0;3;70;2;3;4;6;0,01;0,06;NOC;out_of_sample_final_1;15,164825859452735;1,2882398642728172;-6,829629700304862;22,0;42
1;3;70;2;3;4;6;0,01;0,06;NOC;out_of_sample_final_2;15,169602930363224;1,134570142052325;-10,94573080588508;28,0;42
0;3;50;2;3;4;6;0,02;0,05;AES;out_of_sample_final_1;41,16827363860773;1,3977222439027832;-18,61568312952093;37,0;49
1;3;50;2;3;4;6;0,02;0,05;AES;out_of_sample_final_2;40,54253950756579;2,0180447169032223;-7,413378851093821;36,0;49
0;3;50;2;3;4;6;0,01;0,05;BEN;out_of_sample_final_1;15,52059440068605;1,2562932026915647;-12,61164226032031;39,0;49
1;3;50;2;3;4;6;0,01;0,05;BEN;out_of_sample_final_2;32,19251500510482;1,781375925329845;-8,294524823479332;35,0;49
0;3;100;2;3;4;6;0,06;0,05;CSCO;out_of_sample_final_1;22,352794701859647;1,274875340422681;-17,146364789535994;29,0;35
1;3;100;2;3;4;6;0,06;0,05;CSCO;out_of_sample_final_2;9,890194464824976;0,8013683301665844;-16,167008784065885;16,0;35
0;3;50;2;3;4;6;0,01;0,05;MSFT;out_of_sample_final_1;11,890154054504196;0,9135959806601868;-10,295831729115037;31,0;49
1;3;50;2;3;4;6;0,01;0,05;MSFT;out_of_sample_final_2;31,887274123810982;1,843860965798868;-7,631351289400545;33,0;49
0;3;100;2;3;4;6;0,04;0,1;PHM;out_of_sample_final_1;29,827528742354016;1,2757564129284666;-17,18982792448138;28,0;49
1;3;100;2;3;4;6;0,04;0,1;PHM;out_of_sample_final_2;31,746236070524738;1,2628381224329654;-13,424643274716583;24,0;49
0;3;50;2;3;4;6;0,01;0,05;MAR;out_of_sample_final_1;25,640403849679604;1,7552937893137437;-9,762823830763557;36,0;49
1;3;50;2;3;4;6;0,01;0,05;MAR;out_of_sample_final_2;20,00825452446005;1,4770837187158516;-8,05157779033121;34,0;49
0;3;70;2;3;4;6;0,04;0,05;YUM;out_of_sample_final_1;11,923992579627974;0,8157308862416944;-16,02910217524608;25,0;42
1;3;70;2;3;4;6;0,04;0,05;YUM;out_of_sample_final_2;11,086887291911074;1,0014979254926055;-10,091094710244596;17,0;42
0;3;70;2;3;4;6;0,04;0,05;COST;out_of_sample_final_1;22,4620767003924;1,1417410937234829;-14,60743460177597;30,0;42
1;3;70;2;3;4;6;0,04;0,05;COST;out_of_sample_final_2;2,004752374710628;0,1674380495598089;-21,557690412771425;23,0;42
0;3;100;2;3;3;6;0,02;0,05;HSY;out_of_sample_final_1;15,701234675512188;0,9250432452548168;-6,414874769744761;21,0;35
1;3;100;2;3;3;6;0,02;0,05;HSY;out_of_sample_final_2;18,519048186314624;1,513214821716367;-12,195980110380312;25,0;35
0;3;100;2;3;4;6;0,01;0,05;K;out_of_sample_final_1;16,215628272520743;1,374774783797632;-6,987038520065858;27,0;49
1;3;100;2;3;4;6;0,01;0,05;K;out_of_sample_final_2;19,05744036669519;1,5353883925696434;-7,645817786331133;27,0;49
0;3;50;2;3;3;6;0,02;0,05;HES;out_of_sample_final_1;15,190262734197525;0,9963732406011117;-14,133070356616562;33,0;49
1;3;50;2;3;3;6;0,02;0,05;HES;out_of_sample_final_2;20,487581098952965;1,0795836903005736;-17,35563412177491;36,0;49
0;3;60;2;3;4;6;0,02;0,07;BSX;out_of_sample_final_1;37,45686509946371;1,6455809141195614;-13,680546310411469;41,0;49
1;3;60;2;3;4;6;0,02;0,07;BSX;out_of_sample_final_2;11,885051674969738;0,84004653440761;-13,228105998501205;23,0;49
0;3;50;2;3;4;6;0,04;0,05;CI;out_of_sample_final_1;18,14554748061605;1,077984839845804;-25,851602569125;27,0;49
1;3;50;2;3;4;6;0,04;0,05;CI;out_of_sample_final_2;24,41579831730092;1,7467839644820669;-7,478516796256629;20,0;49
0;3;50;2;3;4;6;0,01;0,05;CVS;out_of_sample_final_1;13,45564409674238;0,9934889564121137;-21,733596599924187;38,0;49
1;3;50;2;3;4;6;0,01;0,05;CVS;out_of_sample_final_2;9,306627984466488;0,6232033277993477;-21,75221598340288;27,0;49
0;3;90;2;3;4;6;0,02;0,05;BA;out_of_sample_final_1;19,56448623178056;1,3060292183506674;-10,385785866980878;27,0;35
1;3;90;2;3;4;6;0,02;0,05;BA;out_of_sample_final_2;21,44167865001309;1,3205992772361832;-9,76076286701707;27,0;35
0;3;50;2;3;4;6;0,02;0,06;GE;out_of_sample_final_1;15,281384871194458;1,0593544679901743;-8,983166386134867;31,0;49
1;3;50;2;3;4;6;0,02;0,06;GE;out_of_sample_final_2;21,30050454117552;1,1669531237066182;-14,155391872606582;32,0;49
0;3;60;2;3;4;6;0,01;0,06;WM;out_of_sample_final_1;13,202558241351236;1,0273304795243814;-9,864741498938525;24,0;49
1;3;60;2;3;4;6;0,01;0,06;WM;out_of_sample_final_2;17,04406827486431;1,4607866684181856;-5,910008236432107;18,0;49
0;3;50;2;3;4;6;0,01;0,06;ADBE;out_of_sample_final_1;22,177913645714355;1,3501656679750382;-22,250996824482925;35,0;49
1;3;50;2;3;4;6;0,01;0,06;ADBE;out_of_sample_final_2;27,93966907943517;1,6115831565219347;-9,739108061915893;34,0;49
0;3;100;2;3;4;6;0,05;0,05;AAPL;out_of_sample_final_1;33,31864973581003;1,3471827802445573;-12,551205113940576;36,0;42
1;3;100;2;3;4;6;0,05;0,05;AAPL;out_of_sample_final_2;34,11493208669438;1,772907852442695;-8,531769615468365;23,0;42
0;3;50;2;3;4;6;0,02;0,05;HPQ;out_of_sample_final_1;31,863187039636443;1,2164887751375186;-12,282691754296405;40,0;49
1;3;50;2;3;4;6;0,02;0,05;HPQ;out_of_sample_final_2;16,357188468878814;0,9331417049194556;-21,48739982023763;32,0;49
0;3;50;2;3;4;6;0,01;0,05;VMC;out_of_sample_final_1;15,962966930851042;1,400641896911882;-9,598164357739693;28,0;49
1;3;50;2;3;4;6;0,01;0,05;VMC;out_of_sample_final_2;20,23736471948348;1,2925973305827945;-11,664335872578611;36,0;49
0;3;100;2;3;4;6;0,01;0,05;NEM;out_of_sample_final_1;26,603714208891848;1,6972858952967151;-8,981298376953106;37,0;49
1;3;100;2;3;4;6;0,01;0,05;NEM;out_of_sample_final_2;24,051179744017137;1,314941751249895;-14,582258859519015;25,0;49
0;3;70;2;3;4;6;0,01;0,05;AEP;out_of_sample_final_1;11,163128195177308;1,141860451631562;-8,786500290211807;33,0;49
1;3;70;2;3;4;6;0,01;0,05;AEP;out_of_sample_final_2;21,14784506785956;1,8854829934707087;-6,027848416654935;22,0;49
0;3;60;2;3;4;6;0,02;0,07;NEE;out_of_sample_final_1;20,493586565114885;1,4553898080743526;-9,131735648466632;25,0;49
1;3;60;2;3;4;6;0,02;0,07;NEE;out_of_sample_final_2;10,386887377693066;0,6679177954319419;-15,121039841418485;25,0;49
0;3;50;2;3;4;6;0,03;0,06;CMI;out_of_sample_final_1;37,19314869217581;1,845167519878014;-11,746798838520832;30,0;49
1;3;50;2;3;4;6;0,03;0,06;CMI;out_of_sample_final_2;14,031975915580652;0,963422884614962;-11,913949354904762;25,0;49
0;3;90;2;3;4;6;0,04;0,05;AFL;out_of_sample_final_1;13,56730442239986;1,0875886365907044;-9,63934207429118;30,0;35
1;3;90;2;3;4;6;0,04;0,05;AFL;out_of_sample_final_2;1,701938424936289;0,1533751358646986;-18,09993401459253;15,0;35
0;4;100;2;3;4;6;0,05;0,1;JNJ;out_of_sample_final_1;10,355132906923291;0,8930433998540865;-10,583252015038424;13,0;49
1;4;100;2;3;4;6;0,05;0,1;JNJ;out_of_sample_final_2;7,751943929832739;0,6266137536982139;-14,895674949670768;11,0;49
0;3;50;2;3;4;6;0,01;0,05;AIG;out_of_sample_final_1;19,94730770990356;1,4333281322288982;-12,463166802992198;38,0;49
1;3;50;2;3;4;6;0,01;0,05;AIG;out_of_sample_final_2;27,619936764347;1,8915577450166567;-8,326251791771977;31,0;49
0;3;100;2;3;4;6;0,02;0,05;LLY;out_of_sample_final_1;15,339004123085177;1,242521382596937;-12,89369898911541;25,0;49
1;3;100;2;3;4;6;0,02;0,05;LLY;out_of_sample_final_2;26,142268983173224;1,498628280020355;-9,864127080953988;27,0;49
0;3;70;2;3;4;6;0,01;0,06;NOC;out_of_sample_final_1;15,164825859452735;1,2882398642728172;-6,829629700304862;22,0;42
1;3;70;2;3;4;6;0,01;0,06;NOC;out_of_sample_final_2;15,169602930363224;1,134570142052325;-10,94573080588508;28,0;42
0;3;50;2;3;4;6;0,02;0,05;AES;out_of_sample_final_1;41,16827363860773;1,3977222439027832;-18,61568312952093;37,0;49
1;3;50;2;3;4;6;0,02;0,05;AES;out_of_sample_final_2;40,54253950756579;2,0180447169032223;-7,413378851093821;36,0;49
0;3;50;2;3;4;6;0,01;0,05;BEN;out_of_sample_final_1;15,52059440068605;1,2562932026915647;-12,61164226032031;39,0;49
1;3;50;2;3;4;6;0,01;0,05;BEN;out_of_sample_final_2;32,19251500510482;1,7813759253298447;-8,294524823479332;35,0;49
