;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi
0;3;50;2;3;3;6;0,01;0,05;CSCO;Media dos resultados por ativo;15,085935704175869;1,238414731879827;-10,19406979991503;27,0;28
0;3;90;2;3;4;6;0,05;0,06;MSFT;Media dos resultados por ativo;23,254887446056305;1,2404914808905658;-12,979405603850264;26,5;42
0;3;80;2;3;4;6;0,01;0,12;PHM;Media dos resultados por ativo;28,18580307240036;1,0785766660822558;-13,816872604887976;26,0;42
0;3;50;2;3;3;6;0,01;0,05;MAR;Media dos resultados por ativo;17,729251795889876;1,1994422197920214;-8,406471959017841;36,5;49
0;3;100;2;3;4;6;0,02;0,07;YUM;Media dos resultados por ativo;11,015928364664871;0,8696545053556718;-14,608600736829814;25,5;42
0;3;50;2;3;3;6;0,03;0,05;COST;Media dos resultados por ativo;11,378995267541756;0,6775601614439333;-12,96189916108871;25,0;42
0;3;50;2;3;4;6;0,02;0,05;HSY;Media dos resultados por ativo;13,211301172293688;1,2443051334058448;-8,0182389845601;23,5;42
0;3;100;2;3;4;6;0,01;0,05;K;Media dos resultados por ativo;17,636534319607968;1,4550815881836376;-7,316428153198496;27,0;49
0;3;50;2;3;4;6;0,03;0,05;HES;Media dos resultados por ativo;18,728471358016385;1,021076627984829;-17,766711446578448;32,5;49
0;3;100;2;3;4;6;0,05;0,05;BSX;Media dos resultados por ativo;18,665247674695586;1,042394362066163;-15,98409283505785;29,5;49
0;3;90;2;3;3;6;0,01;0,05;CI;Media dos resultados por ativo;14,064008156731234;1,0064463945428646;-14,725008245214532;34,0;42
0;3;50;2;3;4;6;0,01;0,05;CVS;Media dos resultados por ativo;11,381136040604437;0,8083461421057307;-21,74290629166353;32,5;49
0;3;80;2;3;4;6;0,02;0,05;BA;Media dos resultados por ativo;23,90387194778767;1,3251436744400735;-8,939427836637737;30,5;42
0;3;80;2;3;4;6;0,03;0,05;GE;Media dos resultados por ativo;14,508514004601302;0,9983116364957793;-11,785586890706378;25,5;42
0;4;90;2;3;4;6;0,01;0,05;WM;Media dos resultados por ativo;6,919391742915271;0,8324057452563551;-10,205060712357316;18,0;49
0;3;60;2;3;3;6;0,02;0,05;ADBE;Media dos resultados por ativo;29,282030093665;1,4502889822105738;-14,536306888488028;38,5;49
0;3;70;2;3;4;6;0,06;0,05;AAPL;Media dos resultados por ativo;33,16751770431469;1,4990082811951844;-11,059919833864631;31,5;42
0;3;100;2;3;4;6;0,06;0,05;CSCO;Media dos resultados por ativo;16,12149458334231;1,0381218352946326;-16,65668678680094;22,5;35
0;3;50;2;3;4;6;0,01;0,05;MSFT;Media dos resultados por ativo;21,888714089157588;1,3787284732295275;-8,963591509257789;32,0;49
0;3;100;2;3;4;6;0,04;0,1;PHM;Media dos resultados por ativo;30,78688240643937;1,2692972676807162;-15,307235599598982;26,0;49
0;3;50;2;3;4;6;0,01;0,05;MAR;Media dos resultados por ativo;22,824329187069825;1,6161887540147977;-8,907200810547383;35,0;49
0;3;50;2;3;4;6;0,06;0,05;YUM;Media dos resultados por ativo;13,519833225199672;1,025511371661768;-19,11188950624266;19,5;42
0;3;50;2;3;4;6;0,05;0,05;COST;Media dos resultados por ativo;20,27334601299684;1,1500344117236263;-11,664326761491337;22,5;42
0;3;80;2;3;3;6;0,03;0,05;HSY;Media dos resultados por ativo;17,84461919118938;1,2505945334744308;-7,864115885379801;20,5;35
0;3;100;2;3;4;6;0,01;0,05;K;Media dos resultados por ativo;17,636534319607968;1,4550815881836376;-7,316428153198496;27,0;49
0;3;50;2;3;3;6;0,02;0,05;HES;Media dos resultados por ativo;17,838921916575245;1,0379784654508426;-15,744352239195734;34,5;49
0;3;60;2;3;4;6;0,02;0,07;BSX;Media dos resultados por ativo;24,670958387216725;1,2428137242635855;-13,454326154456336;32,0;49
0;3;50;2;3;4;6;0,04;0,05;CI;Media dos resultados por ativo;21,280672898958485;1,4123844021639351;-16,665059682690814;23,5;49
0;3;50;2;3;4;6;0,01;0,05;CVS;Media dos resultados por ativo;11,381136040604437;0,8083461421057307;-21,74290629166353;32,5;49
0;3;90;2;3;4;6;0,02;0,05;BA;Media dos resultados por ativo;20,503082440896826;1,3133142477934254;-10,073274366998971;27,0;35
0;3;50;2;3;4;6;0,02;0,06;GE;Media dos resultados por ativo;18,290944706184987;1,113153795848396;-11,569279129370724;31,5;49
