;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
0;28;3;50;2;3;4;6;0,01;0,05;5;2002-03-05;2005-10-26;14481680,577138126;44,816805771381254;10,675224571247988;0,8468692598143867;1,6304277006659302;12,605516669229132;-15,2584746765857;24;50,0;2,4672246067924752;1,554880177672624
1;28;3;50;2;3;4;6;0,01;0,07;5;2002-03-05;2005-10-26;14233836,88568751;42,3383688568751;10,153142508940638;0,7072895405007176;1,352754543560136;14,355001633069303;-15,593106502121955;23;39,130434782608695;2,2497740947294598;1,5467843581089102
2;28;3;50;2;3;4;6;0,01;0,09;5;2002-03-05;2005-10-26;14129392,374526301;41,29392374526301;9,931152449176285;0,6765032964178306;1,285544243888023;14,680124253293334;-15,593109549988416;23;39,130434782608695;2,1721986918170155;1,514274357878631
3;28;3;50;2;3;4;6;0,01;0,11;5;2002-03-05;2005-10-26;13533444,465143979;35,33444465143978;8,641176430224796;0,5780785079810634;1,074998320297928;14,948101877034084;-15,593114522975327;22;36,36363636363637;2,0403859916373777;1,384861017709893
4;28;3;50;2;3;4;6;0,01;0,13;5;2002-03-05;2005-10-26;14566981,004220415;45,66981004220415;10,85340861659072;0,6802725960588852;1,2835986431145185;15,954499239671321;-15,005193360894664;20;40,0;2,4976664739408334;1,8986611750294147
5;28;3;50;2;3;4;6;0,02;0,05;5;2002-03-05;2005-10-26;13883446,222336639;38,83446222336639;9,40366330857807;0,6814160916143418;1,2302538087489607;13,800177929904569;-19,64700992739448;23;52,17391304347826;1,982879915584647;1,4367995846014558
6;28;3;50;2;3;4;6;0,02;0,07;5;2002-03-05;2005-10-26;12213596,555332419;22,135965553324187;5,630074621127723;0,36680415710941666;0,6175839406500145;15,34899349422664;-21,67490149803242;22;36,36363636363637;1,5334264729354001;0,9130750160588397
7;28;3;50;2;3;4;6;0,02;0,09;5;2002-03-05;2005-10-26;12240567,931321623;22,40567931321623;5,693917425646466;0,3633577089153412;0,6121943180752248;15,670281064473283;-21,67490465317663;22;36,36363636363637;1,5351142403707454;0,9231935665458213
8;28;3;50;2;3;4;6;0,02;0,11;5;2002-03-05;2005-10-26;11724288,257221455;17,242882572214548;4,453666747706375;0,28064644216752704;0,46574532007479114;15,869314833671885;-21,674890654093748;21;33,33333333333333;1,4401882452076853;0,7603879641921996
9;28;3;50;2;3;4;6;0,02;0,13;5;2002-03-05;2005-10-26;12976655,15915943;29,766551591594293;7,398139273812854;0,45610514460918383;0,7975079459003053;16,220249565814456;-20,16225544763288;20;35,0;1,8026940043320296;1,3113596683253181
10;28;3;50;2;3;4;6;0,03;0,05;5;2002-03-05;2005-10-26;14462824,309475776;44,62824309475776;10,635732919678942;0,7163793024771431;1,349904534560399;14,846510616515596;-21,145676054572803;23;56,52173913043478;1,9975673048599325;1,617272213990173
11;28;3;50;2;3;4;6;0,03;0,07;5;2002-03-05;2005-10-26;12629402,182138192;26,294021821381914;6,603157794265968;0,4061468996778613;0,7076579498032635;16,258052934796048;-21,45706454224362;22;40,909090909090914;1,5608237714723678;1,06675319749443
12;28;3;50;2;3;4;6;0,03;0,09;5;2002-03-05;2005-10-26;12504812,68781456;25,0481268781456;6,314061257898818;0,3816294412205044;0,6608304980480706;16,545005641350848;-21,45706274210104;22;40,909090909090914;1,52223357953209;1,0212176762870895
13;28;3;50;2;3;4;6;0,03;0,11;5;2002-03-05;2005-10-26;12663715,322115652;26,637153221156524;6,6824138649826725;0,37274505982773404;0,6528863929556288;17,92757191220987;-21,457067383379925;21;38,095238095238095;1,560856389330051;1,1308992936942985
14;28;3;50;2;3;4;6;0,03;0,13;5;2002-03-05;2005-10-26;14972481,442686824;49,72481442686824;11,690247608482963;0,6318775169080825;1,194529023563747;18,500812729792873;-16,719878584095184;19;42,10526315789473;2,2065841602901033;2,1470883391988327
15;28;3;70;2;3;4;6;0,01;0,05;5;2002-03-05;2005-10-26;14602121,969616689;46,02121969616689;10,926594262014987;0,7666112453578415;1,4413575484194578;14,253109810455014;-14,605468247208064;32;43,75;2,0353757339249885;1,1900953502240075
16;28;3;70;2;3;4;6;0,01;0,07;5;2002-03-05;2005-10-26;15144929,432530347;51,44929432530348;12,041148554346549;0,6831535694028604;1,3371207491140737;17,62582981872089;-14,989650601937598;31;35,483870967741936;2,0764729907673476;1,3479755341161859
17;28;3;70;2;3;4;6;0,01;0,09;5;2002-03-05;2005-10-26;13634844,872477856;36,34844872477856;8,863538475642407;0,5231266427047785;0,9669847236566079;16,943389520010474;-17,70771290831753;28;32,142857142857146;1,7444865523926727;1,113452885456434
18;28;3;70;2;3;4;6;0,01;0,11;5;2002-03-05;2005-10-26;11454698,662639512;14,546986626395118;3,790211327668924;0,2243192474683824;0,37713681195804977;16,89650518377007;-19,115610326132813;27;25,925925925925924;1,3467855371977087;0,5042864205681452
19;28;3;70;2;3;4;6;0,01;0,13;5;2002-03-05;2005-10-26;12813323,728854975;28,133237288549743;7,0261667375222325;0,38798072142115136;0,675539768289072;18,109576970179813;-19,115618968465043;26;26,923076923076923;1,6029766099183147;0,9580245202364335
20;28;3;70;2;3;4;6;0,02;0,05;5;2002-03-05;2005-10-26;15176451,395976437;51,76451395976437;12,104976134373914;0,7411306720379092;1,3746724346080461;16,33311990865052;-18,136407430716627;28;60,71428571428571;2,135719947769268;1,501012037272731
21;28;3;70;2;3;4;6;0,02;0,07;5;2002-03-05;2005-10-26;13239412,298773939;32,39412298773939;7,989474662240248;0,4299723699637371;0,7617718364060367;18,58136759558309;-18,50471209368093;26;46,15384615384615;1,6528381187712056;1,0851276021208944
22;28;3;70;2;3;4;6;0,02;0,09;5;2002-03-05;2005-10-26;11613911,222353866;16,139112223538664;4,1833838795456435;0,23466238777607576;0,3897960976145575;17,827245001604584;-23,863949514859616;24;41,66666666666667;1,3529297567962557;0,6253586767648756
23;28;3;70;2;3;4;6;0,02;0,11;5;2002-03-05;2005-10-26;10525530,932060756;5,255309320607558;1,4128353236563918;0,07896625899317856;0,12456847876927685;17,891632979326506;-25,16653664729881;24;37,5;1,1689291369216304;0,21363952317858814
24;28;3;70;2;3;4;6;0,02;0,13;5;2002-03-05;2005-10-26;11684135,324908108;16,841353249081077;4,355557964937962;0,21843426670178925;0,3581584463562134;19,939902427874355;-24,38540169372828;24;37,5;1,3824329767903585;0,6506370073735779
25;28;3;70;2;3;4;6;0,03;0,05;5;2002-03-05;2005-10-26;13803728,498524899;38,03728498524899;9,231234607760541;0,5829230972265067;1,0241554745410122;15,83611054645439;-19,823934508014784;27;59,25925925925925;1,8459530432995466;1,2010596976304022
26;28;3;70;2;3;4;6;0,03;0,07;5;2002-03-05;2005-10-26;11953040,43237674;19,530404323767407;5,007988950025011;0,2780215850598181;0,4690184035243715;18,012950141793883;-20,184633920834692;25;44,0;1,4199902140778475;0,7161547039148397
27;28;3;70;2;3;4;6;0,03;0,09;5;2002-03-05;2005-10-26;9906492,042844929;-0,9350795715507119;-0,2570046971480222;-0,015198934888292232;-0,02347529734296908;16,909388653674238;-25,433404824000373;23;39,130434782608695;1,0641773347943986;-0,040837861640197204
28;28;3;70;2;3;4;6;0,03;0,11;5;2002-03-05;2005-10-26;8978117,48368567;-10,218825163143295;-2,9094774099656218;-0,1713757993431337;-0,25198792737144676;16,977177764406395;-26,709131954908283;23;34,78260869565217;0,9139861686828049;-0,4675755113254132
29;28;3;70;2;3;4;6;0,03;0,13;5;2002-03-05;2005-10-26;9345309,750182264;-6,546902498177365;-1,837585758370508;-0,09891314042085596;-0,1469606109007485;18,577771876941142;-26,718046726863655;23;34,78260869565217;0,9729165488635447;-0,29395941221939115
30;28;3;80;2;3;4;6;0,01;0,05;5;2002-03-05;2005-10-26;14608588,404760115;46,08588404760115;10,940047522068364;0,788191182744036;1,4893252747833363;13,879941518733188;-12,705319957815565;28;46,42857142857143;2,119582005928646;1,362863913907586
31;28;3;80;2;3;4;6;0,01;0,07;5;2002-03-05;2005-10-26;14022413,544605354;40,22413544605354;9,702537203837448;0,6003286408485006;1,1317844353164326;16,16204282728198;-12,753527551383092;26;38,46153846153847;1,989658150038821;1,3087692853491095
32;28;3;80;2;3;4;6;0,01;0,09;5;2002-03-05;2005-10-26;13767090,03153619;37,6709003153619;9,151743350157936;0,5531418947830876;1,0361208576943042;16,545019345798703;-17,315802302827578;23;39,130434782608695;1,9501559377502087;1,3996875334393755
33;28;3;80;2;3;4;6;0,01;0,11;5;2002-03-05;2005-10-26;13023403,68156666;30,23403681566659;7,503978681261669;0,45089884002431124;0,8199847360410369;16,642266546653957;-17,315807996827793;22;36,36363636363637;1,8023329779309774;1,207978937775489
34;28;3;80;2;3;4;6;0,01;0,13;5;2002-03-05;2005-10-26;14568088,088600969;45,68088088600969;10,855716218831969;0,6063849826476453;1,1384718139411245;17,9023500407825;-17,31581724262433;21;38,095238095238095;2,1763879716606103;1,8078067928740227
