top_bottom_idx;top_bottom_value
32;78,1420804641464
38;68,01242128546758
56;39,39809831105927
63;51,17994387738211
67;49,526805008509726
79;64,80329836723044
95;47,609154765257806
101;45,17857726645374
113;34,99004309384432
117;36,83127666376664
126;49,42966193748178
138;57,49998933951925
155;36,11692264946769
165;36,8672471535454
180;55,56858449649759
187;54,68940300154213
202;59,31034242985839
209;57,446807752035554
218;58,37209586451551
234;52,2262314019347
238;53,013698749631445
256;78,1944252512042
267;74,95394884781967
277;68,03069438993128
285;58,82351743670005
303;62,00418098548952
310;64,34977282356624
324;55,55555555555556
335;49,2674041802805
351;53,24675286317486
376;62,39192878643224
385;61,1878471564859
400;62,16215126028726
412;68,4072834648124
427;68,07388228533888
434;71,15383269683934
444;75,85419355446999
450;71,1252483853054
