;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;106,0;2,0;5,0;106,0;35,95890438965429;48,0;98,0
4;111,0;2,0;4,0;107,0;29,566850417283888;57,0;107,0
8;149,0;2,0;10,0;149,0;37,15529578884959;85,0;135,0
16;216,0;2,0;15,0;216,0;53,559321789988886;152,0;202,0
17;220,0;2,0;12,0;220,0;54,07048135020391;130,0;180,0
20;223,0;2,0;16,0;221,0;52,66272813627682;160,0;210,0
40;272,0;2,0;14,0;272,0;65,68420643395154;178,0;228,0
56;357,0;2,0;20,0;357,0;36,60886414408291;291,0;341,0
68;455,0;2,0;23,0;455,0;47,991533307395194;363,0;413,0
73;456,0;2,0;25,0;456,0;42,629488262589206;380,0;430,0
