indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
365,0;1302,0;69,20981577842636;0,345425244223247;-380,5338522002412;1260,0;1309,0;1,0;1260,0;1302,0;3,0
366,0;1264,0;56,083656497942975;0,345425244223247;-380,53385220024126;1264,0;1313,0;1,0;1260,0;1302,0;3,0
368,0;1314,0;56,605931619332495;-0,44947213375894346;647,2123153785842;1273,0;1322,0;1,0;1284,0;1314,0;3,0
369,0;1284,0;70,0900956321008;-0,44947213375894346;647,2123153785842;1278,0;1327,0;1,0;1284,0;1323,0;4,0
370,0;1284,0;70,0900956321008;-0,4959718770218554;706,9179857281631;1284,0;1333,0;1,0;1284,0;1328,0;4,0
371,0;1290,0;67,80923782224531;-0,5471500736717686;773,6328328588269;1290,0;1339,0;1,0;1284,0;1334,0;5,0
372,0;1314,0;56,605931619332495;-0,6435648519322502;902,2501470583093;1291,0;1340,0;1,0;1314,0;1334,0;3,0
374,0;1314,0;56,605931619332495;-0,7165971176364333;998,2145441936059;1298,0;1347,0;1,0;1314,0;1341,0;4,0
376,0;1314,0;56,605931619332495;-0,7165971176364333;998,2145441936059;1302,0;1351,0;1,0;1314,0;1348,0;5,0
378,0;1314,0;56,605931619332495;-0,7165971176364333;998,2145441936059;1303,0;1352,0;1,0;1314,0;1348,0;5,0
379,0;1341,0;37,257809443148794;-0,6454412268112851;902,7944945970821;1310,0;1359,0;1,0;1314,0;1353,0;5,0
380,0;1341,0;37,257809443148794;-0,7165971176364333;998,2145441936058;1310,0;1359,0;1,0;1314,0;1353,0;6,0
381,0;1348,0;32,7397208554698;-0,4193525787458469;598,0269970048715;1314,0;1363,0;1,0;1341,0;1360,0;3,0
382,0;1348,0;32,7397208554698;-0,6454412268112851;902,7944945970822;1314,0;1363,0;1,0;1314,0;1360,0;5,0
384,0;1353,0;30,642957961740564;-0,4193525787458469;598,0269970048714;1323,0;1372,0;1,0;1341,0;1360,0;3,0
386,0;1353,0;30,642957961740564;-0,4193525787458469;598,0269970048714;1326,0;1375,0;1,0;1341,0;1360,0;3,0
388,0;1353,0;30,642957961740564;-0,4193525787458469;598,0269970048714;1328,0;1377,0;1,0;1341,0;1376,0;3,0
399,0;1407,0;43,41085248394353;0,25607855905460253;-316,89168010588224;1360,0;1409,0;1,0;1353,0;1407,0;3,0
