;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi
0;3;50;2;3;4;6;0,05;0,05;BAC;Media dos resultados por ativo;11,972175676740603;0,975900433431362;-12,668695274943907;20,0;42
0;3;70;2;3;4;6;0,03;0,06;CL;Media dos resultados por ativo;15,473565810630095;1,359581841024757;-11,077101264583405;21,5;42
0;3;70;2;3;3;6;0,01;0,05;COF;Media dos resultados por ativo;12,169490570701155;0,6528368795194561;-21,26750815833657;37,0;42
0;3;80;2;3;4;6;0,03;0,06;MMC;Media dos resultados por ativo;17,652237591429675;0,8629940101337201;-14,41755532193094;26,0;49
0;3;100;2;3;4;6;0,01;0,05;DHR;Media dos resultados por ativo;14,880969917890408;1,1607363147544003;-12,262288936985454;30,0;42
0;3;90;2;3;3;6;0,02;0,05;HAS;Media dos resultados por ativo;15,539478696099495;1,0316216871422133;-11,078635596019517;32,5;49
0;3;50;2;3;3;6;0,01;0,05;PFE;Media dos resultados por ativo;17,313567431924817;1,2039464738975627;-12,876717199038673;34,5;49
0;3;50;2;3;3;6;0,02;0,05;MMM;Media dos resultados por ativo;10,064789162483011;0,674457897115225;-11,83701811202717;26,5;49
0;3;50;2;3;4;6;0,01;0,06;ED;Media dos resultados por ativo;16,64306708028066;1,3465039749338126;-8,343549634142777;27,0;49
0;3;80;2;3;4;6;0,01;0,05;ORCL;Media dos resultados por ativo;20,229739257124123;1,4818090711613583;-7,765202250794129;34,0;42
0;3;50;2;3;4;6;0,02;0,05;PNC;Media dos resultados por ativo;13,023715464540375;0,9390050095573292;-10,655972766192656;26,5;35
0;3;50;2;3;3;6;0,03;0,05;MU;Media dos resultados por ativo;24,21599739566187;1,1072345522559943;-17,161509020740862;34,5;42
0;3;80;2;3;3;6;0,01;0,06;MCO;Media dos resultados por ativo;7,285185741668266;0,6363467889220611;-11,847421514600038;31,5;49
0;3;60;2;3;4;6;0,02;0,05;FDX;Media dos resultados por ativo;26,010239087357345;1,3063097073681542;-8,323369016575105;31,0;49
0;3;80;2;3;4;6;0,03;0,05;BAC;Media dos resultados por ativo;9,631184327487295;0,752576252401123;-13,88949292530553;22,5;42
0;3;50;2;3;4;6;0,03;0,05;CL;Media dos resultados por ativo;9,869742733218123;0,8176075218997518;-18,46873496352677;26,0;49
0;3;60;2;3;3;6;0,01;0,06;COF;Media dos resultados por ativo;13,840696443679246;0,7273531593628262;-15,77492041293388;40,0;49
0;3;60;2;3;4;6;0,04;0,06;MMC;Media dos resultados por ativo;15,347692133610346;0,951107581580248;-14,113525072443906;22,0;42
0;3;70;2;3;4;6;0,01;0,05;DHR;Media dos resultados por ativo;11,684735514844323;0,930960953047584;-13,037673283280078;32,0;42
0;3;50;2;3;4;6;0,02;0,05;HAS;Media dos resultados por ativo;13,090405604250732;0,8504424691335077;-14,097972599282262;32,0;49
0;3;50;2;3;3;6;0,01;0,05;PFE;Media dos resultados por ativo;17,313567431924817;1,2039464738975627;-12,876717199038673;34,5;49
0;3;50;2;3;4;6;0,02;0,05;MMM;Media dos resultados por ativo;12,935560348681186;0,8492504993022146;-11,837052900915568;25,0;49
0;3;90;2;3;4;6;0,02;0,05;ED;Media dos resultados por ativo;17,529890584370477;1,4119230963398617;-10,728386332395212;28,0;49
0;3;50;2;3;3;6;0,01;0,05;ORCL;Media dos resultados por ativo;30,981613922607067;1,456234354431952;-11,272610649551302;41,5;49
0;3;100;2;3;4;6;0,03;0,1;PNC;Media dos resultados por ativo;21,166304288000816;1,1267782704621083;-14,863165619614216;23,0;42
0;3;90;2;3;4;6;0,02;0,05;MU;Media dos resultados por ativo;31,863410905488543;1,5276949972890843;-9,529497365398498;32,5;49
0;3;70;2;3;4;6;0,01;0,06;MCO;Media dos resultados por ativo;13,672855548681795;1,0288000300020417;-10,89278776331391;29,5;49
0;3;50;2;3;3;6;0,01;0,05;FDX;Media dos resultados por ativo;18,932345554340124;1,0929545560831095;-9,08790925484329;35,0;49
0;3;80;2;3;4;6;0,05;0,06;WY;Media dos resultados por ativo;11,867228766465542;0,6885407093615792;-17,308403115339885;27,0;49
0;3;100;2;3;4;6;0,03;0,05;CINF;Media dos resultados por ativo;23,387775687626736;1,522474742188006;-9,88596731385404;26,0;49
0;3;100;2;3;4;6;0,01;0,05;AEE;Media dos resultados por ativo;14,547713241771632;1,4677188599075168;-6,853748162201179;23,0;49
0;3;100;2;3;3;6;0,05;0,05;TJX;Media dos resultados por ativo;15,82648690532168;1,0817856056312145;-16,023340367515317;26,5;49
0;3;50;2;3;4;6;0,01;0,05;SO;Media dos resultados por ativo;21,95466042991112;1,7714745105719265;-4,937615737433931;27,0;49
0;3;90;2;3;4;6;0,02;0,07;ITW;Media dos resultados por ativo;19,148123356285616;1,1296011592296415;-14,7308399759225;27,0;42
0;3;80;2;3;4;6;0,03;0,05;BAC;Media dos resultados por ativo;9,631184327487295;0,752576252401123;-13,88949292530553;22,5;42
0;3;50;2;3;4;6;0,03;0,05;CL;Media dos resultados por ativo;9,869742733218123;0,8176075218997518;-18,46873496352677;26,0;49
0;3;60;2;3;3;6;0,01;0,06;COF;Media dos resultados por ativo;13,840696443679246;0,7273531593628262;-15,77492041293388;40,0;49
0;3;60;2;3;4;6;0,04;0,06;MMC;Media dos resultados por ativo;15,347692133610346;0,951107581580248;-14,113525072443906;22,0;42
0;3;70;2;3;4;6;0,01;0,05;DHR;Media dos resultados por ativo;11,684735514844323;0,930960953047584;-13,037673283280078;32,0;42
0;3;50;2;3;4;6;0,01;0,05;HAS;Media dos resultados por ativo;18,58714984584048;1,182841499871901;-8,887966205387798;34,5;49
0;3;50;2;3;3;6;0,01;0,05;PFE;Media dos resultados por ativo;17,313567431924817;1,2039464738975627;-12,876717199038673;34,5;49
0;3;50;2;3;4;6;0,02;0,05;MMM;Media dos resultados por ativo;12,935560348681186;0,8492504993022146;-11,837052900915568;25,0;49
0;3;100;2;3;4;6;0,02;0,05;ED;Media dos resultados por ativo;15,103995417002956;1,2204872419311696;-8,809853878714819;27,0;49
0;3;50;2;3;3;6;0,01;0,05;ORCL;Media dos resultados por ativo;30,981613922607067;1,456234354431952;-11,272610649551302;41,5;49
0;3;100;2;3;4;6;0,03;0,1;PNC;Media dos resultados por ativo;21,166304288000816;1,1267782704621083;-14,863165619614216;23,0;42
0;3;90;2;3;4;6;0,02;0,05;MU;Media dos resultados por ativo;31,863410905488543;1,5276949972890843;-9,529497365398498;32,5;49
0;3;50;2;3;4;6;0,01;0,07;MCO;Media dos resultados por ativo;17,769008880512082;1,2271248170873086;-11,535794563221993;29,5;49
0;3;50;2;3;3;6;0,01;0,05;FDX;Media dos resultados por ativo;18,932345554340124;1,0929545560831095;-9,08790925484329;35,0;49
0;3;80;2;3;4;6;0,05;0,06;WY;Media dos resultados por ativo;11,867228766465542;0,6885407093615792;-17,308403115339885;27,0;49
0;3;80;2;3;4;6;0,01;0,05;CINF;Media dos resultados por ativo;20,70003839297161;1,337300262412377;-9,326721914893398;31,5;49
0;3;100;2;3;4;6;0,01;0,05;AEE;Media dos resultados por ativo;14,547713241771632;1,4677188599075168;-6,853748162201179;23,0;49
0;3;90;2;3;3;6;0,05;0,05;TJX;Media dos resultados por ativo;18,631718148477248;1,1660925897660257;-16,547157011572526;28,5;49
0;3;50;2;3;4;6;0,01;0,05;SO;Media dos resultados por ativo;21,95466042991112;1,7714745105719265;-4,937615737433931;27,0;49
0;3;90;2;3;4;6;0,02;0,07;ITW;Media dos resultados por ativo;19,148123356285616;1,1296011592296415;-14,7308399759225;27,0;42
