;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ind;start_date;end_date;final_balance;return_%;return_ann_%;sharpe_ratio;sortino_ratio;volatility;max_drawdown_%;trades;win_rate_%;profit_factor;avg_trade_return
0;28;3;50;2;3;4;6;0,02;0,05;6;2000-01-01;2002-03-04;10715059,668014446;7,150596680144463;3,2693881131025337;0,3462191087558427;0,5109415356862131;9,443118621763134;-12,72146614713484;6;50,0;1,6774839128511578;1,1577354740425871
1;28;3;50;2;3;4;6;0,02;0,07;6;2000-01-01;2002-03-04;11823489,771198375;18,234897711983752;8,11482098697056;0,7157942489311565;1,2469863165320694;11,336806629960819;-12,72146614713484;6;50,0;2,6148941370381853;2,831054500528385
2;28;3;50;2;3;4;6;0,02;0,09;6;2000-01-01;2002-03-04;12269916,25729872;22,69916257298719;9,99749068353979;0,840009835561206;1,5219324075480094;11,901635266997225;-12,72146614713484;6;50,0;2,9684965221586426;3,468210066297006
3;28;3;50;2;3;4;6;0,02;0,11;6;2000-01-01;2002-03-04;12531874,744534733;25,318747445347327;11,085218235853223;0,9138828241484912;1,6858033701094508;12,12980257746047;-12,72146614713484;6;50,0;3,1692290770161;3,833146320727643
4;28;3;50;2;3;4;6;0,02;0,13;6;2000-01-01;2002-03-04;13370887,751577847;33,70887751577847;14,48957789297296;0,9484658545188522;1,8443269336821884;15,276857700189309;-12,72146614713484;6;50,0;3,805552371521005;4,96070424746784
5;28;3;50;2;3;4;6;0,03;0,05;6;2000-01-01;2002-03-04;12032093,151947908;20,320931519479082;8,999185065071691;0,7182929215400279;1,3295559440681717;12,528572668901344;-10,874704937127333;6;66,66666666666666;2,9825050674977494;3,1312358669061346
6;28;3;50;2;3;4;6;0,03;0,07;6;2000-01-01;2002-03-04;13276766,499509387;32,76766499509387;14,113467432415195;0,9828920094337597;2,053912161248791;14,359123176254032;-10,874704937127333;6;66,66666666666666;4,053621654423234;4,837199908038414
7;28;3;50;2;3;4;6;0,03;0,09;6;2000-01-01;2002-03-04;13778061,475258667;37,78061475258667;16,100580566913123;1,0783087870240307;2,323423237429236;14,931326500035572;-10,874704937127333;6;66,66666666666666;4,457659683992847;5,486785830748775
8;28;3;50;2;3;4;6;0,03;0,11;6;2000-01-01;2002-03-04;14072216,506100496;40,72216506100496;17,24865235562534;1,13661909598909;2,4868241179855026;15,175402574611416;-10,874704937127333;6;66,66666666666666;4,687023481715683;5,858841677547844
9;28;3;50;2;3;4;6;0,03;0,13;6;2000-01-01;2002-03-04;15391448,94968736;53,9144894968736;22,246252785032627;1,1638459425308478;2,598798320648591;19,114430846970098;-10,874704937127333;6;66,66666666666666;5,690855644398226;7,451694028413636
10;28;3;50;2;3;4;6;0,04;0,05;6;2000-01-01;2002-03-04;11886086,255135732;18,860862551357318;8,381065008928523;0,6681310776845595;1,2157599861706085;12,54404306109141;-10,874704937127333;6;66,66666666666666;2,673755839676365;2,9215944689159556
11;28;3;50;2;3;4;6;0,04;0,07;6;2000-01-01;2002-03-04;13115653,403677328;31,156534036773277;13,466335474540813;0,9376580575193731;1,9251969485061187;14,361669871601976;-10,874704937127333;6;66,66666666666666;3,6339903286219215;4,624090688844529
12;28;3;50;2;3;4;6;0,04;0,09;6;2000-01-01;2002-03-04;13610867,486062925;36,10867486062925;15,442188887444775;1,0342590262783338;2,1897785499972335;14,930678384322906;-10,874704937127333;6;66,66666666666666;3,9962023002915714;5,272356157089209
13;28;3;50;2;3;4;6;0,04;0,11;6;2000-01-01;2002-03-04;13901456,029514289;39,014560295142886;16,58376192121256;1,0929144700451918;2,349584417254633;15,173888145635791;-10,874704937127333;6;66,66666666666666;4,201822334354513;5,643655702393402
14;28;3;50;2;3;4;6;0,04;0,13;6;2000-01-01;2002-03-04;15204672,576399384;52,04672576399384;21,552993938135344;1,12958134556962;2,488949031091618;19,08051511532948;-10,874704937127333;6;66,66666666666666;5,101737689495625;7,233270161355554
