;ativo;cenario;variavel;melhor_valor;media_de_pontos
0;CI;cenario_in_sample_1x;janela_rsi;56;6,015641498345383
1;CI;cenario_in_sample_1x;ordem;3;5,240308425656867
2;CI;cenario_in_sample_1x;lookback;50;6,230046855620334
3;CI;cenario_in_sample_1x;break_min;4;5,529661452292649
