indice;indice_original_upper_pivot;valor_rsi;resist_slope;resist_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
238,0;828,0;57,49524689178795;0,035801760053023546;27,851389567884453;802,0;901,0;1,0;823,0;897,0;5,0
240,0;828,0;57,49524689178795;0,035801760053023546;27,851389567884453;805,0;904,0;1,0;823,0;902,0;5,0
242,0;828,0;57,49524689178795;0,035801760053023546;27,851389567884453;809,0;908,0;1,0;823,0;902,0;5,0
244,0;920,0;61,1797753870901;0,04004922277502341;24,33449043406857;820,0;919,0;1,0;823,0;909,0;5,0
245,0;920,0;61,1797753870901;0,04004922277502341;24,33449043406857;823,0;922,0;1,0;823,0;920,0;6,0
246,0;924,0;61,35593292830274;0,04021547954702909;24,196829826847868;824,0;923,0;1,0;828,0;920,0;5,0
247,0;924,0;61,35593292830274;0,04021547954702909;24,196829826847868;828,0;927,0;1,0;828,0;924,0;6,0
248,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;831,0;930,0;1,0;838,0;924,0;5,0
249,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;838,0;937,0;1,0;838,0;931,0;6,0
251,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;840,0;939,0;1,0;865,0;931,0;5,0
253,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;842,0;941,0;1,0;865,0;940,0;5,0
255,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;848,0;947,0;1,0;865,0;940,0;5,0
257,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;849,0;948,0;1,0;865,0;940,0;5,0
258,0;931,0;62,084762032082345;-0,15550309961086603;206,85814776979862;863,0;962,0;1,0;924,0;949,0;3,0
259,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;863,0;962,0;1,0;865,0;949,0;5,0
260,0;931,0;62,084762032082345;-0,15550309961086603;206,85814776979862;865,0;964,0;1,0;924,0;963,0;4,0
261,0;931,0;62,084762032082345;0,049467424520189755;16,03058980378568;865,0;964,0;1,0;865,0;963,0;5,0
262,0;931,0;62,084762032082345;-0,15550309961086603;206,85814776979862;871,0;970,0;1,0;924,0;963,0;4,0
263,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;871,0;970,0;1,0;897,0;963,0;4,0
264,0;931,0;62,084762032082345;-0,15550309961086603;206,85814776979862;879,0;978,0;1,0;924,0;971,0;4,0
265,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;879,0;978,0;1,0;897,0;971,0;4,0
266,0;931,0;62,084762032082345;-0,15550309961086603;206,85814776979862;882,0;981,0;1,0;924,0;971,0;4,0
267,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;882,0;981,0;1,0;897,0;971,0;4,0
268,0;931,0;62,084762032082345;-0,1154866918827794;169,60287217494997;888,0;987,0;1,0;924,0;982,0;3,0
269,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;888,0;987,0;1,0;897,0;982,0;4,0
270,0;931,0;62,084762032082345;-0,1154866918827794;169,60287217494997;896,0;995,0;1,0;924,0;988,0;4,0
271,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;896,0;995,0;1,0;897,0;988,0;4,0
272,0;931,0;62,084762032082345;-0,1154866918827794;169,60287217494997;897,0;996,0;1,0;924,0;996,0;5,0
273,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;897,0;996,0;1,0;897,0;996,0;4,0
274,0;931,0;62,084762032082345;-0,1154866918827794;169,60287217494997;902,0;1001,0;1,0;924,0;996,0;5,0
275,0;931,0;62,084762032082345;0,0822715131811129;-14,510016739533775;902,0;1001,0;1,0;920,0;996,0;3,0
276,0;1005,0;57,52284289513943;-0,061647555904633944;119,47863657929655;905,0;1004,0;1,0;920,0;996,0;4,0
277,0;1005,0;57,52284289513943;-0,061647555904633944;119,47863657929655;909,0;1008,0;1,0;920,0;1005,0;5,0
278,0;1016,0;61,5508611988807;-0,006281186272960494;67,93254645220857;916,0;1015,0;1,0;920,0;1005,0;3,0
279,0;1016,0;61,5508611988807;-0,006281186272960494;67,93254645220857;920,0;1019,0;1,0;920,0;1016,0;4,0
280,0;1016,0;61,5508611988807;-0,006281186272960494;67,93254645220857;924,0;1023,0;1,0;924,0;1016,0;3,0
288,0;949,0;59,28570623908676;0,07175675429818355;-8,811453589889432;949,0;1048,0;1,0;949,0;1047,0;3,0
290,0;1026,0;64,81097632004689;0,14614272106455842;-85,13145549219006;956,0;1055,0;1,0;963,0;1047,0;3,0
292,0;1026,0;64,81097632004689;0,14614272106455842;-85,13145549219006;963,0;1062,0;1,0;963,0;1056,0;3,0
294,0;1026,0;64,81097632004689;0,24497251908639397;-186,53082826259333;967,0;1066,0;1,0;971,0;1056,0;5,0
296,0;1026,0;64,81097632004689;0,24497251908639397;-186,53082826259333;971,0;1070,0;1,0;971,0;1067,0;5,0
299,0;1047,0;65,1766302617479;-0,46252981543987504;549,4453470272971;982,0;1081,0;1,0;1047,0;1080,0;3,0
310,0;1111,0;60,22631001543452;-0,07734875384864659;146,16077554128088;1016,0;1115,0;1,0;1026,0;1111,0;3,0
311,0;1111,0;60,22631001543452;-0,07734875384864659;146,16077554128088;1026,0;1125,0;1,0;1026,0;1111,0;3,0
313,0;1047,0;65,1766302617479;-0,0676670154286694;136,02399541556477;1034,0;1133,0;1,0;1047,0;1127,0;3,0
315,0;1047,0;65,1766302617479;-0,0676670154286694;136,02399541556477;1040,0;1139,0;1,0;1047,0;1134,0;4,0
316,0;1047,0;65,1766302617479;-0,0676670154286694;136,02399541556477;1047,0;1146,0;1,0;1047,0;1140,0;4,0
317,0;1111,0;60,22631001543452;-0,04072652591221116;105,47348030390111;1051,0;1150,0;1,0;1111,0;1140,0;3,0
318,0;1111,0;60,22631001543452;0,09457277060334364;-44,84403812488026;1051,0;1150,0;1,0;1056,0;1140,0;3,0
319,0;1111,0;60,22631001543452;-0,04072652591221116;105,47348030390111;1056,0;1155,0;1,0;1111,0;1151,0;3,0
320,0;1111,0;60,22631001543452;0,09457277060334364;-44,84403812488026;1056,0;1155,0;1,0;1056,0;1151,0;3,0
322,0;1134,0;59,289599919453664;-0,04072652591221116;105,47348030390111;1067,0;1166,0;1,0;1111,0;1156,0;3,0
324,0;1134,0;59,289599919453664;-0,04072652591221116;105,47348030390111;1072,0;1171,0;1,0;1111,0;1156,0;3,0
325,0;1134,0;59,289599919453664;-0,3489225404108467;454,9677607453538;1080,0;1179,0;1,0;1134,0;1172,0;3,0
326,0;1134,0;59,289599919453664;-0,04072652591221116;105,47348030390111;1080,0;1179,0;1,0;1111,0;1172,0;3,0
327,0;1134,0;59,289599919453664;-0,3489225404108467;454,9677607453538;1081,0;1180,0;1,0;1134,0;1172,0;3,0
