;ativo;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;media_pontos_ponderados
0;CSCO;2;28;2;50;3;2;6;0,01;0,07;8,35459008971665
1;MSFT;2;42;3;50;3;2;6;0,02;0,05;6,672535368698623
2;PHM;2;35;2;50;4;2;6;0,01;0,05;7,395098253815895
3;MAR;2;28;2;70;3;2;6;0,02;0,05;6,69432324643239
4;YUM;2;42;2;50;3;2;6;0,02;0,06;7,601547439759836
5;COST;2;28;2;50;4;2;6;0,02;0,05;7,639191727417421
6;HSY;2;28;2;60;3;2;6;0,01;0,05;7,496278443054619
7;K;2;35;2;90;3;2;6;0,03;0,05;6,499602971629197
8;HES;2;42;3;50;3;2;6;0,01;0,05;7,265323770235201
9;BSX;2;35;2;50;3;2;6;0,01;0,05;6,6186017789977765
10;CI;2;28;3;50;3;2;6;0,02;0,05;6,2204941310135125
11;CVS;2;42;2;60;3;2;6;0,01;0,05;7,184887563855542
12;BA;2;35;2;50;3;2;6;0,01;0,05;8,307662580896226
13;GE;2;42;2;70;4;2;6;0,02;0,05;6,931917600144312
14;WM;2;28;2;60;4;2;6;0,01;0,05;6,720958769733798
15;ADBE;2;42;2;60;3;2;6;0,01;0,05;7,3714250372591135
16;AAPL;2;35;2;50;3;2;6;0,01;0,05;7,913708040965753
17;HPQ;2;35;2;50;3;2;6;0,01;0,05;9,137985817544848
18;VMC;2;35;2;50;4;2;6;0,01;0,05;7,326482520027589
19;NEM;2;28;2;50;4;2;6;0,01;0,05;7,157123603714237
20;AEP;2;49;2;50;3;2;6;0,02;0,05;8,025487755522558
21;NEE;2;35;2;50;4;2;6;0,01;0,05;7,400414425407173
22;CMI;2;28;2;50;3;2;6;0,01;0,05;8,856298595929562
23;AFL;2;35;3;50;3;2;6;0,03;0,05;6,619709788426593
24;JNJ;2;35;2;50;3;2;6;0,01;0,05;7,50982898074125
25;AIG;2;49;3;50;4;2;6;0,01;0,05;7,229095509812758
26;LLY;2;42;2;50;3;2;6;0,02;0,05;6,998107324235358
27;NOC;2;35;2;60;3;2;6;0,01;0,05;7,945086945175444
28;AES;2;42;2;50;3;2;6;0,01;0,05;7,507053819441819
29;BEN;2;28;2;70;3;2;6;0,01;0,05;7,165435179167194
30;BAC;2;28;2;50;3;2;6;0,01;0,05;8,090554961893638
31;CL;2;49;3;50;3;2;6;0,03;0,07;6,597961421041947
32;COF;2;35;2;50;3;2;6;0,01;0,05;8,1857421846133
33;MMC;2;42;3;50;3;2;6;0,01;0,06;6,589311063620808
34;DHR;2;28;2;50;3;2;6;0,01;0,05;8,06949713683559
35;HAS;2;42;2;50;4;2;6;0,02;0,05;6,279300241581455
36;PFE;2;28;2;60;3;2;6;0,03;0,07;6,8881228186116505
37;MMM;2;49;2;60;3;2;6;0,02;0,05;7,981308258039981
38;ED;2;42;2;50;3;2;6;0,01;0,05;8,33592432977941
39;ORCL;2;28;2;50;4;2;6;0,01;0,05;7,64955523903699
40;PNC;2;28;2;70;3;2;6;0,01;0,05;7,568023212528013
41;MU;2;28;2;50;4;2;6;0,02;0,07;8,039736646226453
42;MCO;2;28;2;50;3;2;6;0,02;0,05;7,826146901998247
43;FDX;2;28;2;50;3;2;6;0,02;0,05;8,558342817135877
44;WY;2;28;2;50;4;2;6;0,01;0,05;8,887405643051927
45;CINF;2;42;2;50;3;2;6;0,03;0,07;7,470310832417797
46;AEE;2;42;2;50;4;2;6;0,01;0,05;7,677718393504267
47;TJX;2;35;2;50;3;2;6;0,01;0,05;7,611780433540649
48;SO;2;28;2;50;3;2;6;0,02;0,05;7,165281552939456
49;ITW;2;28;3;50;3;2;6;0,02;0,05;8,41358709881786
