;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
3;35;3;50;2;3;3;6;0,02;0,05;CSCO;in_sample_1_2x;55,41967109734956;1,6480866372004528;-12,60804630516532;67,0;30,72623372276113;1,0592586249878049;-30,56463009107754;53,0;62,01918407697775;1,7767105566515113;-9,792378107016075;68,0;7,891054405249158;8,207212026695764;8,644505082881864;9,333333333333334;8,295060812193459
30;35;3;50;2;3;3;6;0,02;0,05;CSCO;in_sample_2_2x;2,2273592290244837;0,1323074398438961;-29,861577343605994;52,0;1,4473382534958557;0,09296543401870966;-36,61835450930526;38,0;9,38738030014903;0,5597782847561481;-14,304798361947913;57,0;0,982388973440533;0,8427789801209772;3,028104135924336;7,368421052631579;2,1470357241599243
57;35;3;50;2;3;3;6;0,02;0,05;CSCO;in_sample_3_2x;15,919822354216917;1,1081157615760289;-19,199131259687107;25,0;0,11660907399348996;0,009862944564669377;-19,199131259687107;19,0;18,702361146675205;1,2757424400538564;-7,621642640560378;26,0;8,502864569818403;8,675808565703564;0,0;8,571428571428571;7,347377058898701
84;35;3;50;2;3;3;6;0,02;0,05;CSCO;out_of_sample_val_1;-9,899629810797128;-0,9319392231073446;-23,128720553724847;6,0;-9,899629810797128;-1,1455454752957883;-23,12872801725674;1,0;8,69271384563286;1,0466211996583206;-1,1856184976753226;6,0;0,0;0,9744069856956267;3,4013100500580296e-06;10,0;1,7069739103859003
111;35;3;50;2;3;3;6;0,02;0,05;CSCO;out_of_sample_val_2;16,941661606940617;0,9507485034910907;-8,835545120241717;18,0;5,873932568016671;0,6219180068630408;-10,97864726828498;10,0;27,00285700970848;1,3145705805543477;-6,317481295900096;19,0;5,238188564433024;4,747408861496545;4,59778124344872;8,88888888888889;5,528007649804254
4;35;3;50;2;3;3;6;0,02;0,06;CSCO;in_sample_1_2x;46,52091871218013;1,3606505827984237;-20,00987352268918;64,0;30,72623372276113;1,0592586249878049;-30,56463009107754;53,0;62,01918407697775;1,7767105566515113;-9,792378107016075;68,0;5,047362045007918;4,200866211506574;5,081180690705571;7,333333333333333;5,136904654582258
31;35;3;50;2;3;3;6;0,02;0,06;CSCO;in_sample_2_2x;3,3725986809753916;0,18973917829285614;-30,415439149360434;50,0;1,4473382534958557;0,09296543401870966;-36,61835450930526;38,0;9,38738030014903;0,5597782847561481;-14,304798361947913;57,0;2,424748403304813;2,0730736979770383;2,7798865044106633;6,315789473684211;2,9308669405661982
58;35;3;50;2;3;3;6;0,02;0,06;CSCO;in_sample_3_2x;17,354613071600177;1,2069520313350017;-19,19911456496792;23,0;0,11660907399348996;0,009862944564669377;-19,199131259687107;19,0;18,702361146675205;1,2757424400538564;-7,621642640560378;26,0;9,274848782118418;9,4565801171124;1,441998324072594e-05;5,714285714285714;7,493143816407001
85;35;3;50;2;3;3;6;0,02;0,06;CSCO;out_of_sample_val_1;-8,778517961365129;-0,7995313212967501;-23,128708854150993;6,0;-9,899629810797128;-1,1455454752957883;-23,12872801725674;1,0;8,69271384563286;1,0466211996583206;-1,1856184976753226;6,0;0,6029965184320769;1,5784117054250983;8,7330857691183e-06;10,0;2,1379745284617426
112;35;3;50;2;3;3;6;0,02;0,06;CSCO;out_of_sample_val_2;25,093383791045177;1,2712995081765255;-8,83554065826736;17,0;5,873932568016671;0,6219180068630408;-10,97864726828498;10,0;27,00285700970848;1,3145705805543477;-6,317481295900096;19,0;9,096275239218748;9,375284608454992;4,597790816105825;7,777777777777778;8,344994789778548
