;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;;
49;21;3;50;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;13,41953795;0,564674518;-28,65574042;38;;;
50;21;3;50;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;11,95502487;0,588432198;-30,73815334;38;;;
51;21;3;50;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;10,36183509;0,399256971;-39,0901111;34;;;
52;21;3;100;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;12,59382857;0,713907926;-17,94679289;40;;;
53;21;3;100;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;10,16599762;0,475148246;-28,74313696;34;;;
54;21;3;100;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;14,83682194;0,769854982;-14,11560062;40;;;
55;21;3;100;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;9,952152349;0,418138855;-25,41884525;32;;;
56;21;4;50;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;10,18157493;0,962480677;-9,353997244;22;;;
57;21;4;50;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;8,325519814;0,588160543;-23,4961522;22;;;
58;21;4;50;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;12,40475545;0,892768631;-12,31409193;21;;;
59;21;4;50;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;7,732397586;0,429880805;-24,12332553;21;;;
60;21;4;100;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;11,67902689;0,757398454;-13,28710264;30;;;
61;21;4;100;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;11,37768392;0,61699904;-24,76025487;26;;;
62;21;4;100;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;14,86536648;0,862260609;-13,1241567;30;;;
63;21;4;100;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;10,78971742;0,505376117;-21,0364087;25;;;
64;21;5;50;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;8,578366569;1,00505938;-5,941634492;14;;;
65;21;5;50;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;4,107261545;0,334282766;-23,91701429;14;;;
66;21;5;50;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;7,547787618;0,787510664;-12,31409193;13;;;96
67;21;5;50;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;3,135489254;0,21915594;-28,90684261;13;;;
68;21;5;100;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;8,52427687;0,667363391;-13,28710273;25;;;
69;21;5;100;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;5,222669383;0,320568783;-36,63438031;22;;;
70;21;5;100;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;9,222389138;0,660274188;-13,12415687;25;;;
71;21;5;100;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;3,694763478;0,195426945;-30,59968602;22;;;
72;28;3;50;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;21,25237013;0,968951213;-17,37448189;49;;;
73;28;3;50;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;13,65477152;0,555200279;-22,94120572;46;;;
74;28;3;50;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;31,17854825;1,123074252;-16,63871475;45;;;
75;28;3;50;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;17,2807744;0,543467105;-26,15135221;41;;;
76;28;3;100;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;24,35491782;1,104597357;-11,61941209;50;;;
77;28;3;100;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;28,76802468;1,039044816;-20,08038369;42;;;
78;28;3;100;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;20,84622931;0,893519945;-22,2448031;47;;;
79;28;3;100;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;25,31647563;0,871845433;-32,24740083;39;;;
80;28;4;50;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;11,46528514;0,853924156;-11,7957237;25;;;
81;28;4;50;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;6,468986972;0,417735825;-13,37710126;24;;;
82;28;4;50;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;10,66836345;0,69116477;-16,24592456;23;;;
83;28;4;50;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;-0,325643292;-0,019182843;-22,64372517;21;;;
84;28;4;100;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;20,19271342;1,096329776;-11,16822008;36;;;
85;28;4;100;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;25,14288;1,055297968;-14,23969669;30;;;
86;28;4;100;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;15,79167809;0,841786614;-18,37642564;34;;;
87;28;4;100;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;16,18065383;0,726358116;-25,33593432;27;;;
88;28;5;50;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;6,727232616;0,583357731;-17,8424871;20;;;
89;28;5;50;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;3,665172603;0,270544767;-18,64676729;20;;;
90;28;5;50;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;10,922506;0,707022966;-15,45228836;18;;;
91;28;5;50;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;2,578066864;0,148363484;-29,45271204;17;;;
92;28;5;100;2;3;4;6;0,02;0,05;AAPL;in_sample_1_1x;17,46881906;1,022350039;-13,6591373;33;;;
93;28;5;100;2;3;4;6;0,02;0,1;AAPL;in_sample_1_1x;20,6290186;0,939562512;-14,23969668;28;;;
94;28;5;100;2;3;4;6;0,05;0,05;AAPL;in_sample_1_1x;14,73744463;0,827220036;-19,97770008;29;;;
95;28;5;100;2;3;4;6;0,05;0,1;AAPL;in_sample_1_1x;15,02920867;0,69822166;-25,33593419;24;;;
96;21;3;50;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;3,637814155;0,378330949;-16,55612396;38;;;
97;21;3;50;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;3,407621461;0,224035067;-35,47618802;34;;;
98;21;3;50;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;2,49749902;0,217627466;-30,31411944;37;;;
99;21;3;50;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;0,882243293;0,052741736;-41,93918513;31;;;
100;21;3;100;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;11,97468027;1,090414407;-13,28246708;39;;;
101;21;3;100;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;11,59088016;0,74049767;-24,97096791;33;;;
102;21;3;100;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;10,55577151;0,818618755;-21,74136034;38;;;
103;21;3;100;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;7,902816899;0,460992908;-34,91745464;31;;;
104;21;4;50;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;4,294112989;0,517046118;-11,86605179;25;;;
