Date,RSI
2000-01-03,
2000-01-04,
2000-01-05,
2000-01-06,
2000-01-07,
2000-01-10,
2000-01-11,
2000-01-12,
2000-01-13,
2000-01-14,
2000-01-17,
2000-01-18,
2000-01-19,
2000-01-20,
2000-01-21,
2000-01-24,
2000-01-26,
2000-01-27,
2000-01-28,
2000-01-31,
2000-02-01,46.871165644171775
2000-02-02,49.54849985435479
2000-02-03,62.594102885821826
2000-02-04,63.0633421093387
2000-02-07,65.49976969138646
2000-02-08,67.29733663222238
2000-02-09,60.32700910072498
2000-02-10,66.17811056237056
2000-02-11,60.85282795380515
2000-02-14,54.11077797064857
2000-02-15,52.16318473433131
2000-02-16,50.50212765957446
2000-02-17,50.64868555821099
2000-02-18,51.34106246755494
2000-02-21,54.70239165617694
2000-02-22,54.04157043879908
2000-02-23,57.283031635933014
2000-02-24,55.74978577549272
2000-02-25,56.06320851940914
2000-02-28,57.07291484525266
2000-02-29,61.58469945355192
2000-03-01,62.66595857673925
2000-03-02,60.69698099142751
2000-03-03,60.893751158909694
2000-03-08,53.33206759065882
2000-03-09,54.81617647058824
2000-03-10,46.13333333333333
2000-03-13,43.17290552584671
2000-03-14,37.961672473867594
2000-03-15,43.48391894404164
2000-03-16,48.35348837209302
2000-03-17,46.206513693560325
2000-03-20,44.395562356541696
2000-03-21,53.078484438430316
2000-03-22,56.16609987470914
2000-03-23,55.70627599927655
2000-03-24,60.47333097845284
2000-03-27,59.99284948158741
2000-03-28,54.569105691056905
2000-03-29,52.070361145703615
2000-03-30,50.78955359854236
2000-03-31,51.20445648900933
2000-04-03,44.88734835355286
2000-04-04,41.43984757757213
2000-04-05,35.847107438016536
2000-04-06,41.71161976964572
2000-04-07,41.7201166180758
2000-04-10,39.63439966763605
2000-04-11,42.21238938053097
2000-04-12,43.21304544768232
2000-04-13,37.089910775566224
2000-04-14,31.58303155716503
2000-04-17,32.32323232323233
2000-04-18,37.08536585365853
2000-04-19,28.27717736808647
2000-04-20,30.827067669172934
2000-04-24,29.206349206349216
2000-04-25,31.329835766423358
2000-04-26,29.471711374018966
2000-04-27,31.727616645649434
2000-04-28,33.75952473201602
2000-05-02,35.55978778397497
2000-05-03,32.14803108125905
2000-05-04,34.10646919100182
2000-05-05,38.869615495808034
2000-05-08,37.34203582835717
2000-05-09,31.88753885278328
2000-05-10,27.544473607465733
2000-05-11,31.55684754521964
2000-05-12,32.63193052772212
2000-05-15,40.05338357669964
2000-05-16,48.79507776448471
2000-05-17,50.68347239481626
2000-05-18,48.38599487617421
2000-05-19,40.284019413985256
2000-05-22,40.61990212071778
2000-05-23,35.425685425685415
2000-05-24,44.50472523626181
2000-05-25,38.150965476887066
2000-05-26,41.6881206325855
2000-05-29,44.11089528518453
2000-05-30,47.60801191855653
2000-05-31,45.51353062193385
2000-06-01,52.66531186493668
2000-06-02,58.904694167852064
2000-06-05,55.76564962039822
2000-06-06,57.84546805349182
2000-06-07,62.52594129854729
2000-06-08,64.6096654275093
2000-06-09,63.71892213785917
2000-06-12,61.83184050852355
2000-06-13,59.86022485566697
2000-06-14,57.99682034976153
2000-06-15,64.0927284856571
2000-06-16,65.26834239130434
2000-06-19,70.97954432063861
2000-06-20,76.44635500626903
2000-06-21,82.22886271752505
2000-06-23,76.0905884536848
2000-06-26,72.85229505268798
2000-06-27,67.98758217677135
2000-06-28,68.55605381165918
2000-06-29,60.46259486808818
2000-06-30,65.91767032176882
2000-07-03,65.08930215429939
2000-07-04,60.89915446483811
2000-07-05,61.59783062161035
2000-07-06,64.20604339890488
2000-07-07,63.66069590282067
2000-07-10,61.04591311509162
2000-07-11,54.99907252828789
2000-07-12,58.98834148176006
2000-07-13,50.79365079365079
2000-07-14,54.2247744052502
2000-07-17,56.45387857031372
2000-07-18,57.50397456279809
2000-07-19,50.618458610846815
2000-07-20,52.737226277372265
2000-07-21,50.50955414012738
2000-07-24,53.3684730686872
2000-07-25,52.461139896373055
2000-07-26,55.06234413965087
2000-07-27,50.913436913095445
2000-07-28,50.67119796091759
2000-07-31,47.56032171581769
2000-08-01,42.60048157066124
2000-08-02,40.779667494744885
2000-08-03,46.23362445414847
2000-08-04,44.48619199699418
2000-08-07,44.31882419446015
2000-08-08,44.45284445284445
2000-08-09,46.56503662641061
2000-08-10,47.8957528957529
2000-08-11,59.267199376339896
2000-08-14,59.09980430528376
2000-08-15,53.811563169164884
2000-08-16,49.62480252764613
2000-08-17,57.75775775775776
2000-08-18,51.07674236491778
2000-08-21,47.7511961722488
2000-08-22,48.47112117780295
2000-08-23,53.86543281280123
2000-08-24,51.80814617434336
2000-08-25,56.40930919837459
2000-08-28,59.485781067393845
2000-08-29,58.6405529953917
2000-08-30,61.01528812230498
2000-08-31,60.038872691933925
2000-09-01,58.615136876006446
2000-09-04,58.581788879935544
2000-09-05,54.36241610738256
2000-09-06,57.091128545564274
2000-09-08,59.40967134184635
2000-09-11,54.90153646396884
2000-09-12,44.26780116435289
2000-09-13,40.254440710513684
2000-09-14,38.73873873873874
2000-09-15,40.68413391557497
2000-09-18,29.659090909090907
2000-09-19,36.86420905272982
2000-09-20,37.93517406962785
2000-09-21,36.82795698924731
2000-09-22,36.533267861527136
2000-09-25,37.5
2000-09-26,31.243243243243242
2000-09-27,29.459734964322124
2000-09-28,33.17440401505645
2000-09-29,31.480558325024916
2000-10-02,29.276773296244784
2000-10-03,26.623376623376615
2000-10-04,30.10309278350516
2000-10-05,38.601758524555
2000-10-06,33.272283272283275
2000-10-09,33.725247524752476
2000-10-10,33.984618582415294
