;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem
0;50;2;3;3;6;0,01;0,05;CSCO;out_of_sample_final_1;18,7764969;1,003705136;-12,05787776;47;28;2
1;50;2;3;3;6;0,01;0,05;CSCO;out_of_sample_final_2;13,98775853;1,057538085;-14,51222628;31;28;2
0;60;2;3;3;6;0,02;0,05;MSFT;out_of_sample_final_1;21,46501473;1,569990332;-7,394667757;29;42;3
1;60;2;3;3;6;0,02;0,05;MSFT;out_of_sample_final_2;4,556513976;0,322199422;-20,43060006;29;42;3
0;50;2;3;4;6;0,01;0,05;PHM;out_of_sample_final_1;52,46063981;1,55996783;-11,86001174;57;35;2
1;50;2;3;4;6;0,01;0,05;PHM;out_of_sample_final_2;13,12918119;0,695643508;-16,515173;45;35;2
0;60;2;3;3;6;0,02;0,05;MAR;out_of_sample_final_1;6,474404136;0,427003719;-26,45576018;34;28;2
1;60;2;3;3;6;0,02;0,05;MAR;out_of_sample_final_2;15,04632447;0,894683946;-19,83303658;32;28;2
0;50;2;3;3;6;0,01;0,06;YUM;out_of_sample_final_1;21,60301954;1,069512289;-13,90055238;44;42;2
1;50;2;3;3;6;0,01;0,06;YUM;out_of_sample_final_2;-2,204509558;-0,196374633;-26,83999553;38;42;2
0;50;2;3;4;6;0,01;0,05;COST;out_of_sample_final_1;1,707958662;0,102404607;-22,81214988;36;28;2
1;50;2;3;4;6;0,01;0,05;COST;out_of_sample_final_2;1,285553056;0,102055664;-25,59641341;33;28;2
0;60;2;3;3;6;0,01;0,05;HSY;out_of_sample_final_1;9,682107956;0,891753905;-10,65533202;30;28;2
1;60;2;3;3;6;0,01;0,05;HSY;out_of_sample_final_2;9,958452921;0,787334415;-11,25031362;31;28;2
0;90;2;3;3;6;0,02;0,05;K;out_of_sample_final_1;4,778161595;0,389803524;-12,76698247;27;35;2
1;90;2;3;3;6;0,02;0,05;K;out_of_sample_final_2;19,45081494;1,491775752;-5,305506577;26;35;2
0;50;2;3;3;6;0,01;0,05;HES;out_of_sample_final_1;25,18069668;1,474807625;-10,28241491;31;42;3
1;50;2;3;3;6;0,01;0,05;HES;out_of_sample_final_2;13,10100298;0,888467177;-16,43934538;31;42;3
0;60;2;3;3;6;0,01;0,05;BSX;out_of_sample_final_1;18,74616079;0,9400269;-10,90548174;37;35;2
1;60;2;3;3;6;0,01;0,05;BSX;out_of_sample_final_2;1,23031773;0,093864757;-29,16129026;40;35;2
0;60;2;3;3;6;0,01;0,05;CI;out_of_sample_final_1;5,188811411;0,543697524;-12,86675824;23;28;3
1;60;2;3;3;6;0,01;0,05;CI;out_of_sample_final_2;-8,236251438;-0,819332278;-30,10568244;27;28;3
0;60;2;3;3;6;0,01;0,05;CVS;out_of_sample_final_1;7,335257008;0,445138109;-22,90231188;43;42;2
1;60;2;3;3;6;0,01;0,05;CVS;out_of_sample_final_2;9,605961023;0,618261434;-18,34175506;37;42;2
0;50;2;3;3;6;0,01;0,05;BA;out_of_sample_final_1;10,91867613;0,645626592;-14,28362532;49;35;2
1;50;2;3;3;6;0,01;0,05;BA;out_of_sample_final_2;30,17677998;1,451997013;-9,633272033;40;35;2
0;70;2;3;4;6;0,02;0,05;GE;out_of_sample_final_1;6,331348539;0,525136835;-13,01311632;30;42;2
1;70;2;3;4;6;0,02;0,05;GE;out_of_sample_final_2;17,75917083;1,040180035;-22,92347637;30;42;2
0;60;2;3;4;6;0,01;0,05;WM;out_of_sample_final_1;16,23014963;1,097444246;-14,17383364;37;28;2
1;60;2;3;4;6;0,01;0,05;WM;out_of_sample_final_2;14,9114747;1,31037318;-5,705813863;22;28;2
0;50;2;3;3;6;0,01;0,06;ADBE;out_of_sample_final_1;40,51289255;1,573100645;-9,804459168;46;42;2
1;50;2;3;3;6;0,01;0,06;ADBE;out_of_sample_final_2;24,42749232;1,050198232;-23,56026346;39;42;2
0;50;2;3;3;6;0,01;0,06;AAPL;out_of_sample_final_1;12,35449259;0,491144605;-39,39046511;50;35;2
1;50;2;3;3;6;0,01;0,06;AAPL;out_of_sample_final_2;24,74448027;1,362473023;-11,91038168;36;35;2
0;50;2;3;3;6;0,01;0,05;HPQ;out_of_sample_final_1;14,53321154;0,741788124;-15,73329256;56;35;2
1;50;2;3;3;6;0,01;0,05;HPQ;out_of_sample_final_2;16,19549338;0,930989532;-12,14464782;37;35;2
0;50;2;3;4;6;0,03;0,05;VMC;out_of_sample_final_1;4,560981995;0,315836746;-18,76937411;37;35;2
1;50;2;3;4;6;0,03;0,05;VMC;out_of_sample_final_2;-2,199828977;-0,118892027;-30,83945114;37;35;2
0;50;2;3;4;6;0,02;0,05;NEM;out_of_sample_final_1;14,35898822;0,661524655;-23,30514548;48;28;2
1;50;2;3;4;6;0,02;0,05;NEM;out_of_sample_final_2;14,39813903;0,637485371;-25,75920921;35;28;2
0;50;2;3;3;6;0,01;0,05;AEP;out_of_sample_final_1;18,38204947;1,30752428;-10,97571272;40;49;2
1;50;2;3;3;6;0,01;0,05;AEP;out_of_sample_final_2;18,28486792;1,185411008;-12,52565209;36;49;2
0;50;2;3;4;6;0,01;0,07;NEE;out_of_sample_final_1;14,75579447;1,104533672;-12,35354067;39;35;2
1;50;2;3;4;6;0,01;0,07;NEE;out_of_sample_final_2;33,4770369;1,564586466;-9,061990174;28;35;2
0;50;2;3;3;6;0,01;0,05;CMI;out_of_sample_final_1;35,42605034;1,702169194;-15,30925906;44;28;2
1;50;2;3;3;6;0,01;0,05;CMI;out_of_sample_final_2;13,77508635;0,928006379;-13,11494012;36;28;2
0;60;2;3;3;6;0,02;0,05;AFL;out_of_sample_final_1;-9,345368499;-0,793397648;-38,34735931;31;35;3
1;60;2;3;3;6;0,02;0,05;AFL;out_of_sample_final_2;-1,043881533;-0,099378626;-26,32515681;19;35;3
0;50;2;3;3;6;0,02;0,05;JNJ;out_of_sample_final_1;5,498961761;0,427877359;-9,554462777;36;35;2
1;50;2;3;3;6;0,02;0,05;JNJ;out_of_sample_final_2;13,43775818;1,059175608;-10,77458517;33;35;2
0;70;2;3;4;6;0,03;0,05;AIG;out_of_sample_final_1;13,01075932;0,88740084;-12,77440202;22;49;3
1;70;2;3;4;6;0,03;0,05;AIG;out_of_sample_final_2;17,16474667;1,171183725;-15,12539846;22;49;3
0;50;2;3;3;6;0,02;0,05;LLY;out_of_sample_final_1;21,86710042;1,20308278;-11,13796081;40;42;2
1;50;2;3;3;6;0,02;0,05;LLY;out_of_sample_final_2;23,4859295;1,23447552;-16,19752141;35;42;2
0;60;2;3;3;6;0,02;0,05;NOC;out_of_sample_final_1;18,50940997;1,261668341;-10,52889545;33;35;2
1;60;2;3;3;6;0,02;0,05;NOC;out_of_sample_final_2;26,66349274;1,43397108;-11,43572259;34;35;2
0;50;2;3;3;6;0,01;0,05;AES;out_of_sample_final_1;84,97698694;1,267137708;-24,34714579;56;42;2
1;50;2;3;3;6;0,01;0,05;AES;out_of_sample_final_2;37,26509702;1,638360066;-11,23359981;44;42;2
0;60;2;3;3;6;0,01;0,05;BEN;out_of_sample_final_1;8,818491088;0,641907113;-9,700376672;34;28;2
1;60;2;3;3;6;0,01;0,05;BEN;out_of_sample_final_2;13,91724408;0,854765106;-17,27416443;34;28;2
0;60;2;3;3;6;0,01;0,05;BAC;out_of_sample_final_1;12,62946062;1,113357115;-7,640154563;33;28;2
1;60;2;3;3;6;0,01;0,05;BAC;out_of_sample_final_2;21,49945567;1,367724631;-11,49589428;32;28;2
0;50;2;3;3;6;0,02;0,06;CL;out_of_sample_final_1;12,56206831;0,889059537;-10,00574763;28;49;3
1;50;2;3;3;6;0,02;0,06;CL;out_of_sample_final_2;8,583749744;0,779217695;-18,21711637;21;49;3
0;50;2;3;3;6;0,01;0,05;COF;out_of_sample_final_1;41,87016236;1,397673848;-11,00055105;49;35;2
1;50;2;3;3;6;0,01;0,05;COF;out_of_sample_final_2;27,8086353;1,381855722;-8,619350267;39;35;2
0;70;2;3;3;6;0,01;0,06;MMC;out_of_sample_final_1;7,394030098;0,700204677;-13,61752913;23;42;3
1;70;2;3;3;6;0,01;0,06;MMC;out_of_sample_final_2;8,548946672;0,826311104;-9,86756796;19;42;3
0;50;2;3;3;6;0,01;0,05;DHR;out_of_sample_final_1;6,353876542;0,412950584;-15,53467725;39;28;2
