;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
131;2;21;4;100;4;2;6;0,02;0,05;MAR;in_sample_2_1x;23,50271197758915;1,0883139098306305;-16,13407124841907;65,0
132;2;21;2;50;3;2;6;0,02;0,05;MAR;in_sample_3_1x;19,508374185380607;1,180235244783076;-14,811496349528186;48,0
133;2;21;2;100;3;2;6;0,02;0,05;MAR;in_sample_3_1x;15,518613195999254;1,0388793311837028;-14,538816474198311;44,0
134;2;21;3;50;3;2;6;0,02;0,05;MAR;in_sample_3_1x;12,558574174636329;0,7810529322698762;-14,56613541767484;38,0
135;2;21;3;100;3;2;6;0,02;0,05;MAR;in_sample_3_1x;18,91360088444003;1,259424194935089;-14,538746910740896;34,0
136;2;21;4;50;3;2;6;0,02;0,05;MAR;in_sample_3_1x;12,34609181747446;0,7932437534899639;-15,278653297628864;34,0
137;2;21;4;100;3;2;6;0,02;0,05;MAR;in_sample_3_1x;14,43322783860972;0,9860467115228656;-14,538778909110404;32,0
138;2;21;2;50;4;2;6;0,02;0,05;MAR;in_sample_3_1x;11,334401879189816;0,6979988757797112;-14,811547879005326;47,0
139;2;21;2;100;4;2;6;0,02;0,05;MAR;in_sample_3_1x;23,144721009549496;1,402128604990826;-14,331915652967254;43,0
140;2;21;3;50;4;2;6;0,02;0,05;MAR;in_sample_3_1x;9,9290189612123;0,6497204298823854;-14,908445183482888;38,0
141;2;21;3;100;4;2;6;0,02;0,05;MAR;in_sample_3_1x;14,536726637815578;0,9695383311720764;-11,892534981312997;33,0
142;2;21;4;50;4;2;6;0,02;0,05;MAR;in_sample_3_1x;9,713554741787522;0,6694189664145689;-20,54861896410143;33,0
143;2;21;4;100;4;2;6;0,02;0,05;MAR;in_sample_3_1x;13,909859303718974;1,0095950573061057;-11,982455507953173;29,0
144;2;21;2;50;3;2;6;0,02;0,05;YUM;in_sample_1_1x;31,506327691448966;1,1817490281183236;-14,779377345579148;106,0
145;2;21;2;100;3;2;6;0,02;0,05;YUM;in_sample_1_1x;15,62088359065077;0,7162452951291804;-17,136800327843616;84,0
146;2;21;3;50;3;2;6;0,02;0,05;YUM;in_sample_1_1x;23,848492452659546;1,0233297369003065;-15,261260241097895;79,0
147;2;21;3;100;3;2;6;0,02;0,05;YUM;in_sample_1_1x;18,223837635401164;0,8642137978697972;-14,471575779446155;72,0
148;2;21;4;50;3;2;6;0,02;0,05;YUM;in_sample_1_1x;31,18006863746841;1,40852153315914;-12,455962069714632;67,0
149;2;21;4;100;3;2;6;0,02;0,05;YUM;in_sample_1_1x;30,03074996107198;1,35375539022201;-12,45596180156372;62,0
150;2;21;2;50;4;2;6;0,02;0,05;YUM;in_sample_1_1x;38,50659347166263;1,3764335653135769;-14,68021063298842;105,0
151;2;21;2;100;4;2;6;0,02;0,05;YUM;in_sample_1_1x;15,077669694157002;0,682836620628962;-21,76931025741041;86,0
152;2;21;3;50;4;2;6;0,02;0,05;YUM;in_sample_1_1x;25,80127080828618;1,08074059756573;-18,715608093868475;79,0
153;2;21;3;100;4;2;6;0,02;0,05;YUM;in_sample_1_1x;25,57413729487488;1,1818219421800875;-16,990994827740913;70,0
154;2;21;4;50;4;2;6;0,02;0,05;YUM;in_sample_1_1x;33,4942909729925;1,453633944822987;-12,059005146385504;69,0
155;2;21;4;100;4;2;6;0,02;0,05;YUM;in_sample_1_1x;35,57444119193234;1,6173242552079714;-9,85881077630506;59,0
156;2;21;2;50;3;2;6;0,02;0,05;YUM;in_sample_2_1x;10,355157214827893;0,5044883451611988;-21,711453851745844;109,0
157;2;21;2;100;3;2;6;0,02;0,05;YUM;in_sample_2_1x;9,64398631943839;0,5002077877840407;-22,59090114392932;86,0
158;2;21;3;50;3;2;6;0,02;0,05;YUM;in_sample_2_1x;3,050747075289273;0,1733827559192518;-29,033796556545244;82,0
159;2;21;3;100;3;2;6;0,02;0,05;YUM;in_sample_2_1x;7,293717051102821;0,4002671060237284;-16,997407672889764;76,0
160;2;21;4;50;3;2;6;0,02;0,05;YUM;in_sample_2_1x;2,9446523673808622;0,2065462821385454;-28,60645017433337;64,0
161;2;21;4;100;3;2;6;0,02;0,05;YUM;in_sample_2_1x;9,727724554575625;0,572252860922006;-16,588906646444258;64,0
162;2;21;2;50;4;2;6;0,02;0,05;YUM;in_sample_2_1x;7,778909649587562;0,3832831375252855;-19,46218755967096;104,0
163;2;21;2;100;4;2;6;0,02;0,05;YUM;in_sample_2_1x;4,4182124054736205;0,2439205376484506;-31,65910361336473;82,0
164;2;21;3;50;4;2;6;0,02;0,05;YUM;in_sample_2_1x;0,137448319415756;0,0076753525818289;-31,34815091379878;80,0
165;2;21;3;100;4;2;6;0,02;0,05;YUM;in_sample_2_1x;3,603635041023456;0,203388993998765;-31,14571840522844;72,0
166;2;21;4;50;4;2;6;0,02;0,05;YUM;in_sample_2_1x;4,315666330675283;0,2661536082918344;-28,166255175941203;63,0
167;2;21;4;100;4;2;6;0,02;0,05;YUM;in_sample_2_1x;9,38683638936395;0,5577260259982296;-25,095503993447167;59,0
168;2;21;2;50;3;2;6;0,02;0,05;YUM;in_sample_3_1x;14,483809998073127;1,0982114809398862;-12,019598088559135;47,0
169;2;21;2;100;3;2;6;0,02;0,05;YUM;in_sample_3_1x;6,719198608567512;0,5272546695446285;-14,208632352811756;39,0
170;2;21;3;50;3;2;6;0,02;0,05;YUM;in_sample_3_1x;5,780365957301337;0,5385889925196189;-16,04934327350064;38,0
171;2;21;3;100;3;2;6;0,02;0,05;YUM;in_sample_3_1x;6,406730776750602;0,5385421237569982;-13,373114063584456;32,0
172;2;21;4;50;3;2;6;0,02;0,05;YUM;in_sample_3_1x;8,855220711302003;0,7356320149080307;-8,204394715732688;32,0
173;2;21;4;100;3;2;6;0,02;0,05;YUM;in_sample_3_1x;14,231921115111223;1,0797913510329238;-10,142866787533544;28,0
174;2;21;2;50;4;2;6;0,02;0,05;YUM;in_sample_3_1x;15,10358804777816;1,230420972216599;-8,21329474439273;48,0
175;2;21;2;100;4;2;6;0,02;0,05;YUM;in_sample_3_1x;13,322467393668736;1,0116079743551487;-9,881224907861796;36,0
176;2;21;3;50;4;2;6;0,02;0,05;YUM;in_sample_3_1x;3,700178337115823;0,370722103372434;-13,947744773744986;37,0
177;2;21;3;100;4;2;6;0,02;0,05;YUM;in_sample_3_1x;6,031190445326451;0,4963217439530939;-13,607265477919627;33,0
178;2;21;4;50;4;2;6;0,02;0,05;YUM;in_sample_3_1x;9,256920591010932;0,8055826563083498;-9,162483320654536;31,0
179;2;21;4;100;4;2;6;0,02;0,05;YUM;in_sample_3_1x;12,25778683930705;0,9692848637707844;-12,20329985903561;27,0
180;2;21;2;50;3;2;6;0,02;0,05;COST;in_sample_1_1x;36,45097883804485;1,0629242138536563;-15,810797046887714;116,0
181;2;21;2;100;3;2;6;0,02;0,05;COST;in_sample_1_1x;12,323243386119366;0,5332350326868281;-20,00251485730925;80,0
182;2;21;3;50;3;2;6;0,02;0,05;COST;in_sample_1_1x;15,102890098048682;0,6435474148165322;-26,758025209794944;94,0
183;2;21;3;100;3;2;6;0,02;0,05;COST;in_sample_1_1x;10,36376940382704;0,4829726211347116;-26,60221190439046;75,0
184;2;21;4;50;3;2;6;0,02;0,05;COST;in_sample_1_1x;13,468855559220884;0,6584920836762062;-26,994057933875222;80,0
185;2;21;4;100;3;2;6;0,02;0,05;COST;in_sample_1_1x;12,969770554792092;0,6460191364330281;-15,680812840604672;60,0
186;2;21;2;50;4;2;6;0,02;0,05;COST;in_sample_1_1x;31,56465899595535;1,024309972273982;-24,532235746280897;114,0
187;2;21;2;100;4;2;6;0,02;0,05;COST;in_sample_1_1x;19,48517574615401;0,7983121704976455;-19,17631759953483;76,0
188;2;21;3;50;4;2;6;0,02;0,05;COST;in_sample_1_1x;19,09073581718461;0,8453299996933326;-18,33486248974082;93,0
189;2;21;3;100;4;2;6;0,02;0,05;COST;in_sample_1_1x;18,394583136388757;0,8022860405597885;-15,248682307235295;70,0
190;2;21;4;50;4;2;6;0,02;0,05;COST;in_sample_1_1x;15,07586708516293;0,7152651260642476;-31,8204855734183;75,0
191;2;21;4;100;4;2;6;0,02;0,05;COST;in_sample_1_1x;19,62156220185509;0,9284388673158244;-14,391369219688722;57,0
192;2;21;2;50;3;2;6;0,02;0,05;COST;in_sample_2_1x;25,838900266364885;1,301032692606236;-16,95531069176568;99,0
193;2;21;2;100;3;2;6;0,02;0,05;COST;in_sample_2_1x;7,85736792724363;0,4712932678164053;-23,168178751489265;75,0
194;2;21;3;50;3;2;6;0,02;0,05;COST;in_sample_2_1x;21,01919907085541;1,1251764335546066;-18,40296609743196;82,0
195;2;21;3;100;3;2;6;0,02;0,05;COST;in_sample_2_1x;13,644115983389105;0,8151588711626225;-21,675485053750464;66,0
196;2;21;4;50;3;2;6;0,02;0,05;COST;in_sample_2_1x;6,5064137264192246;0,41806414731369;-19,11160829591296;69,0
197;2;21;4;100;3;2;6;0,02;0,05;COST;in_sample_2_1x;6,9370655323435;0,4623306865407406;-28,88900343557628;58,0
198;2;21;2;50;4;2;6;0,02;0,05;COST;in_sample_2_1x;34,02584929950021;1,6063178660139323;-19,99932975868186;96,0
199;2;21;2;100;4;2;6;0,02;0,05;COST;in_sample_2_1x;20,58374491920196;1,2142055249401649;-13,666124175529736;69,0
200;2;21;3;50;4;2;6;0,02;0,05;COST;in_sample_2_1x;24,489816377131746;1,3228605096320172;-13,790105893265547;76,0
201;2;21;3;100;4;2;6;0,02;0,05;COST;in_sample_2_1x;20,37075962266286;1,213473927646931;-9,055134696275625;62,0
202;2;21;4;50;4;2;6;0,02;0,05;COST;in_sample_2_1x;12,111386406259484;0,7056424400676238;-17,050019913154678;67,0
