;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;cenario
0;14;1;90;2;2;3;6;0,03;0,05;JNJ;12,592482253744963;0,9152772931216296;-13,861076605981353;42,5;Media_dos_resultados_por_ativo
1;14;1;90;2;2;4;6;0,01;0,06;DHR;18,30203289634529;0,9019813740764462;-15,218533368053954;55,5;Media_dos_resultados_por_ativo
2;14;1;100;2;2;3;6;0,01;0,05;WY;18,256847081495962;0,957850893732281;-12,925794038976406;60,5;Media_dos_resultados_por_ativo
3;21;1;90;2;2;3;6;0,01;0,05;BEN;30,12055811727228;1,3006161950401611;-12,390299116984309;54,5;Media_dos_resultados_por_ativo
4;21;1;90;2;2;3;6;0,01;0,06;HES;31,612853335014268;1,2176552957494096;-18,918119065490938;58,0;Media_dos_resultados_por_ativo
5;21;1;90;2;2;3;6;0,02;0,06;MMM;30,564056193098978;1,257201676441338;-12,06821335152038;49,5;Media_dos_resultados_por_ativo
6;21;1;100;2;2;3;6;0,01;0,05;HAS;15,61791328480594;0,8323589032365641;-18,337891921181573;54,0;Media_dos_resultados_por_ativo
7;21;1;110;2;2;3;6;0,03;0,05;AFL;11,795184846033655;0,6764653616134131;-16,309864947717223;39,5;Media_dos_resultados_por_ativo
8;28;1;90;2;2;3;6;0,01;0,05;BAC;17,9290531291077;0,9967736547092483;-12,493376262955529;54,0;Media_dos_resultados_por_ativo
9;28;1;90;2;2;3;6;0,01;0,05;CMI;32,00253903605294;1,3357305667544315;-12,620486416114996;60,5;Media_dos_resultados_por_ativo
10;28;1;90;2;2;3;6;0,01;0,05;FDX;15,486357291814713;0,9005975444745328;-14,47613597234157;64,0;Media_dos_resultados_por_ativo
11;28;1;90;2;2;3;6;0,01;0,05;HSY;11,280727367483724;0,8028043887284095;-22,08953009241564;50,5;Media_dos_resultados_por_ativo
12;28;1;90;2;2;3;6;0,01;0,05;MU;40,73205706826394;0,9643074414270341;-17,161509034659552;72,0;Media_dos_resultados_por_ativo
13;28;1;90;2;2;3;6;0,01;0,05;ORCL;25,981823589917163;1,0329062861649285;-21,780330009855163;59,5;Media_dos_resultados_por_ativo
14;28;1;90;2;2;3;6;0,01;0,06;AAPL;15,234812040317692;0,609767991342798;-18,99388208647114;63,0;Media_dos_resultados_por_ativo
15;28;1;90;2;2;3;6;0,02;0,05;NEM;20,348389958311643;0,773878505589489;-27,04131450832823;62,0;Media_dos_resultados_por_ativo
16;28;1;90;2;2;3;6;0,03;0,06;CI;33,99085242897032;1,0503830557637772;-16,68674542824283;47,0;Media_dos_resultados_por_ativo
17;28;1;100;2;2;3;6;0,01;0,05;PNC;19,501883166603506;1,0694772396640948;-16,275633939410877;55,0;Media_dos_resultados_por_ativo
18;28;1;100;2;2;3;6;0,03;0,05;WM;11,470245372915521;0,7721281901344152;-18,160717347380736;38,0;Media_dos_resultados_por_ativo
19;35;1;90;2;2;3;6;0,01;0,05;ADBE;39,56795436777567;1,418396501432169;-17,721932568183007;69,0;Media_dos_resultados_por_ativo
20;35;1;90;2;2;3;6;0,01;0,05;COF;43,48231224336005;1,4888853642782287;-15,175843981627052;70,5;Media_dos_resultados_por_ativo
21;35;1;90;2;2;3;6;0,01;0,05;HPQ;18,290318931404457;0,7376075639533309;-28,625440370017238;63,0;Media_dos_resultados_por_ativo
22;35;1;90;2;2;3;6;0,01;0,05;NEE;26,406277659885145;1,3886126055743095;-11,172698063603663;50,5;Media_dos_resultados_por_ativo
23;35;1;90;2;2;3;6;0,01;0,05;TJX;16,836603586175702;0,8300752401745455;-13,496186876732574;53,0;Media_dos_resultados_por_ativo
24;35;1;90;2;2;3;6;0,01;0,06;K;10,540650122207918;0,6660824095101336;-9,809444697793095;45,5;Media_dos_resultados_por_ativo
25;35;1;90;2;2;3;6;0,02;0,05;MCO;17,257923177085424;0,8790326180466188;-13,080908042791023;54,0;Media_dos_resultados_por_ativo
26;35;1;90;2;2;3;6;0,02;0,05;NOC;25,73828154162392;1,301850924613248;-11,396214902512968;45,0;Media_dos_resultados_por_ativo
27;35;1;110;2;2;3;6;0,01;0,05;BSX;22,145212731419903;0,9127862617115357;-12,120988982340691;48,5;Media_dos_resultados_por_ativo
28;42;1;90;2;2;3;6;0,01;0,05;CSCO;14,65820787907649;0,39364630814964596;-24,988266463119476;57,5;Media_dos_resultados_por_ativo
29;42;1;90;2;2;3;6;0,01;0,05;CVS;6,978298475704548;0,36520168330903074;-29,059611143356996;56,5;Media_dos_resultados_por_ativo
30;42;1;90;2;2;3;6;0,01;0,05;GE;19,055693956137777;1,0996480699484206;-13,344535301451238;52,5;Media_dos_resultados_por_ativo
31;42;1;90;2;2;3;6;0,01;0,05;PHM;46,810859849568786;1,464384219566399;-15,691376763761529;68,5;Media_dos_resultados_por_ativo
32;42;1;90;2;2;3;6;0,01;0,06;ED;5,193904045910536;0,4130874117532777;-12,840574874680975;47,5;Media_dos_resultados_por_ativo
33;42;1;90;2;2;3;6;0,01;0,07;AES;100,93024764425203;1,6542100534827493;-13,210490609939775;62,0;Media_dos_resultados_por_ativo
34;42;1;90;2;2;3;6;0,02;0,06;LLY;19,335288904682777;0,9251649772187232;-19,66498429680502;54,5;Media_dos_resultados_por_ativo
35;42;1;100;2;2;3;6;0,03;0,05;MSFT;3,2119196669163186;0,20307955678600054;-14,529375177688742;43,0;Media_dos_resultados_por_ativo
36;42;1;110;2;2;4;6;0,01;0,06;COST;7,405299011618583;0,4182128469790489;-17,920985821028154;43,0;Media_dos_resultados_por_ativo
37;49;1;90;2;2;3;6;0,01;0,05;PFE;13,859567946369745;0,7517595487893258;-19,304409190994942;53,0;Media_dos_resultados_por_ativo
38;49;1;90;2;2;3;6;0,01;0,05;SO;12,437780035875868;0,8992743630804481;-9,856755036252501;46,0;Media_dos_resultados_por_ativo
39;49;1;100;2;2;3;6;0,01;0,05;AIG;20,127219859060432;1,0924643632837845;-12,73232456465528;45,5;Media_dos_resultados_por_ativo
40;56;1;90;2;2;3;6;0,01;0,06;CL;7,850717967501331;0,5730066185950166;-14,037387267383979;39,0;Media_dos_resultados_por_ativo
41;56;1;90;2;2;4;6;0,02;0,05;YUM;6,577578670806461;0,5263304642967556;-22,635010336473403;38,0;Media_dos_resultados_por_ativo
