;indice_original_upper_pivot;resist_slope;resist_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;resist_slope_rounded
54;1254,0;-0,0917518151088462;203,76648912606754;88,70971297957442;1;1225,0;1266,0;3,0;1214,0;1274,0;394,0;-0,09175
55;1325,0;-2,422323620096128;3287,783962452845;78,2051658254757;1;1325,0;1350,0;3,0;1305,0;1354,0;419,0;-2,42232
56;1325,0;-0,13469782488345425;256,67978379605256;78,2051658254757;1;1225,0;1279,0;4,0;1292,0;1348,0;414,0;-0,1347
57;1362,0;0,9874394975403107;-1277,6264181012357;67,26617754866737;1;1362,0;1390,0;3,0;1340,0;1391,0;426,0;0,98744
58;1367,0;-0,1428997806930185;267,54737524372524;72,20337503636893;1;1225,0;1279,0;3,0;1317,0;1366,0;422,0;-0,1429
59;1367,0;0,8065948432981109;-1030,4117757521487;72,20337503636893;1;1362,0;1375,0;3,0;1329,0;1378,0;424,0;0,80659
60;1367,0;0,9874394975403107;-1277,6264181012357;72,20337503636893;1;1362,0;1375,0;3,0;1329,0;1378,0;425,0;0,98744
61;1375,0;-0,4568576350591883;706,8353819891378;78,65613378275381;1;1375,0;1398,0;3,0;1348,0;1399,0;430,0;-0,45686
62;1375,0;0,8065948432981109;-1030,4117757521487;78,65613378275381;1;1362,0;1398,0;3,0;1348,0;1399,0;431,0;0,80659
63;1390,0;-0,4568576350591883;706,8353819891378;71,80326925686599;1;1375,0;1409,0;3,0;1359,0;1411,0;435,0;-0,45686
