,conf_idx,top_idx,top_price
34,47,41,62.51943023564812
35,74,68,57.26039511615331
36,86,80,51.207835638318016
37,97,91,52.73870114884508
38,133,127,40.850090953667745
39,159,153,60.67550297477493
40,168,162,60.813257664822046
41,206,200,61.652220677841946
42,216,210,64.85759840678502
43,223,217,63.481769007323905
44,231,225,61.03818979138065
45,253,247,60.123137197847804
46,263,257,65.77915173026487
47,270,264,66.18635761809463
48,290,284,66.61512637952035
49,317,311,51.90582732948965
50,336,330,51.4585317536636
51,350,344,55.65829774722521
52,367,361,59.91947177218711
53,385,379,72.05999066864293
54,401,395,59.62678838223299
55,416,410,50.62567759114302
56,436,430,54.00855548706447
57,454,448,66.62152600515486
58,485,479,67.43961964456759
59,493,487,66.119713011876
60,511,505,70.51406581568583
61,557,551,37.2481670971927
62,596,590,63.84916939374342
63,605,599,68.7166664323242
64,618,612,67.00662028382251
65,632,626,71.78930139434814
66,652,646,60.19364237524414
67,661,655,59.06571302461779
68,701,695,50.4288490099392
69,730,724,68.07705989355793
70,739,733,68.3574460626993
71,751,745,78.80570740109701
72,788,782,46.602982691658305
73,805,799,50.75491105066378
74,831,825,62.974116429338785
75,849,843,68.39214681804226
76,870,864,63.691542862353884
77,909,903,43.36923852313295
78,943,937,46.92966708226892
79,960,954,44.19248248684977
80,967,961,43.700911415530925
81,978,972,47.80878172743942
82,994,988,50.460188979680105
83,1015,1009,64.2454423931604
84,1039,1033,65.71841506013908
85,1051,1045,62.877885371185705
86,1085,1079,49.2031934016908
87,1094,1088,42.79114379969364
88,1101,1095,40.93192703836098
89,1122,1116,46.80852725816719
90,1152,1146,68.52663044540729
91,1159,1153,68.18484327389595
92,1168,1162,68.46229341173328
93,1196,1190,58.26589174876601
94,1203,1197,56.155728435296126
95,1222,1216,53.11979198714574
96,1242,1236,46.154442384614136
97,1262,1256,55.12009573351959
98,1276,1270,56.572569067201776
99,1287,1281,50.61883697854482
100,1314,1308,48.488804024876295
101,1342,1336,65.30655751762998
102,1352,1346,68.77023931335185
103,1360,1354,70.59696483059142
104,1368,1362,73.1000965647483
105,1388,1382,66.29034872385924
106,1420,1414,51.5087362701362
107,1441,1435,50.438336171735685
