,conf_idx,bottom_idx,bottom_price
23,50,40,32.037935144716016
24,108,98,29.71845282230494
25,173,163,26.473237472645835
26,184,174,30.583828536795792
27,202,192,38.14646654560532
28,249,239,39.34308603817441
29,291,281,39.2706670319674
30,314,304,40.93999052476822
31,333,323,12.18033781232134
32,411,401,36.10582688711241
33,463,453,48.76824074882827
34,489,479,70.06250182582617
35,501,491,65.85752048449163
36,516,506,68.84179651584112
37,544,534,55.97768241506707
38,556,546,56.886861761227564
39,586,576,42.084708009268766
40,600,590,42.39673300106103
41,628,618,39.35517266612696
42,655,645,26.06300152234411
43,671,661,26.68711902824883
44,711,701,30.540232795566396
45,725,715,28.15918481599911
46,765,755,60.66110767456902
47,811,801,21.651981143577984
48,858,848,58.95066698700367
49,871,861,59.52102959929639
50,902,892,46.37036725424857
51,936,926,40.92897907853544
52,992,982,39.598230958333275
53,1004,994,37.961882028929224
54,1019,1009,40.22714186447429
55,1059,1049,75.35355176290261
56,1085,1075,58.32605070653302
57,1148,1138,55.26448419478424
58,1192,1182,48.736638009545416
59,1220,1210,39.8758844565474
60,1244,1234,28.873083301745623
61,1263,1253,33.264006943361
62,1306,1296,34.934942357436114
63,1377,1367,41.55419812016048
64,1452,1442,30.138613681404962
65,1475,1465,34.14714833650706
66,1497,1487,27.366814693685825
67,1522,1512,42.191363423433415
68,1542,1532,44.42650657682243
69,1599,1589,27.22131763070341
70,1639,1629,30.884356135514295
71,1663,1653,27.952025502008468
72,1719,1709,34.58659690797347
73,1733,1723,36.1059645282681
74,1760,1750,38.63381728876243
75,1783,1773,32.50059165284213
76,1795,1785,37.31009002329517
77,1814,1804,36.512673267766374
78,1839,1829,47.35027463404173
79,1904,1894,38.31352687567399
80,1921,1911,55.209466947101646
81,1948,1938,48.62847534644065
82,1974,1964,38.356939511240746
83,1996,1986,39.12320407233127
84,2018,2008,57.65279063512485
85,2064,2054,23.39077021161502
86,2111,2101,48.52696826960801
87,2144,2134,73.75737708272253
88,2168,2158,59.4500157181549
