,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
0,14,5,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.46906048459682737,930,-12.217687334400594
1,14,7,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5011718776916743,930,-31.18730020976058
2,14,9,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5011718776916751,930,-32.671707215716935
3,14,11,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.2178057703537265,733,-7.87246741292266
4,21,5,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.29953536242981316,799,78.32177470519966
5,21,7,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5966640449770648,930,-12.036988307021574
6,21,9,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.20041687422334042,633,42.80183978312385
7,21,11,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.18012455342825373,511,24.205110629791875
8,35,5,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.3849847407457232,930,-0.8290191021253577
9,35,7,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.43504841842519903,930,6.620589029663876
10,35,9,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5411424289958302,930,-30.490773187851175
11,35,11,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5411424289958302,930,-30.490773187851175
12,42,5,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.30145084910875775,480,17.46239170539772
13,42,7,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.23266057790671268,290,31.869373586205
14,42,9,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.22940753655104917,290,39.32837752906215
15,42,11,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5805207041810286,930,-24.834767023880218
