,indice,indice_original_lower_pivot,valor_rsi,support_slope,support_intercept,inicio_janela,fim_janela,mapeado,x_min,x_max,num_zeros
0,0.0,42.0,3.1107057922668844,0.5295742352818865,-19.13141208957235,20.0,119.0,0.0,0.0,0.0,0.0
1,1.0,42.0,3.1107057922668844,-2.9094959669050273,125.30953640227803,20.0,119.0,0.0,0.0,0.0,0.0
2,2.0,42.0,3.1107057922668844,0.2159553124332655,-5.959417329930266,23.0,122.0,0.0,0.0,0.0,0.0
3,3.0,42.0,3.1107057922668844,-2.9094959669050273,125.30953640227803,23.0,122.0,0.0,0.0,0.0,0.0
4,4.0,42.0,3.1107057922668844,0.20936395314501266,-5.682580239823647,34.0,133.0,1.0,42.0,123.0,3.0
5,5.0,42.0,3.1107057922668844,0.20936395314501266,-5.682580239823647,42.0,141.0,1.0,42.0,134.0,3.0
6,6.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,45.0,144.0,0.0,0.0,0.0,0.0
7,7.0,119.0,19.739264849628327,-0.37515023303898587,64.38214258126764,45.0,144.0,1.0,50.0,134.0,4.0
8,8.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,50.0,149.0,0.0,0.0,0.0,0.0
9,9.0,119.0,19.739264849628327,-0.37515023303898587,64.38214258126764,50.0,149.0,1.0,50.0,145.0,4.0
10,10.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,55.0,154.0,0.0,0.0,0.0,0.0
11,11.0,119.0,19.739264849628327,-0.37515023303898587,64.38214258126764,55.0,154.0,1.0,50.0,145.0,4.0
12,12.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,61.0,160.0,0.0,0.0,0.0,0.0
13,13.0,119.0,19.739264849628327,-0.37515023303898587,64.38214258126764,61.0,160.0,1.0,50.0,155.0,4.0
14,14.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,62.0,161.0,0.0,0.0,0.0,0.0
15,15.0,119.0,19.739264849628327,-0.47331140527315096,76.0633220771333,62.0,161.0,1.0,67.0,155.0,3.0
16,16.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,67.0,166.0,0.0,0.0,0.0,0.0
17,17.0,119.0,19.739264849628327,-0.47331140527315096,76.0633220771333,67.0,166.0,1.0,67.0,162.0,3.0
18,18.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,71.0,170.0,0.0,0.0,0.0,0.0
19,19.0,119.0,19.739264849628327,-0.5139856235275152,80.90355404940263,71.0,170.0,0.0,0.0,0.0,0.0
20,20.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,78.0,177.0,0.0,0.0,0.0,0.0
21,21.0,119.0,19.739264849628327,-0.6124620218565868,92.62224545056216,78.0,177.0,0.0,0.0,0.0,0.0
22,22.0,119.0,19.739264849628327,0.08248028684614539,9.924110714937026,79.0,178.0,1.0,119.0,178.0,3.0
23,23.0,119.0,19.739264849628327,-0.6124620218565868,92.62224545056216,79.0,178.0,0.0,0.0,0.0,0.0
24,24.0,119.0,19.739264849628327,0.06169107665792456,12.398026727335305,86.0,185.0,1.0,119.0,178.0,3.0
25,25.0,119.0,19.739264849628327,-0.6124620218565868,92.62224545056216,86.0,185.0,0.0,0.0,0.0,0.0
26,26.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,91.0,190.0,1.0,119.0,186.0,3.0
27,27.0,119.0,19.739264849628327,-0.6124620218565868,92.62224545056216,91.0,190.0,0.0,0.0,0.0,0.0
28,28.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,95.0,194.0,1.0,119.0,186.0,3.0
29,29.0,119.0,19.739264849628327,-0.7414077152098936,107.96678295960567,95.0,194.0,1.0,95.0,186.0,3.0
30,30.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,98.0,197.0,1.0,119.0,186.0,3.0
31,31.0,119.0,19.739264849628327,-0.7414077152098936,107.96678295960567,98.0,197.0,1.0,95.0,186.0,3.0
32,32.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,100.0,199.0,1.0,119.0,198.0,3.0
33,33.0,119.0,19.739264849628327,-0.7414077152098936,107.96678295960567,100.0,199.0,1.0,95.0,198.0,3.0
34,34.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,107.0,206.0,1.0,119.0,198.0,3.0
35,35.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,116.0,215.0,1.0,119.0,207.0,3.0
36,36.0,119.0,19.739264849628327,-0.046675417124652764,25.293639487462006,119.0,218.0,1.0,119.0,216.0,3.0
37,37.0,123.0,20.06918599701291,-0.054875779281528834,26.818906848640957,123.0,222.0,1.0,119.0,216.0,3.0
38,38.0,186.0,16.612011902276592,0.14964804640327334,-11.22252472873225,134.0,233.0,0.0,0.0,0.0,0.0
