,indice,indice_original_upper_pivot,valor_rsi,resist_slope,resist_intercept,inicio_janela,fim_janela
0,0.0,21.0,76.12489356607325,-0.24509602415319837,81.27191007329041,21.0,90.0
1,1.0,91.0,62.87763977239616,-0.1542277893503667,76.91236860327953,33.0,102.0
2,2.0,91.0,62.87763977239616,-0.15423374163932935,76.91291026157512,36.0,105.0
3,3.0,91.0,62.87763977239616,-0.15425521882778498,76.9148646857246,48.0,117.0
4,4.0,127.0,53.454334434482675,-0.2617786430766524,86.70022210521753,59.0,128.0
5,12.0,141.0,80.88533616812958,-0.20391563231088172,109.63744032396392,121.0,190.0
6,13.0,141.0,80.88533616812958,-0.17745068420030458,105.90588264037252,137.0,206.0
7,14.0,141.0,80.88533616812958,-0.17741934148044244,105.90146331687197,141.0,210.0
8,16.0,191.0,71.44528731980238,-0.02212965848539994,75.67205209051376,164.0,233.0
9,17.0,191.0,71.44528731980238,-0.022127695431433538,75.67167714720618,166.0,235.0
10,18.0,196.0,71.12411547142517,-0.2671921558048489,123.49377800917556,179.0,248.0
11,25.0,261.0,86.73602332936582,-0.7055080838692271,270.8736332192341,236.0,305.0
12,26.0,261.0,86.73602332936582,-0.7526419546687885,283.1755734979196,239.0,308.0
13,27.0,261.0,86.73602332936582,-0.5434540129664925,228.57752071362037,253.0,322.0
14,28.0,261.0,86.73602332936582,-0.4240763287947503,197.41994514479566,261.0,330.0
15,29.0,323.0,60.438198050908596,-0.02524098576829537,68.591036454068,275.0,344.0
16,30.0,295.0,61.14390004455995,-0.025167287461946113,68.56824984583405,283.0,352.0
17,37.0,362.0,74.41700175008295,-0.16770188000474903,135.1250823118021,333.0,402.0
18,38.0,425.0,63.504614899815074,-0.1752573846791262,137.9890033884437,357.0,426.0
19,47.0,491.0,85.47810597021473,-0.18863810857931046,178.09941728265616,457.0,526.0
20,48.0,491.0,85.47810597021473,-0.2544799523063843,210.42776255264943,458.0,527.0
21,49.0,491.0,85.47810597021473,-0.7641158466357156,460.6589866683511,465.0,534.0
22,50.0,491.0,85.47810597021473,-0.9688112043708842,561.1644073163188,472.0,541.0
23,51.0,491.0,85.47810597021473,-0.9364113598946556,545.2560836784907,481.0,550.0
24,52.0,559.0,45.44096952183898,-0.5888787127998496,374.62416997695493,491.0,560.0
25,53.0,566.0,62.23715380415758,-0.1313897683504458,136.6037626905099,499.0,568.0
26,62.0,601.0,78.86464160359395,-0.20111224006346404,199.73309788173583,578.0,647.0
27,63.0,601.0,78.86464160359395,-0.20109483128506556,199.72263520591835,584.0,653.0
28,64.0,636.0,71.82515269717071,-0.20114735091225763,199.75486787736656,591.0,660.0
29,65.0,636.0,71.82515269717071,-0.4102799020193161,332.7631703814557,600.0,669.0
30,66.0,636.0,71.82515269717071,-0.43461358210470347,348.2393909157621,601.0,670.0
31,67.0,694.0,58.474971622450816,-0.23018158733205396,218.22099323089628,626.0,695.0
32,68.0,636.0,71.82515269717071,-0.14463495049680372,163.81298121313787,636.0,705.0
33,76.0,730.0,81.77157978996048,-0.03945394385507957,110.57295880416856,696.0,765.0
34,77.0,730.0,81.77157978996048,-0.22091140004089457,243.03690181981352,701.0,770.0
35,78.0,745.0,78.01111469315276,-0.2615754812876403,272.8848482524448,706.0,775.0
36,79.0,745.0,78.01111469315276,-0.6039798150912566,527.976076936139,712.0,781.0
37,80.0,790.0,46.67185129271847,-0.6964921880424343,596.9006798462415,722.0,791.0
38,81.0,798.0,58.94909621724083,-0.3597122643311585,345.9994831535053,730.0,799.0
39,82.0,799.0,60.374276802260354,-0.32668481653684306,321.3954452151979,734.0,803.0
40,83.0,745.0,78.01111469315276,-0.1858448710558572,216.4655436297664,745.0,814.0
