,janela_rsi,ordem,lookback,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,final_balance,return_%,sharpe_ratio,sortino_ratio,volatility,max_drawdown_%,trades,win_rate_%,profit_factor,avg_trade_return
0,14,3,40,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,17793502.185999997,77.93502185999996,1.097253766932378,2.588022445070844,11.3132749444568,-7.539796979674351,23,73.91304347826086,3.9376355336391957,2.538723460548642
1,14,3,70,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,14557894.36,45.578943599999995,0.725031999276424,1.4688987244035108,10.929548058630054,-11.305806176392963,23,65.21739130434783,2.4097248333009613,1.6474768283849306
2,14,4,40,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,11506506.549999999,15.065065499999989,0.40087007532760643,0.7303648670431802,7.210584525886196,-9.897192518103603,13,61.53846153846154,1.9027759118071546,1.0865575637819536
3,14,4,70,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,14828783.632000001,48.28783632000001,0.984817872632952,2.1118346811665414,8.457478512496799,-7.8605018030194485,17,76.47058823529412,4.424986051919034,2.3460901259912514
4,21,3,40,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,16289558.805999998,62.89558805999999,0.8736906305399188,1.8350407986675423,11.921470700427028,-16.599410712317685,28,71.42857142857143,2.4054176064563353,1.7590815560870388
5,21,3,70,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,11269155.031999996,12.691550319999958,0.21841982353011913,0.35413470244743706,11.244149994682928,-17.00231561243144,24,54.166666666666664,1.3152790463431439,0.49930061524081637
6,21,4,40,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,14508030.300000004,45.08030300000004,0.8501937319060926,1.7939942325716378,9.23213641105966,-8.461478311999981,19,73.68421052631578,3.023191739399875,1.9797726394838788
7,21,4,70,2,3,4,6,-0.02,0.06,5,2000-01-01,2004-12-31,11269834.132,12.698341319999992,0.2299459403143338,0.38455211120689725,10.685985438508576,-17.004079577703955,20,55.00000000000001,1.3877223270840766,0.5998249061564875
