,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
0,21,5,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.29953536242981316,799,78.70529817067396
1,21,5,50,100,200,300,2,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.29953536242981316,799,78.61773299632725
2,21,5,50,100,200,300,2,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.29953536242981316,799,78.61773299632725
3,21,5,50,100,200,300,2,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.29953536242981316,799,78.61773299632725
4,21,5,50,100,200,300,2,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.36772622534024924,930,48.08084229239651
5,21,5,50,100,200,300,2,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.36772622534024924,930,48.08084229239651
6,21,5,50,100,200,300,2,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.36772622534024924,930,48.08084229239651
7,21,5,50,100,200,300,2,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.36772622534024924,930,48.08084229239651
8,21,5,50,100,200,300,3,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.35187662207843984,628,17.275761030064885
9,21,5,50,100,200,300,3,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.35187662207843984,628,17.275761030064885
10,21,5,50,100,200,300,3,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.35187662207843984,628,17.275761030064885
11,21,5,50,100,200,300,3,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.35187662207843984,628,17.275761030064885
12,21,5,50,100,200,300,3,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.28187138943500534,582,47.64703855196723
13,21,5,50,100,200,300,3,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.28187138943500534,582,47.64703855196723
14,21,5,50,100,200,300,3,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.3002430350219103,582,42.7253566318885
15,21,5,50,100,200,300,3,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.3002430350219103,582,42.7253566318885
