,indice,indice_original_lower_pivot,valor_rsi,support_slope,support_intercept,inicio_janela,fim_janela
0,2.0,99.0,34.66432969964991,0.10301075778123125,24.46626467930802,64.0,133.0
1,3.0,99.0,34.66432969964991,0.27510928761664133,7.42851022560242,68.0,137.0
2,4.0,159.0,36.702715547523496,0.033998339702051884,31.296979534897247,91.0,160.0
3,10.0,227.0,47.67934386062473,0.3006775549768447,-20.574461119119015,159.0,228.0
4,11.0,231.0,46.89003424473156,0.27003203984054314,-15.487366958433903,166.0,235.0
5,12.0,248.0,39.52611496788825,0.057891652326250376,25.168985190978155,180.0,249.0
6,15.0,250.0,35.68524960495172,0.03797115231012073,26.19246152742154,229.0,298.0
7,16.0,286.0,37.052763130194386,0.03801305444141174,26.18102955995063,236.0,305.0
8,21.0,329.0,15.849594506961523,0.48960585718725025,-145.2307325076438,306.0,375.0
9,22.0,329.0,15.849594506961523,0.521132006478749,-155.6028356245469,307.0,376.0
10,23.0,395.0,40.115660699615894,0.36773518316634213,-105.13973665108927,329.0,398.0
11,24.0,399.0,40.04560302985402,0.27545870820802487,-69.8624215451479,340.0,409.0
12,25.0,399.0,40.04560302985402,0.27545414903062143,-69.86060243336394,342.0,411.0
13,26.0,412.0,40.52834015510224,0.09053358979294479,3.228501160408989,355.0,424.0
14,27.0,412.0,40.52834015510224,0.21394816868288904,-47.61830534224805,377.0,446.0
15,28.0,412.0,40.52834015510224,0.458645258101976,-148.43350618291186,385.0,454.0
16,29.0,455.0,56.74519223692038,0.37718203955485424,-114.87263576053829,399.0,468.0
17,30.0,455.0,56.74519223692038,0.37716403499884976,-114.86444368755625,412.0,481.0
18,31.0,455.0,56.74519223692038,0.21532943456996875,-41.2297004924154,413.0,482.0
19,32.0,455.0,56.74519223692038,0.38832564606836695,-119.94297672418656,425.0,494.0
20,33.0,455.0,56.74519223692038,0.23008165184506915,-47.94195935258609,436.0,505.0
21,34.0,455.0,56.74519223692038,0.18432183356440252,-27.121242034882762,449.0,518.0
22,35.0,455.0,56.74519223692038,0.08772270549859079,16.83136123506157,455.0,524.0
23,47.0,661.0,26.601188955525345,0.046222242194736196,-3.9517131351952806,622.0,691.0
24,48.0,705.0,37.11943845786176,0.2390639358972082,-131.42063634967002,637.0,706.0
25,49.0,661.0,26.601188955525345,0.10124915238903466,-40.32450077362657,645.0,714.0
26,50.0,661.0,26.601188955525345,0.027973235696095316,8.110880160406342,661.0,730.0
27,51.0,715.0,28.114287163699743,0.7408310064023097,-501.57988241395174,692.0,761.0
28,52.0,781.0,60.61272675895216,0.4924153762318046,-323.96368207808723,715.0,784.0
29,53.0,787.0,50.42189681095257,0.3292708848885785,-208.71428959635867,719.0,788.0
30,56.0,801.0,24.795504390144217,0.5199771655815933,-391.70620524071205,789.0,858.0
31,57.0,868.0,63.34102268843346,0.6395242314213531,-491.76601018530107,801.0,870.0
32,58.0,835.0,42.755607625812644,0.06491732442135478,-11.450358266018597,835.0,904.0
33,63.0,931.0,42.30100172954618,0.39416401324717293,-324.66569460357186,897.0,966.0
34,64.0,979.0,51.994615946164075,0.20398002756483713,-147.70183103981145,911.0,980.0
35,65.0,982.0,45.24779815002099,0.07708014423146688,-30.444903485279475,915.0,984.0
36,66.0,924.0,40.7778117731924,0.03063644089069361,12.4697403901915,924.0,993.0
37,70.0,1001.0,41.1484157040652,0.13658001883877938,-95.56818315355295,967.0,1036.0
38,71.0,1016.0,46.75352462324333,0.7296636176930711,-694.5847109529168,985.0,1054.0
39,72.0,1069.0,67.82075577036576,0.39752974974846716,-357.1385467107457,1001.0,1070.0
40,73.0,1072.0,63.66317199539057,0.3146588915902864,-273.6511597893965,1005.0,1074.0
41,74.0,1019.0,56.66553182797352,0.12163454041514778,-67.28006485506208,1018.0,1087.0
42,91.0,1238.0,32.87237657993148,0.0783354646710934,-64.10692868288214,1221.0,1290.0
43,92.0,1267.0,35.14477267353753,0.2900843474951537,-332.3920956028222,1238.0,1307.0
44,93.0,1297.0,44.171425585014184,0.300939879498593,-346.147598124661,1254.0,1323.0
45,94.0,1301.0,45.847134844553366,0.4470696568105479,-535.7904886659694,1267.0,1336.0
46,95.0,1346.0,56.28278767330464,0.24887372097633323,-278.7012407608399,1278.0,1347.0
47,96.0,1357.0,53.72706054999975,0.16867573531463742,-175.16591227196324,1289.0,1358.0
48,97.0,1359.0,44.82308243420958,0.03277116191045369,0.2870733979030149,1291.0,1360.0
49,99.0,1416.0,54.60554936980408,0.1740027001977158,-191.7822741101615,1348.0,1417.0
50,108.0,1494.0,30.419624004999733,0.4622687279271335,-660.2098555181377,1470.0,1539.0
51,109.0,1494.0,30.419624004999733,0.3640754366030184,-513.5090782799098,1482.0,1551.0
52,110.0,1494.0,30.419624004999733,0.36073737186554833,-508.5220095621295,1492.0,1561.0
53,111.0,1494.0,30.419624004999733,0.21275086353548936,-287.4301661170214,1494.0,1563.0
54,112.0,1514.0,41.46695649981215,0.027881185004313726,-0.7451575967188333,1514.0,1583.0
