,indice,indice_original_lower_pivot,valor_rsi,support_slope,support_intercept,inicio_janela,fim_janela,mapeado,x_min,x_max
1,1.0,165.0,30.232877131067525,0.055888966849642126,21.011197600876574,119.0,218.0,1.0,165,285.0
5,5.0,249.0,35.44666358601006,0.06207627164720855,19.98967194585513,165.0,264.0,1.0,165,285.0
7,7.0,328.0,17.14892037787793,0.09759374508281009,-14.861828009283784,285.0,384.0,1.0,328,606.0
9,9.0,329.0,17.378309241933806,0.3484988878451396,-97.27782485911712,311.0,410.0,1.0,328,394.0
10,10.0,411.0,42.63996685423955,0.30811879406892767,-83.99685750808973,328.0,427.0,1.0,328,411.0
11,11.0,411.0,42.63996685423955,0.2937894364740951,-78.10749153661354,339.0,438.0,1.0,328,411.0
12,12.0,348.0,24.131971494983517,0.29376510195723404,-78.09828398613394,348.0,447.0,1.0,328,411.0
14,14.0,411.0,42.63996685423955,0.3217230893254177,-89.58822285850712,382.0,481.0,1.0,328,411.0
15,15.0,454.0,56.475530427373194,0.32178077318517545,-89.61294059869644,394.0,493.0,1.0,328,411.0
16,16.0,501.0,68.22961911352166,0.2843461020598247,-74.2277780184505,405.0,504.0,1.0,328,348.0
19,19.0,518.0,63.23014395275627,0.10557338005187764,8.54313308588366,424.0,523.0,1.0,424,518.0
22,22.0,714.0,29.423378169914002,0.028347267684896985,9.183429042897554,660.0,759.0,1.0,328,714.0
26,26.0,800.0,25.017124882339942,0.49144535312465426,-368.1391576173835,770.0,869.0,1.0,800,870.0
31,31.0,923.0,41.57797082705739,0.01884203703706489,24.1867706418465,870.0,969.0,1.0,923,1000.0
33,33.0,993.0,41.66758756223713,0.0012960139847093249,40.38064567542077,900.0,999.0,1.0,834,984.0
36,36.0,1074.0,63.05602397415828,0.2962540516516369,-255.12082749969971,987.0,1086.0,1.0,1000,1087.0
37,37.0,1000.0,41.133603933951655,0.2870434902694314,-245.90988633547974,1000.0,1099.0,1.0,1000,1087.0
38,38.0,1237.0,32.773594921598104,0.08296645957876303,-69.85591557733177,1208.0,1307.0,1.0,1237,1266.0
43,43.0,1361.0,45.210378099266926,0.10560348223449363,-98.51596122187891,1266.0,1365.0,1.0,1237,1266.0
45,45.0,1296.0,44.304240666041444,0.00992067644681603,31.44704399096787,1294.0,1393.0,1.0,923,1000.0
53,53.0,1588.0,28.553391084209863,0.016803139552427328,1.870005474955267,1561.0,1660.0,1.0,1588,1652.0
54,54.0,1652.0,30.19837594344223,0.04054848191611626,-36.78771618198182,1577.0,1676.0,1.0,1588,1643.0
55,55.0,1652.0,30.19837594344223,0.050545890496988904,-53.303435157583436,1588.0,1687.0,1.0,1588,1643.0
56,56.0,1652.0,30.19837594344223,0.07281698272761883,-90.09527952258408,1590.0,1689.0,1.0,1628,1710.0
59,59.0,1710.0,35.50847707690974,0.09158895133609773,-121.10862970781739,1623.0,1722.0,1.0,1628,1710.0
60,60.0,1723.0,35.98002381715301,0.08143473595389977,-104.33202623141631,1628.0,1727.0,1.0,1628,1710.0
61,61.0,1652.0,30.19837594344223,0.08142147346109851,-104.30989821429252,1652.0,1751.0,1.0,1628,1710.0
62,62.0,1657.0,35.45146887850555,0.001055469883207279,33.70255528203109,1656.0,1755.0,1.0,1253,1438.0
63,63.0,1710.0,35.50847707690974,0.03162723741064227,-18.574098895288543,1690.0,1789.0,1.0,1710,1772.0
64,64.0,1772.0,37.470058310977805,0.03165752071160974,-18.627068389994648,1700.0,1799.0,1.0,1710,1772.0
65,65.0,1710.0,35.50847707690974,0.03163146719695828,-18.581331829888917,1710.0,1809.0,1.0,1710,1772.0
66,66.0,1723.0,35.98002381715301,0.012062477992318878,15.196374236387584,1723.0,1822.0,1.0,800,1469.0
