;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;cenario
0;14;1;50;2;2;3;6;0,03;0,05;JNJ;24,620719678975032;1,4905209307128686;-10,255016667527887;54,0;Media_dos_resultados_por_ativo
1;14;1;50;2;2;4;6;0,01;0,06;DHR;31,95715284980306;1,3062386952995717;-14,662517072864034;68,0;Media_dos_resultados_por_ativo
2;14;1;60;2;2;3;6;0,01;0,05;WY;34,05468894925249;1,455778028573289;-14,023208639551633;78,5;Media_dos_resultados_por_ativo
3;21;1;50;2;2;3;6;0,01;0,05;BEN;38,21420496021726;1,3794147157403445;-18,522507053043114;77,0;Media_dos_resultados_por_ativo
4;21;1;50;2;2;3;6;0,01;0,06;HES;49,98865112609345;1,5933451888123704;-20,445201394708352;77,5;Media_dos_resultados_por_ativo
5;21;1;50;2;2;3;6;0,02;0,06;MMM;48,76951980667689;1,7289235455877239;-9,360353065238908;58,0;Media_dos_resultados_por_ativo
6;21;1;60;2;2;3;6;0,01;0,05;HAS;36,741868304887895;1,4207068984314224;-13,498031118375025;70,0;Media_dos_resultados_por_ativo
7;21;1;70;2;2;3;6;0,03;0,05;AFL;16,908483866315308;0,8460068492904631;-17,443708551682917;47,0;Media_dos_resultados_por_ativo
8;28;1;50;2;2;3;6;0,01;0,05;BAC;26,561009504454994;1,247609888186063;-13,173415741763133;72,5;Media_dos_resultados_por_ativo
9;28;1;50;2;2;3;6;0,01;0,05;CMI;50,84052869741781;1,5987168688687685;-14,746097665425904;81,5;Media_dos_resultados_por_ativo
10;28;1;50;2;2;3;6;0,01;0,05;FDX;33,64701985361846;1,2378667343746899;-19,378953065024703;77,0;Media_dos_resultados_por_ativo
11;28;1;50;2;2;3;6;0,01;0,05;HSY;20,992336222638887;0,992674909786352;-13,665298682716047;63,5;Media_dos_resultados_por_ativo
12;28;1;50;2;2;3;6;0,01;0,05;MU;49,37226858619246;1,0873307316967527;-22,86694541984504;97,0;Media_dos_resultados_por_ativo
13;28;1;50;2;2;3;6;0,01;0,05;ORCL;34,34573894386057;1,1845597367004832;-20,80448251926832;78,5;Media_dos_resultados_por_ativo
14;28;1;50;2;2;3;6;0,01;0,06;AAPL;18,159715455124314;0,6702186366325247;-19,13004290452569;84,0;Media_dos_resultados_por_ativo
15;28;1;50;2;2;3;6;0,02;0,05;NEM;39,64184037408213;1,149055055987168;-23,317849977561607;79,0;Media_dos_resultados_por_ativo
16;28;1;50;2;2;3;6;0,03;0,06;CI;42,9538457729059;1,1407476612484195;-15,63492747923793;66,0;Media_dos_resultados_por_ativo
17;28;1;60;2;2;3;6;0,01;0,05;PNC;24,57429842619474;1,1990806673151466;-20,039535573657858;68,0;Media_dos_resultados_por_ativo
18;28;1;60;2;2;3;6;0,03;0,05;WM;31,486471308176164;1,502812759847238;-13,707901030446163;52,5;Media_dos_resultados_por_ativo
19;35;1;50;2;2;3;6;0,01;0,05;ADBE;43,51450741090139;0,9754471354886386;-25,244128847021923;88,0;Media_dos_resultados_por_ativo
20;35;1;50;2;2;3;6;0,01;0,05;COF;81,51556462535538;1,8445391738131156;-12,87262292269989;86,0;Media_dos_resultados_por_ativo
