;indice_original_lower_pivot;support_slope;support_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;support_slope_rounded
42;287,0;0,3304426773665414;-72,61253834473004;22,22451005946735;1;287,0;356,0;3,0;277,0;366,0;113,0;0,33044
43;287,0;0,3858403810723298;-88,5116793082913;22,22451005946735;1;287,0;347,0;2,0;213,0;355,0;81,0;0,38584
44;287,0;1,8478556282944467;-508,11005526103884;22,22451005946735;1;287,0;293,0;2,0;209,0;298,0;79,0;1,84786
45;299,0;-1,0761748661497872;348,63087961112166;26,854594632335306;1;293,0;380,0;2,0;293,0;382,0;119,0;-1,07617
46;299,0;0,14678190158452556;-17,033193941437837;26,854594632335306;1;299,0;383,0;2,0;293,0;388,0;118,0;0,14678
47;323,0;-0,0936969801810302;72,90590783888001;42,641783240407264;1;312,0;410,0;7,0;320,0;412,0;131,0;-0,0937
48;367,0;-0,5409965253553324;237,61981782425704;39,07409301885005;1;356,0;419,0;2,0;339,0;428,0;139,0;-0,541
49;367,0;-0,43685696251768313;199,40059826283976;39,07409301885005;1;331,0;414,0;4,0;324,0;418,0;134,0;-0,43686
50;367,0;-0,3091977099858164;152,54965258364467;39,07409301885005;1;367,0;419,0;3,0;339,0;428,0;138,0;-0,3092
51;367,0;-0,17297939538218948;102,55753112411358;39,07409301885005;1;367,0;414,0;2,0;324,0;418,0;133,0;-0,17298
52;367,0;0,21061978699228376;-38,223368807318096;39,07409301885005;1;287,0;367,0;2,0;284,0;373,0;115,0;0,21062
53;374,0;-0,0936969801810302;72,90590783888001;37,86323725117472;1;312,0;398,0;6,0;315,0;407,0;128,0;-0,0937
54;374,0;-0,07617492175465645;66,35265798741624;37,86323725117472;1;312,0;398,0;5,0;301,0;401,0;122,0;-0,07617
55;374,0;0,14678190158452556;-17,033193941437837;37,86323725117472;1;299,0;374,0;2,0;290,0;379,0;117,0;0,14678
56;374,0;0,17975548496215374;-29,365314124670775;37,86323725117472;1;287,0;374,0;2,0;287,0;376,0;116,0;0,17976
57;374,0;0,4870416972655889;-144,2903575261555;37,86323725117472;1;374,0;398,0;2,0;312,0;407,0;125,0;0,48704
58;374,0;0,6263920999063944;-196,40740811381679;37,86323725117472;1;374,0;391,0;2,0;308,0;397,0;123,0;0,62639
59;374,0;1,4744734421333203;-513,589830106687;37,86323725117472;1;374,0;383,0;2,0;301,0;390,0;121,0;1,47447
60;419,0;-0,3091977099858164;152,54965258364467;22,995812099587596;1;367,0;419,0;3,0;331,0;420,0;137,0;-0,3092
61;429,0;-1,3422302465337352;585,3902853972227;9,573509634250243;1;398,0;500,0;4,0;414,0;503,0;174,0;-1,34223
62;429,0;-1,3354069666237343;582,4630983158323;9,573509634250243;1;398,0;490,0;4,0;400,0;499,0;170,0;-1,33541
63;429,0;-1,2896363984289876;562,827524560286;9,573509634250243;1;398,0;485,0;4,0;395,0;487,0;166,0;-1,28964
64;429,0;-1,0246945609298208;449,16747627314334;9,573509634250243;1;391,0;480,0;2,0;390,0;480,0;162,0;-1,02469
65;429,0;-0,9034780129592253;397,1655771937579;9,573509634250243;1;383,0;466,0;2,0;383,0;472,0;160,0;-0,90348
66;429,0;-0,8400755621488906;369,9659257961243;9,573509634250243;1;380,0;466,0;2,0;376,0;469,0;156,0;-0,84008
67;429,0;-0,5143586839440815;230,23338504626116;9,573509634250243;1;374,0;459,0;2,0;369,0;463,0;152,0;-0,51436
68;429,0;-0,47581586104193235;213,69851402123925;9,573509634250243;1;331,0;449,0;4,0;342,0;456,0;140,0;-0,47582
69;429,0;0,3898466528458127;-157,6707044366034;9,573509634250243;1;429,0;514,0;2,0;429,0;518,0;179,0;0,38985
70;429,0;0,7179736293447748;-298,43717735465816;9,573509634250243;1;429,0;500,0;2,0;414,0;503,0;173,0;0,71797
71;429,0;0,7625843698274907;-317,57518502174327;9,573509634250243;1;429,0;490,0;2,0;410,0;499,0;171,0;0,76258
72;429,0;0,9988943989936576;-418,9521875340289;9,573509634250243;1;429,0;485,0;3,0;380,0;489,0;157,0;0,99889
73;429,0;1,2020472005879195;-506,1047394179672;9,573509634250243;1;429,0;459,0;4,0;374,0;465,0;153,0;1,20205
74;429,0;1,2684258545300344;-534,5811819591345;9,573509634250243;1;429,0;449,0;3,0;356,0;458,0;145,0;1,26843
75;429,0;1,4804037498403975;-625,5196990472803;9,573509634250243;1;429,0;436,0;2,0;352,0;441,0;143,0;1,4804
76;436,0;0,2182868668404864;-75,23673805931904;19,936335883133026;1;436,0;524,0;2,0;436,0;525,0;181,0;0,21829
77;436,0;0,2618113812720045;-94,21342635146092;19,936335883133026;1;436,0;519,0;2,0;434,0;523,0;180,0;0,26181
78;442,0;0,12742286562097685;-30,257860861331075;26,06304574314069;1;442,0;527,0;2,0;442,0;531,0;183,0;0,12742
79;442,0;0,15954310270676997;-44,45500565325163;26,06304574314069;1;442,0;524,0;2,0;437,0;526,0;182,0;0,15954
80;459,0;-0,8122594385400099;418,4620079417524;45,634925651887826;1;449,0;538,0;2,0;448,0;538,0;185,0;-0,81226
81;459,0;-0,1285431813377074;104,63624588589552;45,634925651887826;1;459,0;538,0;4,0;448,0;548,0;184,0;-0,12854
82;504,0;0,5525990046765976;-227,49146337201017;51,01843498499506;1;429,0;504,0;2,0;417,0;506,0;175,0;0,5526
83;507,0;0,5350893018689544;-219,9798008675312;51,31047518002869;1;429,0;507,0;3,0;419,0;509,0;176,0;0,53509
84;510,0;0,5066820399673402;-207,79308551173872;50,614754871604795;1;429,0;510,0;2,0;424,0;513,0;178,0;0,50668
85;527,0;-0,7505302813907022;432,4234476138238;36,89398932092372;1;519,0;613,0;3,0;523,0;613,0;227,0;-0,75053
86;527,0;-0,5965864009732096;351,29502263380516;36,89398932092372;1;504,0;598,0;5,0;519,0;608,0;225,0;-0,59659
87;527,0;-0,44742198501696934;272,68537542486655;36,89398932092372;1;514,0;589,0;4,0;475,0;589,0;200,0;-0,44742
88;527,0;-0,3898344980038815;242,33676976896925;36,89398932092372;1;473,0;557,0;5,0;467,0;562,0;196,0;-0,38983
89;527,0;-0,20744192529199157;146,2158839498033;36,89398932092372;1;524,0;613,0;3,0;519,0;616,0;224,0;-0,20744
90;527,0;-0,15801005042773525;120,1652858963402;36,89398932092372;1;466,0;554,0;3,0;460,0;555,0;190,0;-0,15801
91;527,0;0,17449965437469875;-55,06732853454251;36,89398932092372;1;436,0;581,0;3,0;499,0;589,0;213,0;0,1745
92;527,0;0,24842120119184494;-94,02398370717857;36,89398932092372;1;527,0;573,0;2,0;485,0;580,0;207,0;0,24842
93;527,0;0,41167248808117674;-180,0574118978564;36,89398932092372;1;527,0;568,0;3,0;480,0;572,0;203,0;0,41167
94;527,0;0,42964104043990514;-189,5268389909063;36,89398932092372;1;527,0;565,0;2,0;478,0;567,0;201,0;0,42964
95;527,0;0,8591514268895595;-415,87881264987413;36,89398932092372;1;527,0;557,0;2,0;460,0;564,0;189,0;0,85915
96;589,0;-2,785547588042151;1664,7201193096473;24,032589952820246;1;581,0;661,0;2,0;574,0;663,0;262,0;-2,78555
97;589,0;-1,5180484139330215;918,1631057593698;24,032589952820246;1;573,0;661,0;2,0;571,0;662,0;258,0;-1,51805
98;589,0;-1,4161891133062725;858,1679776902147;24,032589952820246;1;568,0;654,0;3,0;568,0;657,0;256,0;-1,41619
99;589,0;-1,2161566210341614;740,3488397419413;24,032589952820246;1;565,0;654,0;2,0;554,0;654,0;246,0;-1,21616
100;589,0;-1,0980534627680647;670,7860795232103;24,032589952820246;1;550,0;639,0;2,0;540,0;639,0;240,0;-1,09805
101;589,0;-0,43749147184095355;281,7150668671419;24,032589952820246;1;538,0;625,0;2,0;535,0;627,0;236,0;-0,43749
102;589,0;-0,33994151953747714;224,25814496039428;24,032589952820246;1;490,0;510,0;4,0;530,0;621,0;232,0;-0,33994
103;589,0;-0,20744192529199157;146,2158839498033;24,032589952820246;1;524,0;598,0;3,0;504,0;603,0;217,0;-0,20744
104;589,0;0,05410087245208274;-7,832823921456487;24,032589952820246;1;589,0;661,0;3,0;554,0;663,0;245,0;0,0541
105;589,0;0,16885278494213196;-75,42170037809548;24,032589952820246;1;589,0;630,0;3,0;510,0;639,0;220,0;0,16885
106;639,0;0,028911428246949984;8,263230925623343;26,737633575424383;1;436,0;664,0;4,0;593,0;682,0;268,0;0,02891
107;639,0;0,05410087245208274;-7,832823921456487;26,737633575424383;1;589,0;664,0;3,0;581,0;678,0;264,0;0,0541
108;639,0;0,6893451848863761;-413,75393956696996;26,737633575424383;1;639,0;664,0;4,0;581,0;682,0;263,0;0,68935
109;683,0;-1,342752555440942;936,7886264141346;19,688631047971185;1;661,0;737,0;3,0;659,0;748,0;296,0;-1,34275
110;683,0;-0,6448029575921601;460,0890510834165;19,688631047971185;1;654,0;737,0;2,0;654,0;743,0;294,0;-0,6448
111;683,0;-0,37866026261230235;278,31359041217365;19,688631047971185;1;648,0;737,0;2,0;647,0;737,0;290,0;-0,37866
112;683,0;-0,16020460289666358;129,1083748263924;19,688631047971185;1;613,0;723,0;3,0;602,0;728,0;272,0;-0,1602
113;683,0;-0,06898392905092056;66,80465458974993;19,688631047971185;1;315,0;356,0;3,0;597,0;687,0;269,0;-0,06898
114;683,0;0,11207659441235289;-56,859682935665845;19,688631047971185;1;683,0;769,0;2,0;679,0;772,0;302,0;0,11208
115;683,0;0,6114383146697953;-397,923737871499;19,688631047971185;1;683,0;737,0;2,0;654,0;748,0;293,0;0,61144
116;683,0;0,8517148539419406;-562,0326141943742;19,688631047971185;1;683,0;723,0;2,0;639,0;737,0;287,0;0,85171
117;683,0;0,9562854720277552;-633,4543463469856;19,688631047971185;1;683,0;719,0;2,0;633,0;722,0;285,0;0,95629
118;683,0;1,242128880797141;-828,6853945364761;19,688631047971185;1;683,0;707,0;2,0;613,0;719,0;273,0;1,24213
119;683,0;4,183585169024186;-2837,7000393955477;19,688631047971185;1;683,0;687,0;2,0;602,0;691,0;271,0;4,18359
120;692,0;-1,111036149784495;799,704806626016;30,867790975145454;1;687,0;769,0;2,0;687,0;776,0;305,0;-1,11104
121;692,0;-0,0663527139641926;76,78386903836673;30,867790975145454;1;459,0;519,0;4,0;687,0;781,0;304,0;-0,06635
122;749,0;-1,0258284202485513;795,4311730453513;27,085686279186476;1;723,0;807,0;2,0;723,0;812,0;323,0;-1,02583
123;749,0;-0,9009740587261298;701,9152562650577;27,085686279186476;1;719,0;807,0;2,0;709,0;808,0;315,0;-0,90097
124;749,0;-0,5966962489087309;474,0111767118259;27,085686279186476;1;707,0;793,0;2,0;697,0;796,0;309,0;-0,5967
125;749,0;0,06707577275545651;-23,15406751465045;27,085686279186476;1;749,0;807,0;3,0;697,0;812,0;308,0;0,06708
126;749,0;0,11207659441235289;-56,859682935665845;27,085686279186476;1;683,0;756,0;2,0;661,0;763,0;297,0;0,11208
127;749,0;2,6991323634671014;-1994,5644539576724;27,085686279186476;1;749,0;756,0;2,0;674,0;763,0;300,0;2,69913
128;781,0;-0,16323903757560032;156,72179935390494;29,232111007361084;1;777,0;862,0;2,0;756,0;866,0;335,0;-0,16324
129;781,0;0,06707577275545651;-23,15406751465045;29,232111007361084;1;749,0;835,0;3,0;734,0;838,0;325,0;0,06708
130;781,0;0,34320988070425934;-238,81480582266545;29,232111007361084;1;781,0;862,0;3,0;777,0;870,0;346,0;0,34321
131;781,0;0,549970452810296;-400,2948126374801;29,232111007361084;1;781,0;839,0;2,0;740,0;847,0;328,0;0,54997
132;781,0;0,6699378212610311;-493,98932739750416;29,232111007361084;1;781,0;824,0;3,0;734,0;826,0;324,0;0,66994
133;787,0;0,23108731784946118;-143,7348725217966;38,130846625729326;1;787,0;862,0;4,0;785,0;874,0;349,0;0,23109
134;793,0;0,06162857714262788;-8,164379902855082;40,70708177124882;1;793,0;875,0;3,0;793,0;882,0;351,0;0,06163
135;799,0;0,027673419440524313;19,179929657080717;41,29099179005964;1;793,0;887,0;3,0;799,0;888,0;353,0;0,02767
136;799,0;0,058810964564271935;-5,69896889679363;41,29099179005964;1;793,0;875,0;3,0;797,0;886,0;352,0;0,05881
137;807,0;-0,9383386225616993;810,6138907768002;53,37462236950892;1;804,0;887,0;2,0;804,0;893,0;355,0;-0,93834
138;807,0;-0,12060462085853922;150,70255140235008;53,37462236950892;1;807,0;887,0;4,0;804,0;893,0;354,0;-0,1206
139;848,0;0,34320988070425934;-238,81480582266545;52,22717301454646;1;781,0;858,0;2,0;763,0;861,0;338,0;0,34321
140;848,0;0,6493749472063897;-498,442782216472;52,22717301454646;1;848,0;858,0;2,0;772,0;861,0;344,0;0,64937
141;848,0;2,1061362028695543;-1733,7763270188357;52,22717301454646;1;848,0;853,0;2,0;768,0;858,0;340,0;2,10614
142;875,0;0,08670202808198844;-30,103649474795574;45,76062509694431;1;787,0;875,0;2,0;787,0;876,0;350,0;0,0867
143;887,0;-0,1695310330098773;194,10027898058695;43,72625270082578;1;827,0;933,0;4,0;816,0;935,0;363,0;-0,16953
144;887,0;-0,13942755783879046;167,39849650383292;43,72625270082578;1;804,0;901,0;5,0;811,0;902,0;359,0;-0,13943
145;887,0;-0,12060462085853922;150,70255140235008;43,72625270082578;1;807,0;896,0;4,0;806,0;896,0;356,0;-0,1206
