;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi
0;3;50;2;3;4;6;0,05;0,05;BAC;out_of_sample_final_1;12,805615549024974;1,1165802691476812;-12,610890210164694;21,0;42
1;3;50;2;3;4;6;0,05;0,05;BAC;out_of_sample_final_2;11,138735804456235;0,8352205977150428;-12,726500339723124;19,0;42
0;3;70;2;3;4;6;0,03;0,06;CL;out_of_sample_final_1;14,880268658935236;1,0141946847911976;-15,502551873103954;27,0;42
1;3;70;2;3;4;6;0,03;0,06;CL;out_of_sample_final_2;16,066862962324958;1,7049689972583173;-6,651650656062857;16,0;42
0;3;70;2;3;3;6;0,01;0,05;COF;out_of_sample_final_1;23,360474923933737;1,2313186252133643;-23,059190914543983;43,0;42
1;3;70;2;3;3;6;0,01;0,05;COF;out_of_sample_final_2;0,9785062174685776;0,0743551338255476;-19,475825402129164;31,0;42
0;3;80;2;3;4;6;0,03;0,06;MMC;out_of_sample_final_1;29,04181600331057;1,2444313606915962;-12,726249726156668;30,0;49
1;3;80;2;3;4;6;0,03;0,06;MMC;out_of_sample_final_2;6,26265917954878;0,4815566595758439;-16,108860917705215;22,0;49
0;3;100;2;3;4;6;0,01;0,05;DHR;out_of_sample_final_1;17,957534883562065;1,4632586086724106;-9,654331780755951;34,0;42
1;3;100;2;3;4;6;0,01;0,05;DHR;out_of_sample_final_2;11,80440495221875;0,85821402083639;-14,870246093214956;26,0;42
0;3;90;2;3;3;6;0,02;0,05;HAS;out_of_sample_final_1;21,02161522621536;1,5050180900414885;-7,866105931480661;33,0;49
1;3;90;2;3;3;6;0,02;0,05;HAS;out_of_sample_final_2;10,05734216598364;0,5582252842429378;-14,291165260558367;32,0;49
0;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_1;10,560147048728364;0,8245035045779615;-13,558618872870609;37,0;49
1;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_2;24,066987815121266;1,583389443217164;-12,194815525206735;32,0;49
0;3;50;2;3;3;6;0,02;0,05;MMM;out_of_sample_final_1;4,524995993010705;0,3761233919564731;-14,3725288857394;32,0;49
1;3;50;2;3;3;6;0,02;0,05;MMM;out_of_sample_final_2;15,60458233195532;0,9727924022739768;-9,30150733831494;21,0;49
0;3;50;2;3;4;6;0,01;0,06;ED;out_of_sample_final_1;15,988670432579145;1,3472359219852006;-6,642365356160218;29,0;49
1;3;50;2;3;4;6;0,01;0,06;ED;out_of_sample_final_2;17,297463727982176;1,3457720278824243;-10,044733912125336;25,0;49
0;3;80;2;3;4;6;0,01;0,05;ORCL;out_of_sample_final_1;19,711199652207;1,2041332619277;-11,023900324956482;39,0;42
1;3;80;2;3;4;6;0,01;0,05;ORCL;out_of_sample_final_2;20,748278862041246;1,759484880395017;-4,506504176631776;29,0;42
0;3;50;2;3;4;6;0,02;0,05;PNC;out_of_sample_final_1;8,083668872372929;0,7914494060075584;-9,297911040407303;22,0;35
1;3;50;2;3;4;6;0,02;0,05;PNC;out_of_sample_final_2;17,96376205670782;1,0865606131071002;-12,014034491978007;31,0;35
0;3;50;2;3;3;6;0,03;0,05;MU;out_of_sample_final_1;36,92108948178494;1,5625450552346964;-18,383987743833387;37,0;42
1;3;50;2;3;3;6;0,03;0,05;MU;out_of_sample_final_2;11,5109053095388;0,6519240492772925;-15,939030297648335;32,0;42
0;3;80;2;3;3;6;0,01;0,06;MCO;out_of_sample_final_1;2,885977292240627;0,2464867472816343;-13,437275530649185;35,0;49
1;3;80;2;3;3;6;0,01;0,06;MCO;out_of_sample_final_2;11,684394191095905;1,0262068305624878;-10,257567498550891;28,0;49
0;3;60;2;3;4;6;0,02;0,05;FDX;out_of_sample_final_1;10,51638191268407;0,8542983376607415;-11,054172426080234;36,0;49
