top_bottom_idx;top_bottom_value
67;65,54160473430588
74;64,65316400193849
78;65,62500262856554
83;63,374069297309184
93;64,19054326614219
121;45,68106229850352
129;43,10114008851164
134;45,93908849895647
138;47,444484376953866
149;51,10946422341088
162;55,81915678824716
174;63,704071628903485
189;51,88492287340605
205;45,19331143544339
213;50,19588936818066
235;57,87746570207022
239;59,369633809729876
245;60,087722146060436
253;62,155960913349155
268;53,092778141308486
277;55,44554042062756
291;49,118938770073505
297;48,048047198479416
313;54,380663854120584
317;52,27964048047204
325;54,84516449924082
337;58,738192378426376
356;65,33988792995127
364;63,95225154692503
370;62,733973484277406
379;57,368131572838806
388;51,9388853704094
398;46,584841741932806
411;49,976366530553
416;52,17831586922349
421;50,15014654707146
425;50,96899252448691
429;48,5581828076892
435;54,417586082398856
439;57,638880060199256
448;50,7262954598837
455;48,40278242238509
463;49,40176673901727
473;52,02188960495671
479;52,04146369588641
491;47,27345944598706
499;50,67682653678087
507;49,64610876988565
516;49,006200406673116
543;64,0534305318581
554;66,36518256893646
561;67,23427064740318
567;71,32688800745609
572;70,05870495200992
583;73,24560078709348
602;58,86076240362029
614;53,74375209352103
619;51,43030987807559
624;52,138255474064096
645;42,48759488728282
661;46,41597752542727
670;41,12468007801754
688;52,690444248709305
698;46,81775829187472
706;49,31921632603199
714;49,41878540843247
720;49,72624988689971
732;54,48297214761252
743;60,6759461392262
754;54,26560891535363
766;49,67350865209919
770;47,841016072069046
777;42,372878766956724
783;45,266126191731786
793;43,4936722230604
805;44,888260888781254
823;55,812824202113845
828;57,49524689178795
838;56,198731656755484
842;55,22029603231377
848;55,657487372727836
865;58,81991201374982
879;54,586130174887025
888;56,45324222687671
897;58,50272036091045
902;56,42222190355877
909;56,78831211516791
920;61,1797753870901
924;61,35593292830274
931;62,084762032082345
940;56,62513595301426
949;59,28570623908676
963;55,60398489297971
971;49,90403303427015
982;53,323811633889356
988;55,50202059476392
996;54,20711164737183
1005;57,52284289513943
1016;61,5508611988807
1026;64,81097632004689
1034;60,69402951732765
1047;65,1766302617479
1056;55,02480763225062
1067;55,178664498350074
1080;49,913146352232026
1087;49,212024070506175
1111;60,22631001543452
1127;59,02060617888063
1134;59,289599919453664
1140;56,867956111974486
1151;45,77900094101463
1156;42,24781321737385
1172;46,03054338384149
1181;40,050812329129045
1187;45,10151622976383
1195;56,036872143590195
1218;59,876556776355514
1228;63,04045432910928
1234;67,29561227168882
1244;62,56983630878291
1255;71,30435553545979
1266;58,439496336435624
1279;53,32463662612324
1287;54,77887430294245
1295;55,978970710105656
1299;56,532816295375376
1304;54,87514121387735
1313;49,58217493960063
1323;53,37224402771721
1331;45,367549219658876
1340;44,84576821873199
1350;41,036758290823926
1359;46,51731570739183
1366;44,507060114908974
1371;46,38783435413157
1385;51,91040234008361
1396;58,62330455960029
1407;60,077230745483774
