;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;1;14;2;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;37,91126430431693;0,9157854105454452;-39,73767261515122;149,0
1;1;14;2;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;24,22495794681092;0,718187028173903;-37,95506198616612;107,0
2;1;14;3;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;40,30798733243333;1,0538251494381623;-26,498331868423865;115,0
3;1;14;3;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;32,89342423304647;1,0115923444995891;-20,591631343309093;89,0
4;1;14;4;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;36,613282217870704;1,0586830991965834;-22,61591353034611;92,0
5;1;14;4;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;26,76695341524433;0,9616793498458924;-26,22697868542;77,0
6;1;21;2;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;39,05783366982667;0,8846174052518413;-39,24897152888084;150,0
7;1;21;2;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;19,46401446639703;0,5987388586529226;-42,8544267624246;112,0
8;1;21;3;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;34,261375164723496;0,8882863903262599;-27,9474150668107;125,0
9;1;21;3;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;19,31468565511469;0,6977026222365721;-37,92123295634748;91,0
10;1;21;4;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;15,069922603887353;0,5089780358830803;-46,37863913580252;101,0
11;1;21;4;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;13,28227709962453;0,5532294601632366;-34,005736843004385;77,0
12;1;28;2;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;63,77552959817668;1,2837764737860131;-20,43854983659614;133,0
13;1;28;2;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;46,1194361816869;1,169526733169003;-14,639265020321623;106,0
14;1;28;3;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;57,95745123240474;1,2936206553391845;-15,975173969128187;112,0
15;1;28;3;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;37,64114451972274;1,0921777055102295;-21,131586316190187;91,0
16;1;28;4;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;60,05605014814406;1,3858838520408951;-13,28242456194344;94,0
17;1;28;4;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;38,6753967581001;1,0851172241715306;-27,27236453579309;80,0
18;1;35;2;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;52,13653369979845;1,1837503916092988;-21,347892858256547;145,0
19;1;35;2;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;40,39729929982112;1,0423051129073793;-26,65267928794155;122,0
20;1;35;3;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;52,35141939789512;1,2851788073574764;-15,7422723712755;114,0
21;1;35;3;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;47,93053914914094;1,2798434663513636;-14,682331873460974;94,0
22;1;35;4;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;52,2264342326171;1,4024097216220874;-23,70757839391304;92,0
23;1;35;4;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;38,08044464587079;1,183417186137028;-27,75967391318385;83,0
24;1;42;2;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;47,69326541220116;1,121043630142052;-20,711021341184157;130,0
25;1;42;2;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;44,26899127614692;1,062308089569497;-26,498755556018335;97,0
26;1;42;3;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;51,50064040044828;1,2261734473846382;-18,65469090650156;106,0
27;1;42;3;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;49,042348714474016;1,2493109666467852;-20,655781867736223;88,0
28;1;42;4;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;47,04940457555082;1,2435287729749522;-17,328654919553376;83,0
29;1;42;4;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;48,16522802733287;1,1621212752445618;-26,81846303146901;85,0
30;1;49;2;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;40,3694870999568;0,932625733273397;-24,165046639861146;133,0
31;1;49;2;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;34,59651871934615;0,9161285762367162;-23,789852198530102;95,0
32;1;49;3;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;36,72365039111618;0,9546471189064156;-16,0627671727134;106,0
33;1;49;3;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;21,974524740720238;0,7022876235791025;-26,364065636394884;86,0
34;1;49;4;50;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;34,29770575310482;0,9919043576774612;-24,354322165651343;89,0
35;1;49;4;100;3;2;6;0,02;0,05;CSCO;in_sample_1_1x;19,89709553817547;0,7706810104916698;-21,733844416400792;71,0
