Ativo;Cenario;Retorno_Anual_Medio;Volatilidade_Anual;Sharpe_Ratio
BVSP;in_sample_1_1x;13,737784792774299;30,087138775882202;4,5659990785785464e-05
GSPC;in_sample_1_1x;-1,2716996940189573;19,39029722914451;-6,558433215286324e-06
FTSE;in_sample_1_1x;-2,2741217114863876;19,313442691697627;-1,1774812744617386e-05
IXIC;in_sample_1_1x;-5,961252533940032;33,56055338878729;-1,7762676511561066e-05
PETR4.SA;in_sample_1_1x;24,00020843688575;33,537752316570916;7,156176779630909e-05
VALE3.SA;in_sample_1_1x;42,65095641117431;33,48332395539298;0,00012737969643633528
ITUB;in_sample_1_1x;40,920279724050815;44,91353671562303;9,110901237447377e-05
BRLUSD=X;in_sample_1_1x;-0,6484684398790352;11,305577526768056;-5,735827633251514e-06
EURUSD=X;in_sample_1_1x;1,5401987183075505;10,069211292170618;1,5296120754811675e-05
JPYUSD=X;in_sample_1_1x;-0,9765871558567452;9,381240199287056;-1,0410000544820957e-05
CNYUSD=X;in_sample_1_1x;0,6987798989025906;1,1678105704901591;5,983675063065197e-05
BVSP;in_sample_2_1x;3,396462621780283;31,101070715347376;1,0920725697408989e-05
GSPC;in_sample_2_1x;7,553868906220562;24,75776644501972;3,051110819304179e-05
FTSE;in_sample_2_1x;4,610685844908113;22,864365789332815;2,0165378245738144e-05
IXIC;in_sample_2_1x;12,488937847373705;25,77327791324928;4,8456924607767924e-05
PETR4.SA;in_sample_2_1x;-3,8987626134056597;39,34185255326151;-9,909961937169747e-06
VALE3.SA;in_sample_2_1x;1,4323654090917515;42,08088015733293;3,403838997037115e-06
ITUB;in_sample_2_1x;12,655610614625367;53,52910031605362;2,3642487058258835e-05
BRLUSD=X;in_sample_2_1x;-1,5015538523514782;21,419493905031313;-7,010220965112402e-06
EURUSD=X;in_sample_2_1x;0,2127130101421626;16,76883239530033;1,2685022136769524e-06
JPYUSD=X;in_sample_2_1x;2,993529993640087;16,95643323904018;1,765424338620836e-05
CNYUSD=X;in_sample_2_1x;3,1573654077473368;6,043257250244296;5,224608645643377e-05
BVSP;in_sample_3_1x;24,695622079595104;20,754913667877773;0,00011898686968674958
GSPC;in_sample_3_1x;12,661992947073152;12,723527030469489;9,951637558320913e-05
FTSE;in_sample_3_1x;5,542316730728314;11,81040029613468;4,692742491160277e-05
IXIC;in_sample_3_1x;18,797613494814836;15,899316686238931;0,00011822906522193131
PETR4.SA;in_sample_3_1x;47,80410817108043;43,31656985222283;0,0001103598653683039
VALE3.SA;in_sample_3_1x;43,10183729474919;41,51819874281396;0,00010381432383843321
ITUB;in_sample_3_1x;20,237860560703425;35,89112137548443;5,63868159731754e-05
BRLUSD=X;in_sample_3_1x;-3,118633928419323;16,64120393210318;-1,8740434533123215e-05
EURUSD=X;in_sample_3_1x;-0,6416522207146169;7,125943285106137;-9,004453095434085e-06
JPYUSD=X;in_sample_3_1x;0,3333126240063988;8,437676218027383;3,950289337889798e-06
CNYUSD=X;in_sample_3_1x;-2,4182309134294755;4,4313042785773575;-5,457153834188595e-05
BVSP;out_of_sample_val_1;37,6117160259998;23,834496532472514;0,00015780369421588986
GSPC;out_of_sample_val_1;13,621872347139519;10,001136520150236;0,0001362032436982961
FTSE;out_of_sample_val_1;13,161363001172344;12,128774626864846;0,00010851354243173376
IXIC;out_of_sample_val_1;11,739549243531178;13,842081056740351;8,481058011009585e-05
PETR4.SA;out_of_sample_val_1;28,163714973869357;28,705394315448917;9,811297021170675e-05
VALE3.SA;out_of_sample_val_1;45,832986615632244;32,052031832560296;0,00014299557312018036
ITUB;out_of_sample_val_1;45,40488653016761;39,633359214412614;0,0001145622965858927
BRLUSD=X;out_of_sample_val_1;3,530887684211592;18,72673706508741;1,885479393414611e-05
EURUSD=X;out_of_sample_val_1;6,813251446029334;7,599801292857062;8,965038931258642e-05
JPYUSD=X;out_of_sample_val_1;-0,7912411342451908;7,996698280967214;-9,894597825810291e-06
CNYUSD=X;out_of_sample_val_1;3,148774273621835;1,0775652690588433;0,0002922119303614905
BVSP;out_of_sample_val_2;13,473194442734515;31,600422564967666;4,263612113108558e-05
GSPC;out_of_sample_val_2;24,23025227944653;23,64324539254985;0,00010248276781444585
FTSE;out_of_sample_val_2;1,232676320763737;20,698710556154207;5,955329040519549e-06
IXIC;out_of_sample_val_2;36,47126762905744;25,668165483312748;0,00014208755063842775
PETR4.SA;out_of_sample_val_2;14,122932494172469;52,1881874412199;2,7061550106677445e-05
VALE3.SA;out_of_sample_val_2;38,989345846622236;42,05048291463019;9,272032838666182e-05
ITUB;out_of_sample_val_2;-9,20225680875728;47,219791610084464;-1,948813515473458e-05
BRLUSD=X;out_of_sample_val_2;-10,163029488421305;18,318438355404624;-5,547978103397024e-05
EURUSD=X;out_of_sample_val_2;1,9026419197892608;6,181764846112227;3,077829660547265e-05
JPYUSD=X;out_of_sample_val_2;1,0855910393824386;6,677657683925402;1,6257063341172704e-05
CNYUSD=X;out_of_sample_val_2;1,6949803040440248;3,9650741601165778;4,274775793838344e-05
BVSP;out_of_sample_final_1;27,90459502264746;28,269935188986643;9,870767243045712e-05
GSPC;out_of_sample_final_1;2,758179421842244;17,586146668365085;1,568381905289012e-05
FTSE;out_of_sample_final_1;1,5757475375158592;18,61501919172105;8,464925667208907e-06
IXIC;out_of_sample_final_1;6,218300499118978;23,176444369009086;2,6830260932664553e-05
PETR4.SA;out_of_sample_final_1;30,658668419094436;31,57634173018635;9,709379471842162e-05
VALE3.SA;out_of_sample_final_1;53,574217813749826;32,87286399963494;0,0001629739891673107
ITUB;out_of_sample_final_1;46,62136657245088;44,8200621382092;0,00010401896906944728
BRLUSD=X;out_of_sample_final_1;-0,6484684398790352;11,305577526768056;-5,735827633251514e-06
EURUSD=X;out_of_sample_final_1;1,1224821929491258;9,943266464911785;1,128886766647749e-05
JPYUSD=X;out_of_sample_final_1;4,166376424445795;8,930357026186764;4,665408574627642e-05
CNYUSD=X;out_of_sample_final_1;0,8136710863605234;1,2288753206772387;6,621266394316599e-05
BVSP;out_of_sample_final_2;7,5277628433857435;17,853188823108848;4,2164808303836134e-05
GSPC;out_of_sample_final_2;10,711401618619053;17,40700989237036;6,153498897771035e-05
FTSE;out_of_sample_final_2;6,18432207853381;12,940346092698773;4,779100987123629e-05
IXIC;out_of_sample_final_2;9,825800573218979;23,34450763165089;4,209041684775989e-05
PETR4.SA;out_of_sample_final_2;21,222746085284626;37,37121883635743;5,678901236327246e-05
VALE3.SA;out_of_sample_final_2;-4,019910044158781;32,291972790385046;-1,2448635672564767e-05
ITUB;out_of_sample_final_2;19,333274231868593;33,698806635051234;5,737079784825206e-05
BRLUSD=X;out_of_sample_final_2;-1,6196761706312124;14,28640446278257;-1,1337185467838472e-05
EURUSD=X;out_of_sample_final_2;-2,073569542507381;7,692153421009014;-2,6956944681368325e-05
JPYUSD=X;out_of_sample_final_2;-9,293777481726117;10,238256871058676;-9,077499811513427e-05
CNYUSD=X;out_of_sample_final_2;-2,7141879618646447;6,579638773442336;-4,1251321771949426e-05
