;indice_original_lower_pivot;support_slope;support_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;support_slope_rounded
0;73,0;-0,2641851083680188;60,24642496298264;40,960912052117266;1;49,0;103,0;3,0;53,0;104,0;5,0;-0,26419
1;73,0;-0,24569291030516993;58,89649450439467;40,960912052117266;1;49,0;93,0;3,0;46,0;98,0;1,0;-0,24569
2;73,0;0,36811495048394305;14,088520666789424;40,960912052117266;1;73,0;113,0;3,0;67,0;119,0;10,0;0,36811
3;73,0;0,46115618107198203;7,296510833862577;40,960912052117266;1;73,0;103,0;4,0;63,0;112,0;8,0;0,46116
4;73,0;0,4675038099718833;6,833133924169786;40,960912052117266;1;73,0;103,0;5,0;46,0;104,0;0,0;0,4675
5;120,0;-0,21180343860791323;74,65431853089525;49,237905897945666;1;99,0;144,0;3,0;94,0;148,0;26,0;-0,2118
6;120,0;-0,03974379087441725;54,00716080287574;49,237905897945666;1;83,0;137,0;5,0;93,0;142,0;24,0;-0,03974
7;120,0;-0,035799975744854724;53,53390298732823;49,237905897945666;1;83,0;137,0;5,0;87,0;138,0;20,0;-0,0358
8;120,0;0,011398646191560263;47,870068354958434;49,237905897945666;1;83,0;128,0;5,0;74,0;132,0;14,0;0,0114
9;120,0;0,14865835560431925;31,398903225427354;49,237905897945666;1;73,0;164,0;4,0;113,0;169,0;33,0;0,14866
10;120,0;0,29876511816268597;13,386091718423351;49,237905897945666;1;120,0;144,0;4,0;99,0;153,0;27,0;0,29877
11;120,0;0,33071044140143613;9,55265292977333;49,237905897945666;1;120,0;137,0;3,0;83,0;143,0;17,0;0,33071
12;124,0;0,12438474416470366;35,137039387128155;50,56074766355141;1;120,0;173,0;4,0;123,0;173,0;37,0;0,12438
13;128,0;0,045116305132563476;47,344378998077744;53,11926605504587;1;89,0;113,0;3,0;128,0;177,0;39,0;0,04512
14;154,0;-0,21159787453576087;86,87836266699969;54,29228998849252;1;137,0;193,0;3,0;132,0;193,0;41,0;-0,2116
15;154,0;0,028474561255890762;49,90720755508534;54,29228998849252;1;128,0;193,0;3,0;151,0;200,0;50,0;0,02847
16;154,0;0,10275607050941156;38,46785513004314;54,29228998849252;1;83,0;188,0;7,0;137,0;193,0;42,0;0,10276
17;154,0;0,19695992441917443;23,960461627939658;54,29228998849252;1;120,0;173,0;3,0;132,0;181,0;40,0;0,19696
18;164,0;-0,3362997197502335;114,24406312994738;59,090909090909086;1;164,0;207,0;4,0;164,0;213,0;53,0;-0,3363
19;201,0;-1,0069234400982847;249,13313501765924;46,74152355790401;1;188,0;236,0;3,0;186,0;237,0;63,0;-1,00692
20;201,0;-0,5488387581501071;157,05811394607554;46,74152355790401;1;182,0;231,0;3,0;181,0;231,0;59,0;-0,54884
21;201,0;-0,40332160694831515;127,80916655451534;46,74152355790401;1;173,0;220,0;3,0;170,0;222,0;55,0;-0,40332
22;201,0;-0,3519170693758274;117,47685450244532;46,74152355790401;1;164,0;236,0;6,0;170,0;237,0;54,0;-0,35192
23;201,0;-0,33376717656770477;113,82872604801267;46,74152355790401;1;164,0;201,0;3,0;157,0;206,0;52,0;-0,33377
24;201,0;-0,1606546049061385;79,03309914403785;46,74152355790401;1;137,0;201,0;4,0;154,0;203,0;51,0;-0,16065
25;236,0;-0,5465813268312516;163,30691862237146;34,31372549019608;1;220,0;265,0;3,0;221,0;270,0;81,0;-0,54658
26;236,0;-0,5018975332068312;152,76154332700824;34,31372549019608;1;220,0;265,0;3,0;209,0;269,0;75,0;-0,5019
27;236,0;-0,355734332808723;118,26702803305471;34,31372549019608;1;164,0;254,0;6,0;204,0;256,0;71,0;-0,35573
28;236,0;-0,3550799447916552;118,11259246102671;34,31372549019608;1;164,0;246,0;6,0;193,0;250,0;66,0;-0,35508
29;236,0;0,27288282733147246;-30,08662176003142;34,31372549019608;1;236,0;265,0;3,0;215,0;270,0;76,0;0,27288
30;259,0;-0,055368509239107765;54,930474411748854;40,590030518819944;1;83,0;220,0;6,0;241,0;303,0;89,0;-0,05537
31;259,0;0,2359340761556561;-20,516895205494983;40,590030518819944;1;236,0;291,0;4,0;246,0;308,0;90,0;0,23593
32;259,0;0,27288282733147246;-30,08662176003142;40,590030518819944;1;236,0;282,0;3,0;231,0;285,0;83,0;0,27288
33;259,0;0,6172199252426012;-119,26993011901375;40,590030518819944;1;259,0;282,0;3,0;236,0;290,0;86,0;0,61722
34;259,0;0,8329823163661624;-175,1523894200161;40,590030518819944;1;259,0;271,0;3,0;231,0;281,0;82,0;0,83298
35;265,0;-0,1617226862271817;88,56170803259975;45,705196182396605;1;182,0;193,0;3,0;265,0;314,0;97,0;-0,16172
36;271,0;-0,31985669298881353;137,26698211518237;50,58581831521389;1;271,0;316,0;3,0;271,0;320,0;100,0;-0,31986
37;308,0;-0,5522823694807734;208,854090474706;38,75112067462779;1;282,0;339,0;3,0;278,0;340,0;102,0;-0,55228
38;308,0;-0,1617226862271817;88,56170803259975;38,75112067462779;1;182,0;193,0;3,0;262,0;311,0;96,0;-0,16172
39;308,0;-0,12215527720878239;76,37494605493276;38,75112067462779;1;265,0;339,0;3,0;278,0;340,0;101,0;-0,12216
40;339,0;-0,1873168952905295;103,06202780494307;39,56160030145357;1;328,0;356,0;3,0;318,0;367,0;118,0;-0,18732
41;339,0;-0,05491033976675162;58,17620548238237;39,56160030145357;1;328,0;384,0;4,0;339,0;388,0;123,0;-0,05491
42;339,0;0,07772703671721916;13,212134854316279;39,56160030145357;1;308,0;356,0;3,0;306,0;365,0;111,0;0,07773
43;368,0;-0,05491033976675162;58,17620548238237;37,96920044821778;1;328,0;379,0;4,0;328,0;383,0;119,0;-0,05491
44;368,0;0,3099259073124504;-76,08353344276397;37,96920044821778;1;368,0;384,0;3,0;342,0;391,0;124,0;0,30993
45;392,0;-0,19284688631279462;106,84227368877663;31,246294254161143;1;328,0;433,0;6,0;392,0;441,0;140,0;-0,19285
46;392,0;-0,13775327041203964;85,24557625568067;31,246294254161143;1;328,0;428,0;5,0;383,0;433,0;136,0;-0,13775
47;392,0;-0,12755375485656328;81,24736615793395;31,246294254161143;1;164,0;193,0;4,0;378,0;428,0;132,0;-0,12755
48;424,0;-0,6878269362648541;318,8031950750493;27,164574098751118;1;411,0;442,0;3,0;399,0;448,0;142,0;-0,68783
49;424,0;-0,46882224029767156;225,94520398496388;27,164574098751118;1;424,0;442,0;4,0;399,0;448,0;141,0;-0,46882
50;442,0;-0,46882224029767156;225,94520398496385;18,72577377339303;1;424,0;473,0;4,0;404,0;473,0;144,0;-0,46882
51;442,0;0,22772062338679908;-81,92674176357217;18,72577377339303;1;442,0;473,0;3,0;423,0;473,0;149,0;0,22772
52;460,0;-0,04589979492549882;43,93865066008487;22,824744994355413;1;73,0;433,0;4,0;449,0;503,0;164,0;-0,0459
53;460,0;0,22772062338679908;-81,92674176357217;22,824744994355413;1;442,0;486,0;3,0;428,0;491,0;154,0;0,22772
54;460,0;0,9677298707027251;-422,33099552889814;22,824744994355413;1;460,0;486,0;3,0;442,0;500,0;161,0;0,96773
55;473,0;0,6971023008256149;-292,6841500366696;37,04523825384619;1;473,0;501,0;3,0;464,0;513,0;170,0;0,6971
56;524,0;-1,0946124207520151;604,964925473723;31,38801699966706;1;501,0;540,0;3,0;490,0;550,0;178,0;-1,09461
57;524,0;-0,6750790205221628;385,1294237532804;31,38801699966706;1;524,0;540,0;3,0;501,0;550,0;179,0;-0,67508
58;540,0;-0,689501767603133;392,9177071770043;20,586752671312453;1;524,0;570,0;3,0;529,0;578,0;186,0;-0,6895
59;540,0;-0,6750790205221628;385,1294237532804;20,586752671312453;1;524,0;570,0;3,0;514,0;573,0;181,0;-0,67508
60;570,0;-0,31685310268311184;222,95462854794096;42,34836001856719;1;570,0;608,0;3,0;570,0;619,0;195,0;-0,31685
61;589,0;-0,03908008816781611;64,62401027422237;41,605838343378686;1;164,0;193,0;4,0;544,0;593,0;193,0;-0,03908
