;ativo;cenario;variavel;melhor_valor;media_de_pontos
0;CSCO;cenario_in_sample_1x;janela_rsi;42;5,186799441528667
1;CSCO;cenario_in_sample_1x;ordem;1;5,000472359359236
2;CSCO;cenario_in_sample_1x;lookback;50;4,581256781460414
3;CSCO;cenario_in_sample_1x;break_min;3;4,339498384684364
4;CSCO;cenario_in_sample_1x;num_pontos;2;4,738742194069697
5;MSFT;cenario_in_sample_1x;janela_rsi;42;6,123342434507602
6;MSFT;cenario_in_sample_1x;ordem;1;5,323555883897036
7;MSFT;cenario_in_sample_1x;lookback;50;4,297595422174741
8;MSFT;cenario_in_sample_1x;break_min;3;4,437791171518625
9;MSFT;cenario_in_sample_1x;num_pontos;2;4,772557482898456
10;PHM;cenario_in_sample_1x;janela_rsi;42;5,45319046776286
11;PHM;cenario_in_sample_1x;ordem;1;5,6622463195605865
12;PHM;cenario_in_sample_1x;lookback;50;4,820160804870157
13;PHM;cenario_in_sample_1x;break_min;3;4,393265003110252
14;PHM;cenario_in_sample_1x;num_pontos;2;5,014946815758046
15;MAR;cenario_in_sample_1x;janela_rsi;56;5,4003939750132695
16;MAR;cenario_in_sample_1x;ordem;1;5,633864357884754
17;MAR;cenario_in_sample_1x;lookback;50;4,781869434046105
18;MAR;cenario_in_sample_1x;break_min;3;4,5792084014919
19;MAR;cenario_in_sample_1x;num_pontos;2;5,2072514814289494
20;YUM;cenario_in_sample_1x;janela_rsi;56;5,3189410871304155
21;YUM;cenario_in_sample_1x;ordem;1;5,551780310139276
22;YUM;cenario_in_sample_1x;lookback;50;4,907847870190207
23;YUM;cenario_in_sample_1x;break_min;4;4,485152136749428
24;YUM;cenario_in_sample_1x;num_pontos;2;5,2454735030546695
25;COST;cenario_in_sample_1x;janela_rsi;42;4,875093533554697
26;COST;cenario_in_sample_1x;ordem;1;5,516815447565481
27;COST;cenario_in_sample_1x;lookback;50;4,852453431752218
28;COST;cenario_in_sample_1x;break_min;4;4,410419384881546
29;COST;cenario_in_sample_1x;num_pontos;2;5,036594585084815
30;HSY;cenario_in_sample_1x;janela_rsi;28;5,138446369511074
31;HSY;cenario_in_sample_1x;ordem;1;5,6380079287033995
32;HSY;cenario_in_sample_1x;lookback;50;4,7318302342059315
33;HSY;cenario_in_sample_1x;break_min;3;4,36399003531085
34;HSY;cenario_in_sample_1x;num_pontos;2;5,146003680815275
35;K;cenario_in_sample_1x;janela_rsi;35;5,37662370733043
36;K;cenario_in_sample_1x;ordem;1;5,908350447163705
37;K;cenario_in_sample_1x;lookback;50;4,598353616878684
38;K;cenario_in_sample_1x;break_min;3;4,7078893766752845
39;K;cenario_in_sample_1x;num_pontos;2;5,120758419543163
40;HES;cenario_in_sample_1x;janela_rsi;21;6,011145203427837
41;HES;cenario_in_sample_1x;ordem;1;6,158721509231701
42;HES;cenario_in_sample_1x;lookback;50;5,487003928273091
43;HES;cenario_in_sample_1x;break_min;3;5,281096719875564
44;HES;cenario_in_sample_1x;num_pontos;2;5,800486679471017
45;BSX;cenario_in_sample_1x;janela_rsi;35;5,3029101644035554
46;BSX;cenario_in_sample_1x;ordem;1;5,378387017722016
47;BSX;cenario_in_sample_1x;lookback;50;4,516826680429174
48;BSX;cenario_in_sample_1x;break_min;3;4,248565778702473
49;BSX;cenario_in_sample_1x;num_pontos;2;4,879636047672395
50;CI;cenario_in_sample_1x;janela_rsi;28;5,004720056656187
51;CI;cenario_in_sample_1x;ordem;1;4,983719151308544
52;CI;cenario_in_sample_1x;lookback;50;4,821473367448964
53;CI;cenario_in_sample_1x;break_min;3;4,151236112236181
54;CI;cenario_in_sample_1x;num_pontos;2;4,647135046209563
55;CVS;cenario_in_sample_1x;janela_rsi;42;5,0971140276340865
56;CVS;cenario_in_sample_1x;ordem;1;5,302395176765497
57;CVS;cenario_in_sample_1x;lookback;50;4,897789936328278
58;CVS;cenario_in_sample_1x;break_min;3;4,476403043252451
59;CVS;cenario_in_sample_1x;num_pontos;2;4,943192066789105
60;BA;cenario_in_sample_1x;janela_rsi;63;5,966107379408083
61;BA;cenario_in_sample_1x;ordem;1;6,0271678921276495
62;BA;cenario_in_sample_1x;lookback;50;5,31972737235839
63;BA;cenario_in_sample_1x;break_min;3;4,948305317691272
64;BA;cenario_in_sample_1x;num_pontos;2;5,448839291794443
65;GE;cenario_in_sample_1x;janela_rsi;42;5,63801879787683
66;GE;cenario_in_sample_1x;ordem;1;6,506350298246267
67;GE;cenario_in_sample_1x;lookback;50;5,639581252251444
68;GE;cenario_in_sample_1x;break_min;3;5,303026419057182
69;GE;cenario_in_sample_1x;num_pontos;2;5,921395414349717
70;WM;cenario_in_sample_1x;janela_rsi;28;5,6474932783688585
71;WM;cenario_in_sample_1x;ordem;1;6,188325133816363
72;WM;cenario_in_sample_1x;lookback;50;5,261443416876257
73;WM;cenario_in_sample_1x;break_min;3;4,999641789054204
74;WM;cenario_in_sample_1x;num_pontos;2;5,678318966928917
75;ADBE;cenario_in_sample_1x;janela_rsi;35;5,653056739918849
76;ADBE;cenario_in_sample_1x;ordem;1;5,638483443677252
77;ADBE;cenario_in_sample_1x;lookback;50;5,137850933125948
78;ADBE;cenario_in_sample_1x;break_min;3;4,997790778597476
79;ADBE;cenario_in_sample_1x;num_pontos;2;5,277372881632323
80;AAPL;cenario_in_sample_1x;janela_rsi;28;6,05462451992852
81;AAPL;cenario_in_sample_1x;ordem;1;6,209585584869905
82;AAPL;cenario_in_sample_1x;lookback;50;5,448977664326208
83;AAPL;cenario_in_sample_1x;break_min;3;5,146749271011431
84;AAPL;cenario_in_sample_1x;num_pontos;2;5,652909417212063
85;HPQ;cenario_in_sample_1x;janela_rsi;35;4,448722508967117
86;HPQ;cenario_in_sample_1x;ordem;1;4,799439790876884
87;HPQ;cenario_in_sample_1x;lookback;50;3,9053831393804734
88;HPQ;cenario_in_sample_1x;break_min;3;3,832031108117339
89;HPQ;cenario_in_sample_1x;num_pontos;2;4,175113395696991
90;VMC;cenario_in_sample_1x;janela_rsi;63;5,445763812080744
91;VMC;cenario_in_sample_1x;ordem;1;6,056582555554466
92;VMC;cenario_in_sample_1x;lookback;50;5,284047569960572
93;VMC;cenario_in_sample_1x;break_min;3;4,754360908069629
94;VMC;cenario_in_sample_1x;num_pontos;2;5,345836773966705
95;NEM;cenario_in_sample_1x;janela_rsi;28;5,634164567625977
96;NEM;cenario_in_sample_1x;ordem;1;5,806522899977544
97;NEM;cenario_in_sample_1x;lookback;50;5,237478160415857
98;NEM;cenario_in_sample_1x;break_min;3;4,761284718455205
99;NEM;cenario_in_sample_1x;num_pontos;2;5,375406450614171
100;AEP;cenario_in_sample_1x;janela_rsi;63;5,643788646723621
101;AEP;cenario_in_sample_1x;ordem;1;6,494744630131089
102;AEP;cenario_in_sample_1x;lookback;50;5,597665514933595
103;AEP;cenario_in_sample_1x;break_min;3;5,268993836731909
104;AEP;cenario_in_sample_1x;num_pontos;2;6,034786612852673
105;NEE;cenario_in_sample_1x;janela_rsi;35;5,350907913445491
106;NEE;cenario_in_sample_1x;ordem;1;5,4982954754182005
107;NEE;cenario_in_sample_1x;lookback;50;5,277443891937361
108;NEE;cenario_in_sample_1x;break_min;3;4,821017410893101
109;NEE;cenario_in_sample_1x;num_pontos;2;5,1379556292347734
110;CMI;cenario_in_sample_1x;janela_rsi;28;6,0902448890769545
111;CMI;cenario_in_sample_1x;ordem;1;5,787233424988373
112;CMI;cenario_in_sample_1x;lookback;50;5,199765464018851
113;CMI;cenario_in_sample_1x;break_min;3;4,830251723961339
114;CMI;cenario_in_sample_1x;num_pontos;2;5,379542361419748
115;AFL;cenario_in_sample_1x;janela_rsi;21;5,158214293884595
116;AFL;cenario_in_sample_1x;ordem;1;5,252537683933108
117;AFL;cenario_in_sample_1x;lookback;50;4,508990244369457
118;AFL;cenario_in_sample_1x;break_min;3;4,014266786180933
119;AFL;cenario_in_sample_1x;num_pontos;2;4,725902511429876
120;JNJ;cenario_in_sample_1x;janela_rsi;14;5,378716307621134
121;JNJ;cenario_in_sample_1x;ordem;1;5,368240290061024
122;JNJ;cenario_in_sample_1x;lookback;50;4,877920809018794
123;JNJ;cenario_in_sample_1x;break_min;3;4,496665037725833
