;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;
23;2;35;4;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;14,33994219;0,536535305;-34,6826633;69;;35-2-100-4-4-in_sample_1_1x
24;2;42;2;50;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;58,50518495;1,357250125;-28,32994999;128;;42-2-50-2-3-in_sample_1_1x
25;2;42;2;50;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;53,20726801;1,397598794;-22,79367451;114;;42-2-50-2-4-in_sample_1_1x
26;2;42;2;100;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;29,61143376;0,878214749;-28,34436291;102;;42-2-100-2-3-in_sample_1_1x
27;2;42;2;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;23,48973038;0,829557283;-18,69854584;96;;42-2-100-2-4-in_sample_1_1x
28;2;42;3;50;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;56,29760702;1,423729479;-16,31563492;106;;42-2-50-3-3-in_sample_1_1x
29;2;42;3;50;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;48,31370955;1,35352706;-17,04837492;99;;42-2-50-3-4-in_sample_1_1x
30;2;42;3;100;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;32,30884444;1,02439576;-24,60173057;86;;42-2-100-3-3-in_sample_1_1x
31;2;42;3;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;26,1757873;0,979851479;-13,91403261;83;;42-2-100-3-4-in_sample_1_1x
32;2;42;4;50;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;39,79042651;1,261870098;-27,46736801;75;;42-2-50-4-3-in_sample_1_1x
33;2;42;4;50;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;25,39334576;0,911039478;-26,75226135;74;;42-2-50-4-4-in_sample_1_1x
