;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
134;1191,0;1,0;169,0;1191,0;54,79452627464464;1093,0;1183,0
135;1205,0;1,0;170,0;1205,0;66,51377250486134;1104,0;1194,0
136;1206,0;1,0;176,0;1202,0;59,89159639454115;1112,0;1202,0
137;1208,0;2,0;183,0;1208,0;53,39998115540269;1114,0;1204,0
138;1215,0;2,0;182,0;1212,0;53,11283555770616;1122,0;1212,0
139;1219,0;1,0;178,0;1219,0;66,28571781495674;1115,0;1205,0
140;1223,0;2,0;181,0;1223,0;46,09374864182164;1125,0;1215,0
141;1227,0;2,0;168,0;1227,0;37,85714772282947;1080,0;1170,0
142;1238,0;2,0;184,0;1237,0;35,77511066371585;1140,0;1230,0
143;1238,0;2,0;185,0;1238,0;30,755995782854356;1143,0;1233,0
144;1243,0;1,0;180,0;1243,0;26,215264957712137;1146,0;1236,0
145;1252,0;1,0;181,0;1248,0;53,442613109070486;1159,0;1249,0
146;1260,0;2,0;180,0;1260,0;31,74603014416114;1153,0;1243,0
147;1268,0;2,0;195,0;1264,0;27,981675456801185;1175,0;1265,0
148;1285,0;1,0;182,0;1285,0;45,39006324691864;1164,0;1254,0
149;1297,0;2,0;194,0;1297,0;25,203275986257793;1179,0;1269,0
150;1319,0;1,0;183,0;1319,0;39,58332387228033;1196,0;1286,0
151;1324,0;1,0;188,0;1324,0;53,18558868905468;1231,0;1321,0
152;1331,0;1,0;192,0;1331,0;63,40956909794728;1234,0;1324,0
153;1352,0;1,0;193,0;1348,0;60,4462497403028;1259,0;1349,0
154;1357,0;1,0;196,0;1357,0;73,68415475598249;1259,0;1349,0
155;1359,0;2,0;204,0;1358,0;58,80279278057088;1255,0;1345,0
156;1362,0;2,0;203,0;1362,0;52,39727928837701;1260,0;1350,0
157;1371,0;2,0;202,0;1368,0;51,07145046695868;1278,0;1368,0
158;1378,0;2,0;200,0;1378,0;28,991572394382445;1246,0;1336,0
159;1382,0;1,0;199,0;1382,0;40,58575569331742;1277,0;1367,0
160;1400,0;2,0;214,0;1400,0;55,327872376516794;1298,0;1388,0
161;1401,0;1,0;200,0;1398,0;57,05262955007871;1302,0;1392,0
162;1404,0;1,0;194,0;1404,0;73,14486751340368;1241,0;1331,0
163;1405,0;1,0;201,0;1402,0;68,42105967626598;1312,0;1402,0
164;1408,0;2,0;213,0;1408,0;60,5678242928821;1314,0;1404,0
