;indice_original_upper_pivot;resist_slope;resist_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;resist_slope_rounded
0;56,0;-0,2081006198392359;77,49633134021069;65,84269662921348;1;56,0;110,0;3,0;23,0;114,0;0,0;-0,2081
1;56,0;0,1758466252848275;55,995285613263135;65,84269662921348;1;56,0;145,0;3,0;42,0;145,0;7,0;0,17585
2;56,0;0,5561709041230606;34,697125998322086;65,84269662921348;1;25,0;110,0;2,0;23,0;114,0;1,0;0,55617
3;56,0;1,4892408711883363;-17,554792157333353;65,84269662921348;1;42,0;121,0;2,0;42,0;131,0;8,0;1,48924
4;56,0;2,110255880936231;-52,33163270321546;65,84269662921348;1;47,0;132,0;2,0;47,0;136,0;10,0;2,11026
5;121,0;-0,6319423831023763;153,7377556281148;77,27272727272727;1;121,0;152,0;2,0;58,0;157,0;13,0;-0,63194
6;121,0;-0,41991341991341985;128,08225108225108;77,27272727272727;1;121,0;185,0;2,0;74,0;187,0;23,0;-0,41991
7;121,0;0,1758466252848275;55,995285613263135;77,27272727272727;1;56,0;121,0;3,0;31,0;124,0;4,0;0,17585
8;121,0;0,2045117948289389;52,52680009842566;77,27272727272727;1;56,0;148,0;3,0;58,0;149,0;14,0;0,20451
9;121,0;0,8131188099333796;-21,114648729211666;77,27272727272727;1;74,0;163,0;2,0;62,0;163,0;18,0;0,81312
10;121,0;1,1622636622636617;-63,361175861175795;77,27272727272727;1;86,0;180,0;3,0;80,0;182,0;26,0;1,16226
11;121,0;1,4407072486241852;-97,05284981079915;77,27272727272727;1;98,0;185,0;2,0;95,0;187,0;34,0;1,44071
12;132,0;0,028071981834374565;66,61585945646368;70,32136105860113;1;132,0;221,0;3,0;131,0;221,0;45,0;0,02807
13;163,0;-0,8840125391849531;203,730407523511;59,63636363636363;1;163,0;198,0;2,0;108,0;199,0;37,0;-0,88401
14;163,0;-0,41991341991341985;128,08225108225108;59,63636363636363;1;121,0;198,0;2,0;108,0;199,0;38,0;-0,41991
15;163,0;0,22730006561201432;22,5864529416053;59,63636363636363;1;163,0;234,0;4,0;137,0;234,0;47,0;0,2273
16;163,0;1,2097934073242713;-137,5599617574926;59,63636363636363;1;145,0;234,0;2,0;137,0;234,0;48,0;1,20979
17;203,0;-0,3158311808047789;115,48830015010552;51,3745704467354;1;121,0;203,0;2,0;121,0;210,0;42,0;-0,31583
18;212,0;0,28685246708502476;9,425372216069988;70,23809523809524;1;212,0;271,0;3,0;187,0;276,0;81,0;0,28685
19;212,0;2,0959471990399825;-374,10271095838107;70,23809523809524;1;203,0;271,0;2,0;187,0;276,0;82,0;2,09595
20;215,0;0,004338517404439034;69,74867676121518;70,68145800316957;1;132,0;212,0;2,0;125,0;214,0;44,0;0,00434
21;221,0;-1,4050889145681846;383,3444175614292;72,81976744186046;1;221,0;247,0;2,0;148,0;252,0;53,0;-1,40509
22;221,0;-0,6796699747281143;223,0268318567737;72,81976744186046;1;221,0;257,0;2,0;170,0;265,0;69,0;-0,67967
23;221,0;0,13662413413217028;42,62583379865083;72,81976744186046;1;212,0;277,0;5,0;177,0;282,0;73,0;0,13662
24;221,0;0,22730006561201432;22,586452941605295;72,81976744186046;1;163,0;247,0;4,0;148,0;252,0;54,0;0,2273
25;221,0;0,28685246708502476;9,425372216069988;72,81976744186046;1;212,0;277,0;3,0;164,0;282,0;66,0;0,28685
26;267,0;-0,08204674524128919;101,01095859136451;79,1044776119403;1;267,0;322,0;2,0;198,0;323,0;85,0;-0,08205
27;267,0;-0,07747469149901534;99,7902202421774;79,1044776119403;1;267,0;327,0;3,0;237,0;328,0;113,0;-0,07747
28;267,0;-0,020992981988655807;84,7096038029114;79,1044776119403;1;267,0;353,0;3,0;247,0;356,0;117,0;-0,02099
29;267,0;0,13662413413217028;42,62583379865083;79,1044776119403;1;212,0;308,0;5,0;198,0;310,0;86,0;0,13662
30;267,0;0,36788109143722353;-19,119773801798388;79,1044776119403;1;227,0;314,0;3,0;224,0;316,0;106,0;0,36788
31;267,0;1,223755723981866;-247,63830069121792;79,1044776119403;1;234,0;322,0;2,0;232,0;323,0;110,0;1,22376
32;267,0;1,4326304258523894;-303,4078460906477;79,1044776119403;1;239,0;327,0;2,0;237,0;328,0;114,0;1,43263
33;267,0;2,466231991836876;-579,3794642085055;79,1044776119403;1;247,0;327,0;2,0;247,0;336,0;118,0;2,46623
34;267,0;2,9040866354299193;-696,2866540478482;79,1044776119403;1;254,0;337,0;3,0;254,0;343,0;120,0;2,90409
35;267,0;3,0752829260291947;-741,9960636378547;79,1044776119403;1;257,0;345,0;2,0;255,0;346,0;122,0;3,07528
36;271,0;-0,017292753912738632;83,46262694132731;78,77629063097514;1;267,0;357,0;3,0;271,0;360,0;128,0;-0,01729
37;277,0;0,081521442704418;50,162242681345525;72,74368231046931;1;277,0;361,0;2,0;277,0;366,0;129,0;0,08152
38;337,0;-0,8085369711698203;350,1119281569638;77,63496887273439;1;337,0;369,0;3,0;279,0;372,0;130,0;-0,80854
39;337,0;-0,46273363259897504;233,576203058589;77,63496887273439;1;337,0;376,0;2,0;289,0;385,0;136,0;-0,46273
40;337,0;-0,3488709740744604;195,20448713582755;77,63496887273439;1;337,0;402,0;2,0;303,0;408,0;144,0;-0,34887
41;337,0;0,31789727507350135;-29,49641282703557;77,63496887273439;1;283,0;402,0;3,0;279,0;408,0;131,0;0,3179
42;376,0;0,19589887430958405;-14,069619539029233;59,588357201374365;1;357,0;463,0;4,0;376,0;465,0;182,0;0,1959
43;389,0;-0,6310473319711801;304,9710903576515;59,49367822086245;1;389,0;425,0;4,0;322,0;427,0;154,0;-0,63105
44;389,0;-0,5802756680151472;285,22091307875473;59,49367822086245;1;389,0;428,0;4,0;341,0;430,0;168,0;-0,58028
45;389,0;-0,47617208370312764;244,7246187813791;59,49367822086245;1;389,0;435,0;2,0;350,0;439,0;172,0;-0,47617
46;389,0;-0,3488709740744604;195,20448713582755;59,49367822086245;1;337,0;425,0;2,0;322,0;426,0;155,0;-0,34887
47;389,0;-0,11257461825427194;103,28520472177424;59,49367822086245;1;345,0;431,0;3,0;338,0;434,0;167,0;-0,11257
48;389,0;-0,007282998500916558;62,32676463771899;59,49367822086245;1;353,0;435,0;4,0;350,0;439,0;173,0;-0,00728
49;389,0;0,23653524887168417;-32,51853359022269;59,49367822086245;1;389,0;469,0;2,0;379,0;478,0;183,0;0,23654
50;441,0;-0,15108133822521508;118,26431879047111;51,637448633151266;1;345,0;441,0;4,0;351,0;442,0;174,0;-0,15108
51;447,0;0,01605299206360575;53,5524321854586;60,72811963789037;1;353,0;447,0;5,0;357,0;450,0;176,0;0,01605
52;454,0;-0,29897528549701824;210,6032490131682;74,86846939752192;1;454,0;491,0;2,0;392,0;493,0;185,0;-0,29898
53;454,0;-0,2598736934522894;192,8511262248613;74,86846939752192;1;454,0;520,0;5,0;408,0;525,0;195,0;-0,25987
54;454,0;0,19589887430958405;-14,069619539029233;74,86846939752192;1;357,0;454,0;4,0;364,0;462,0;178,0;0,1959
55;454,0;0,4433176241302065;-126,39773195759182;74,86846939752192;1;393,0;482,0;3,0;392,0;482,0;186,0;0,44332
56;454,0;0,4534308940824002;-130,98915651588777;74,86846939752192;1;393,0;491,0;3,0;401,0;491,0;190,0;0,45343
57;454,0;0,8586521494214545;-314,95960643981846;74,86846939752192;1;409,0;501,0;3,0;404,0;505,0;194,0;0,85865
58;454,0;1,2988014103653525;-514,7873709083481;74,86846939752192;1;422,0;509,0;3,0;419,0;511,0;204,0;1,2988
59;454,0;1,3185027653160644;-523,7317860559713;74,86846939752192;1;422,0;509,0;3,0;425,0;514,0;208,0;1,3185
