Date,Open,High,Low,Close,Volume,Evento
2000-01-03,17098.0,17408.0,16719.0,16930.0,0,0
2000-01-04,16908.0,16908.0,15851.0,15851.0,0,0
2000-01-05,15871.0,16302.0,15350.0,16245.0,0,0
2000-01-06,16237.0,16499.0,15977.0,16107.0,0,0
2000-01-07,16125.0,16449.0,16125.0,16309.0,0,0
2000-01-10,16325.0,17057.0,16325.0,17022.0,0,0
2000-01-11,17045.0,17197.0,16573.0,16573.0,0,0
2000-01-12,16574.0,16724.0,16331.0,16617.0,0,0
2000-01-13,16663.0,17715.0,16663.0,17298.0,0,0
2000-01-14,17306.0,17800.0,17306.0,17658.0,0,0
2000-01-17,17678.0,18099.0,17678.0,18053.0,0,0
2000-01-18,18062.0,18062.0,17625.0,17903.0,0,0
2000-01-19,17905.0,18075.0,17470.0,17470.0,0,0
2000-01-20,17487.0,17622.0,17029.0,17177.0,0,0
2000-01-21,17188.0,17372.0,16901.0,17034.0,0,0
2000-01-24,17049.0,17263.0,16972.0,16972.0,0,0
2000-01-26,16972.0,17105.0,16727.0,17105.0,0,0
2000-01-27,17114.0,17422.0,17081.0,17081.0,0,0
2000-01-28,17150.0,17252.0,16547.0,16734.0,0,0
2000-01-31,16744.0,16749.0,16167.0,16388.0,0,0
2000-02-01,16389.0,16675.0,16389.0,16522.0,0,0
2000-02-02,16546.0,16875.0,16546.0,16868.0,0,0
2000-02-03,16892.0,17457.0,16892.0,17457.0,0,0
2000-02-04,17471.0,17962.0,17471.0,17932.0,0,0
2000-02-07,17937.0,18126.0,17746.0,18126.0,0,0
2000-02-08,18249.0,18729.0,18249.0,18686.0,0,0
2000-02-09,18759.0,18886.0,18224.0,18361.0,0,0
2000-02-10,18367.0,18672.0,18155.0,18604.0,0,0
2000-02-11,18635.0,18775.0,18027.0,18083.0,0,0
2000-02-14,18083.0,18264.0,17746.0,17819.0,0,0
2000-02-15,17818.0,17932.0,17451.0,17921.0,0,0
2000-02-16,17921.0,18247.0,17743.0,18112.0,0,0
2000-02-17,18116.0,18297.0,17979.0,17979.0,0,0
2000-02-18,17979.0,18008.0,17489.0,17625.0,0,0
2000-02-21,17626.0,17887.0,17364.0,17700.0,0,0
2000-02-22,17698.0,17913.0,17466.0,17489.0,0,0
2000-02-23,17489.0,17855.0,17479.0,17833.0,0,0
2000-02-24,17846.0,18119.0,17706.0,17776.0,0,0
2000-02-25,17784.0,17988.0,17758.0,17787.0,0,0
2000-02-28,17787.0,17787.0,17383.0,17543.0,0,0
2000-02-29,17545.0,17818.0,17545.0,17660.0,0,0
2000-03-01,17668.0,17953.0,17655.0,17953.0,0,0
2000-03-02,17966.0,18154.0,17809.0,18016.0,0,0
2000-03-03,18016.0,18632.0,18016.0,18632.0,0,0
2000-03-08,18617.0,18617.0,18184.0,18283.0,0,0
2000-03-09,18285.0,18650.0,18285.0,18650.0,0,0
2000-03-10,18650.0,18720.0,18233.0,18280.0,0,0
2000-03-13,18279.0,18279.0,17506.0,17595.0,0,0
2000-03-14,17595.0,17941.0,17222.0,17222.0,0,0
2000-03-15,17229.0,17469.0,16922.0,17382.0,0,0
2000-03-16,17397.0,17661.0,17397.0,17642.0,0,0
2000-03-17,17654.0,17733.0,17470.0,17511.0,0,0
2000-03-20,17511.0,17733.0,17435.0,17526.0,0,0
2000-03-21,17528.0,18343.0,17510.0,18343.0,0,0
2000-03-22,18346.0,18860.0,18314.0,18314.0,0,0
2000-03-23,18314.0,18644.0,18183.0,18331.0,0,0
2000-03-24,18332.0,18692.0,18332.0,18675.0,0,0
2000-03-27,18675.0,19047.0,18533.0,18951.0,0,0
2000-03-28,18952.0,18960.0,18335.0,18338.0,0,0
2000-03-29,18339.0,18575.0,17973.0,18053.0,0,0
2000-03-30,18053.0,18053.0,17455.0,17647.0,0,0
2000-03-31,17660.0,17950.0,17560.0,17820.0,0,0
2000-04-03,17826.0,17826.0,17173.0,17245.0,0,0
2000-04-04,17253.0,17450.0,16095.0,16758.0,0,0
2000-04-05,16762.0,17043.0,16230.0,16714.0,0,0
2000-04-06,16719.0,17152.0,16719.0,17146.0,0,0
2000-04-07,17150.0,17514.0,17150.0,17514.0,0,0
2000-04-10,17519.0,17572.0,16782.0,16783.0,0,0
2000-04-11,16787.0,16867.0,16309.0,16539.0,0,0
2000-04-12,16542.0,16785.0,16311.0,16323.0,0,0
2000-04-13,16325.0,16605.0,15501.0,15501.0,0,0
2000-04-14,15501.0,15501.0,14596.0,14794.0,0,0
2000-04-17,14761.0,14821.0,14029.0,14816.0,0,0
2000-04-18,14817.0,15469.0,14767.0,15408.0,0,0
2000-04-19,15438.0,15536.0,14850.0,14926.0,0,0
2000-04-20,14938.0,15204.0,14938.0,15203.0,0,0
2000-04-24,15204.0,15225.0,14625.0,14794.0,0,0
2000-04-25,14798.0,15403.0,14798.0,15401.0,0,0
2000-04-26,15401.0,15517.0,15268.0,15446.0,0,0
2000-04-27,15446.0,15487.0,14835.0,15440.0,0,0
2000-04-28,15450.0,15907.0,15450.0,15538.0,0,0
2000-05-02,15596.0,15944.0,15523.0,15524.0,0,0
2000-05-03,15525.0,15525.0,14980.0,15109.0,0,0
2000-05-04,15111.0,15144.0,14873.0,14970.0,0,0
2000-05-05,14967.0,15218.0,14811.0,15218.0,0,0
2000-05-08,15220.0,15223.0,14867.0,14891.0,0,0
2000-05-09,14897.0,15041.0,14412.0,14582.0,0,0
2000-05-10,14570.0,14586.0,14238.0,14434.0,0,0
2000-05-11,14447.0,14723.0,14398.0,14499.0,0,0
2000-05-12,14496.0,14638.0,14350.0,14459.0,0,0
2000-05-15,14469.0,15070.0,14397.0,15056.0,0,0
2000-05-16,15074.0,15445.0,15074.0,15360.0,0,0
2000-05-17,15361.0,15361.0,14856.0,14871.0,0,0
2000-05-18,14876.0,14973.0,14620.0,14627.0,0,0
2000-05-19,14594.0,14619.0,13920.0,14327.0,0,0
2000-05-22,14330.0,14369.0,13583.0,13891.0,0,0
2000-05-23,13891.0,14145.0,13583.0,13587.0,0,0
2000-05-24,13592.0,14197.0,13556.0,14166.0,0,0
2000-05-25,14187.0,14499.0,14027.0,14186.0,0,0
2000-05-26,14204.0,14549.0,14172.0,14542.0,0,0
2000-05-29,14541.0,14858.0,14541.0,14773.0,0,0
2000-05-30,14815.0,15308.0,14815.0,15249.0,0,0
2000-05-31,15251.0,15328.0,14931.0,14957.0,0,1
2000-06-01,14967.0,15473.0,14967.0,15450.0,0,0
2000-06-02,15518.0,16261.0,15518.0,16222.0,0,0
2000-06-05,16222.0,16312.0,15975.0,16023.0,0,0
2000-06-06,16018.0,16173.0,15827.0,15947.0,0,0
2000-06-07,15955.0,16278.0,15709.0,16272.0,0,0
2000-06-08,16286.0,16640.0,16227.0,16399.0,0,0
2000-06-09,16421.0,16561.0,16200.0,16342.0,0,0
2000-06-12,16351.0,16365.0,16084.0,16097.0,0,0
2000-06-13,16100.0,16360.0,16075.0,16354.0,0,0
2000-06-14,16365.0,16523.0,16135.0,16366.0,0,0
2000-06-15,16369.0,16630.0,16325.0,16561.0,0,0
2000-06-16,16567.0,16598.0,16379.0,16425.0,0,0
2000-06-19,16423.0,16863.0,16411.0,16850.0,0,0
2000-06-20,16854.0,16952.0,16708.0,16844.0,0,0
2000-06-21,16854.0,17396.0,16834.0,17254.0,0,0
2000-06-23,16977.0,17266.0,16910.0,16977.0,0,0
2000-06-26,16977.0,17019.0,16685.0,16745.0,0,0
2000-06-27,16743.0,16780.0,16388.0,16512.0,0,0
2000-06-28,16532.0,17101.0,16493.0,16842.0,0,0
2000-06-29,16830.0,16850.0,16329.0,16407.0,0,0
2000-06-30,16404.0,16836.0,16400.0,16728.0,0,0
2000-07-03,16747.0,17099.0,16743.0,17089.0,0,2
2000-07-04,17106.0,17340.0,17088.0,17279.0,0,0
2000-07-05,17285.0,17362.0,17086.0,17135.0,0,0
2000-07-06,17148.0,17366.0,17024.0,17348.0,0,0
2000-07-07,17352.0,17754.0,17352.0,17599.0,0,0
2000-07-10,17620.0,17795.0,17444.0,17472.0,0,0
2000-07-11,17473.0,17473.0,16827.0,16881.0,0,0
2000-07-12,16893.0,17176.0,16693.0,17053.0,0,0
2000-07-13,17057.0,17383.0,16416.0,16444.0,0,0
2000-07-14,16439.0,16885.0,16390.0,16881.0,0,0
2000-07-17,16890.0,17395.0,16890.0,17388.0,0,0
2000-07-18,17379.0,17566.0,17281.0,17369.0,0,0
2000-07-19,17354.0,17358.0,16868.0,16928.0,0,0
2000-07-20,16951.0,17353.0,16951.0,17204.0,0,0
2000-07-21,17207.0,17365.0,17071.0,17318.0,0,0
2000-07-24,17314.0,17588.0,17314.0,17386.0,0,0
2000-07-25,17390.0,17530.0,17046.0,17049.0,0,0
2000-07-26,17049.0,17211.0,16840.0,17121.0,0,0
2000-07-27,17121.0,17225.0,16923.0,16949.0,0,0
2000-07-28,16949.0,17039.0,16448.0,16486.0,0,0
2000-07-31,16487.0,16713.0,16455.0,16455.0,0,2
2000-08-01,16475.0,16591.0,16127.0,16290.0,0,0
2000-08-02,16284.0,16535.0,16121.0,16314.0,0,0
2000-08-03,16248.0,16761.0,16073.0,16721.0,0,0
2000-08-04,16727.0,16907.0,16716.0,16761.0,0,0
2000-08-07,16772.0,17014.0,16769.0,16996.0,0,0
2000-08-08,17005.0,17062.0,16858.0,16885.0,0,0
2000-08-09,16894.0,16977.0,16511.0,16534.0,0,0
2000-08-10,16519.0,17023.0,16501.0,16835.0,0,0
2000-08-11,16846.0,17395.0,16705.0,17395.0,0,0
2000-08-14,17402.0,17926.0,17334.0,17811.0,0,0
2000-08-15,17811.0,17910.0,17690.0,17744.0,0,0
2000-08-16,17741.0,17771.0,17275.0,17331.0,0,0
2000-08-17,17326.0,17858.0,17321.0,17703.0,0,0
2000-08-18,17703.0,17780.0,17258.0,17314.0,0,0
2000-08-21,17317.0,17420.0,17066.0,17083.0,0,0
2000-08-22,17086.0,17428.0,17086.0,17224.0,0,0
2000-08-23,17253.0,17455.0,17137.0,17450.0,0,0
2000-08-24,17454.0,17454.0,17187.0,17311.0,0,0
2000-08-25,17316.0,17668.0,17316.0,17643.0,0,0
2000-08-28,17657.0,17686.0,17380.0,17460.0,0,0
2000-08-29,17454.0,17490.0,17235.0,17355.0,0,0
2000-08-30,17359.0,17563.0,17309.0,17414.0,0,0
2000-08-31,17417.0,17563.0,17327.0,17347.0,0,0
2000-09-01,17360.0,17577.0,17360.0,17577.0,0,0
2000-09-04,17577.0,17716.0,17569.0,17613.0,0,0
2000-09-05,17614.0,17639.0,17417.0,17425.0,0,0
2000-09-06,17442.0,17648.0,17442.0,17590.0,0,0
2000-09-08,17594.0,17692.0,17428.0,17433.0,0,2
2000-09-11,17443.0,17475.0,17236.0,17288.0,0,0
2000-09-12,17285.0,17304.0,16883.0,16883.0,0,0
2000-09-13,16888.0,17092.0,16877.0,16999.0,0,0
2000-09-14,17032.0,17108.0,16731.0,16769.0,0,0
2000-09-15,16771.0,16771.0,16515.0,16563.0,0,0
2000-09-18,16562.0,16609.0,15913.0,15913.0,0,0
2000-09-19,15923.0,16189.0,15824.0,16188.0,0,0
2000-09-20,16196.0,16216.0,15813.0,16078.0,0,0
2000-09-21,16065.0,16172.0,15946.0,16146.0,0,0
2000-09-22,16093.0,16426.0,15705.0,16353.0,0,0
2000-09-25,16361.0,16521.0,16318.0,16319.0,0,0
2000-09-26,16319.0,16468.0,16196.0,16255.0,0,0
2000-09-27,16289.0,16404.0,15745.0,15848.0,0,0
2000-09-28,15849.0,16041.0,15657.0,16014.0,0,0
2000-09-29,16020.0,16135.0,15821.0,15928.0,0,0
2000-10-02,15950.0,16090.0,15537.0,15559.0,0,0
2000-10-03,15562.0,15917.0,15562.0,15633.0,0,0
2000-10-04,15653.0,15883.0,15651.0,15876.0,0,0
2000-10-05,15876.0,16398.0,15876.0,16362.0,0,0
2000-10-06,16370.0,16404.0,15817.0,15946.0,0,0
2000-10-09,15946.0,15975.0,15617.0,15855.0,0,0
2000-10-10,15846.0,16008.0,15726.0,15747.0,0,0
2000-10-11,15738.0,15738.0,15463.0,15526.0,0,0
2000-10-13,15441.0,15441.0,15067.0,15385.0,0,0
2000-10-16,15387.0,15585.0,15214.0,15242.0,0,0
2000-10-17,15267.0,15386.0,14841.0,14870.0,0,0
2000-10-18,14837.0,14837.0,14218.0,14421.0,0,0
2000-10-19,14490.0,14869.0,14490.0,14845.0,0,0
2000-10-20,14846.0,14918.0,14490.0,14529.0,0,0
2000-10-23,14533.0,14535.0,13982.0,13990.0,0,0
2000-10-24,14014.0,14161.0,13672.0,13799.0,0,0
2000-10-25,13796.0,13927.0,13571.0,13665.0,0,0
2000-10-26,13705.0,14223.0,13679.0,14223.0,0,0
2000-10-27,14251.0,14700.0,14251.0,14692.0,0,0
2000-10-30,14707.0,14951.0,14489.0,14891.0,0,0
2000-10-31,14916.0,15099.0,14859.0,14867.0,0,0
2000-11-01,14858.0,14859.0,14571.0,14791.0,0,0
2000-11-03,14785.0,14925.0,14425.0,14534.0,0,0
2000-11-06,14534.0,14868.0,14478.0,14801.0,0,0
2000-11-07,14780.0,15029.0,14543.0,14969.0,0,0
2000-11-08,14982.0,15191.0,14650.0,14656.0,0,0
2000-11-09,14667.0,14782.0,14409.0,14524.0,0,0
2000-11-10,14542.0,14701.0,14449.0,14626.0,0,0
2000-11-13,14606.0,14609.0,14199.0,14372.0,0,0
2000-11-14,14395.0,14632.0,14395.0,14540.0,0,0
2000-11-16,14546.0,14575.0,14419.0,14490.0,0,0
2000-11-17,14479.0,14570.0,14091.0,14323.0,0,0
2000-11-20,14323.0,14535.0,14103.0,14500.0,0,0
2000-11-21,14497.0,14845.0,14487.0,14784.0,0,0
2000-11-22,14766.0,14766.0,14555.0,14577.0,0,0
2000-11-23,14579.0,14604.0,14187.0,14314.0,0,0
2000-11-24,14316.0,14413.0,12969.0,14336.0,0,0
2000-11-27,14340.0,14495.0,13941.0,14008.0,0,0
2000-11-28,14011.0,14011.0,13756.0,13914.0,0,0
2000-11-29,13921.0,14074.0,13782.0,13788.0,0,0
2000-11-30,13779.0,13779.0,13287.0,13287.0,0,0
2000-12-01,13303.0,13578.0,13282.0,13437.0,0,0
2000-12-04,13396.0,13538.0,13242.0,13510.0,0,0
2000-12-05,13513.0,14188.0,13513.0,14182.0,0,0
2000-12-06,14180.0,14277.0,13945.0,13945.0,0,0
2000-12-07,13947.0,14460.0,13918.0,14460.0,0,0
2000-12-08,14462.0,15062.0,14461.0,14983.0,0,0
2000-12-11,14991.0,15355.0,14991.0,15188.0,0,0
2000-12-12,15186.0,15186.0,14869.0,14906.0,0,0
2000-12-13,14916.0,15389.0,14900.0,15291.0,0,0
2000-12-14,15261.0,15329.0,15080.0,15259.0,0,0
2000-12-15,15253.0,15253.0,14833.0,14988.0,0,0
2000-12-18,15002.0,15282.0,14093.0,15083.0,0,0
2000-12-19,15085.0,15415.0,15085.0,15336.0,0,0
2000-12-20,15306.0,15328.0,14618.0,14622.0,0,0
2000-12-21,14727.0,14958.0,14461.0,14505.0,0,0
2000-12-22,14533.0,14802.0,14532.0,14652.0,0,0
2000-12-26,14663.0,14851.0,14659.0,14795.0,0,0
2000-12-27,14805.0,15223.0,14805.0,15186.0,0,0
2000-12-28,15188.0,15269.0,15132.0,15259.0,0,0
2001-01-02,15242.0,15621.0,15174.0,15425.0,0,1
2001-01-03,15425.0,16599.0,15251.0,16599.0,0,0
2001-01-04,16597.0,16933.0,16587.0,16675.0,0,0
2001-01-05,16679.0,16888.0,16380.0,16410.0,0,0
2001-01-08,16398.0,16623.0,16226.0,16562.0,0,0
2001-01-09,16566.0,17096.0,16566.0,16976.0,0,0
2001-01-10,16964.0,17093.0,16701.0,16919.0,0,0
2001-01-11,16908.0,17045.0,16797.0,17024.0,0,0
2001-01-12,17034.0,17212.0,16821.0,16850.0,0,0
