,indice,indice_original_lower_pivot,support_slope,support_intercept
0,0.0,0.0,0.0,0.0
1,47.0,328.0,-0.07667351032160759,37.27489321188474
2,105.0,328.0,-0.07993554343241356,33.89380135679189
3,106.0,328.0,-0.07999600923400617,31.54820203999904
4,107.0,328.0,-0.07796456779272871,31.10457801277637
5,108.0,328.0,-0.07434185423978772,30.381770432560142
6,109.0,328.0,-0.07087347660203257,29.693525736437692
7,110.0,328.0,-0.06723010452439489,28.98141877417143
8,111.0,328.0,-0.06344270964038999,28.251394564946175
9,112.0,328.0,-0.05979054637181009,27.552475446572885
10,113.0,328.0,-0.056535059556184715,26.929485681097884
11,114.0,328.0,-0.05236736023780282,26.156106338780013
12,115.0,328.0,-0.04831444608132527,25.41069065778455
13,116.0,328.0,-0.044102963844274035,24.646424231404517
14,117.0,328.0,-0.04005487429326722,23.91819413344009
15,118.0,328.0,-0.03635692232502171,23.256883328481575
16,119.0,328.0,-0.031726587221744484,22.447260443909258
17,120.0,328.0,-0.027104395121779503,21.648249968093324
18,121.0,328.0,-0.022730935319959282,20.89952470567121
19,122.0,328.0,-0.01820276482919249,20.134173809865498
20,123.0,328.0,-0.014097314836022529,19.4467826961496
21,124.0,328.0,-0.009950952269509246,18.760974645538425
22,125.0,328.0,-0.005714402960602963,18.068939254535007
23,126.0,328.0,-0.0011114164401825216,17.32674700830713
24,127.0,328.0,0.003613085229245688,16.574439826427863
25,128.0,328.0,0.008330419876761034,15.832714037349685
26,129.0,328.0,0.013131510442961203,15.087273238333019
27,130.0,328.0,0.017929931665858115,14.351851038004062
28,131.0,328.0,0.022793160517816883,13.615980497616311
29,132.0,328.0,0.02754116191867121,12.907581442402563
30,133.0,328.0,0.032379924700322284,12.194791898728619
31,134.0,328.0,0.03738149022123534,11.466933864250157
32,135.0,328.0,0.04252311209154255,10.727930452055002
33,136.0,328.0,0.047570017676776544,10.013417726361446
34,137.0,328.0,0.05248725399294558,9.328319532929036
35,138.0,328.0,0.057547929684046956,8.63182678463898
36,139.0,328.0,0.06236841260103526,7.980763725525746
37,140.0,328.0,0.06741324810211247,7.306586154969509
38,141.0,328.0,0.07243355955307354,6.646054242682265
39,142.0,328.0,0.07767192873465946,5.9641626400869665
40,143.0,328.0,0.08282589102020733,5.304817961988279
41,144.0,328.0,0.08821491506170699,4.622402439115536
42,145.0,328.0,0.09378350549335472,3.925446103314913
43,146.0,328.0,0.09932843891502281,3.242938929774734
44,147.0,328.0,0.10487620997678353,2.5711271911050186
45,148.0,328.0,0.110097017157454,1.9555320101492768
46,149.0,328.0,0.11538831779299936,1.3407208402370152
47,150.0,328.0,0.12053092508626151,0.7567145661463641
48,151.0,328.0,0.12568791984450348,0.1810511988699588
49,152.0,328.0,0.13077962999428125,-0.3755500413557584
50,153.0,328.0,0.1360018706511762,-0.939328418728504
51,154.0,328.0,0.14134103922416857,-1.5080967997123231
52,155.0,328.0,0.14693573821235795,-2.0996613279409644
53,156.0,328.0,0.15224184610411146,-2.6425196156565605
54,157.0,328.0,0.15752591404539304,-3.1719225339777743
55,158.0,328.0,0.16253463825846773,-3.655513319205941
56,159.0,328.0,0.1670979190121511,-4.072515336665262
57,160.0,328.0,0.17174970006874168,-4.491541830783525
58,161.0,328.0,0.17657483837171484,-4.922934418586426
