indice;indice_original_upper_pivot;valor_rsi;resist_slope;resist_intercept;inicio_janela;fim_janela
0,0;38,0;70,91722070056397;0,2643416258925453;60,87223891664725;22,0;91,0
1,0;38,0;70,91722070056397;1,870748199805314;-0,17121089203796203;22,0;91,0
2,0;84,0;83,07693549162106;-1,8791214494612674;240,9231372463675;24,0;93,0
3,0;84,0;83,07693549162106;0,2643416258925453;60,872238916647255;24,0;93,0
4,0;84,0;83,07693549162106;-1,8791214494612674;240,9231372463675;27,0;96,0
5,0;84,0;83,07693549162106;0,2643416258925453;60,872238916647255;27,0;96,0
6,0;84,0;83,07693549162106;-1,0735007303503874;173,25099684105362;33,0;102,0
7,0;84,0;83,07693549162106;0,2643416258925453;60,872238916647255;33,0;102,0
8,0;84,0;83,07693549162106;-1,0735007303503874;173,25099684105362;38,0;107,0
9,0;84,0;83,07693549162106;0,2643416258925453;60,872238916647255;38,0;107,0
10,0;84,0;83,07693549162106;-0,7700838101862154;147,76397554726316;43,0;112,0
11,0;84,0;83,07693549162106;0,2739400751454672;60,06596917940181;43,0;112,0
12,0;84,0;83,07693549162106;-0,7700838101862154;147,76397554726316;47,0;116,0
13,0;84,0;83,07693549162106;0,2739400751454672;60,06596917940181;47,0;116,0
14,0;84,0;83,07693549162106;-0,7700838101862154;147,76397554726316;48,0;117,0
15,0;84,0;83,07693549162106;0,2815495216772857;59,42677567072906;48,0;117,0
16,0;84,0;83,07693549162106;-0,7700838101862154;147,76397554726316;56,0;125,0
17,0;84,0;83,07693549162106;0,7700981216210584;18,388693275452155;56,0;125,0
18,0;150,0;74,1482869415847;-0,13528255378842965;94,44067000984916;80,0;149,0
19,0;150,0;74,1482869415847;-0,13528255378842965;94,44067000984916;84,0;153,0
20,0;157,0;78,66925408922502;0,22831004908280378;42,82457638322483;87,0;156,0
21,0;94,0;64,28572099700838;0,22831004908280378;42,82457638322482;94,0;163,0
22,0;157,0;78,66925408922502;0,29608949026409853;32,18320411776155;103,0;172,0
23,0;157,0;78,66925408922502;0,4073806612046411;14,710490280096366;113,0;182,0
24,0;157,0;78,66925408922502;-0,7896471961962551;202,64386389203707;115,0;184,0
25,0;157,0;78,66925408922502;0,6458524496629029;-22,729580507850727;115,0;184,0
26,0;213,0;59,05350331244995;-0,35028126387098346;133,66341251696943;143,0;212,0
27,0;213,0;59,05350331244995;-0,4903135703864387;163,4902938047614;150,0;219,0
28,0;213,0;59,05350331244995;-0,35028126387098346;133,66341251696943;150,0;219,0
29,0;157,0;78,66925408922502;-0,35028126387098346;133,66341251696943;157,0;226,0
30,0;185,0;56,55913259572988;0,12716747746043353;33,033149265549675;175,0;244,0
31,0;185,0;56,55913259572988;0,12716747746043353;33,033149265549675;185,0;254,0
32,0;245,0;64,18918124335589;-0,013873771989193356;67,58825538070826;208,0;277,0
33,0;245,0;64,18918124335589;0,16048993534081069;24,869147084857275;208,0;277,0
34,0;245,0;64,18918124335589;-0,013873771989193356;67,58825538070826;213,0;282,0
35,0;245,0;64,18918124335589;0,16048993534081069;24,869147084857275;213,0;282,0
36,0;245,0;64,18918124335589;-0,013873771989193356;67,58825538070826;220,0;289,0
37,0;245,0;64,18918124335589;0,3427149169444405;-19,77597340803203;220,0;289,0
38,0;311,0;76,98542423752028;0,19388246960855132;16,687976189260816;241,0;310,0
39,0;311,0;76,98542423752028;0,19388246960855132;16,687976189260816;245,0;314,0
40,0;255,0;61,90476645744798;0,26929746035843394;-6,766085933952681;255,0;324,0
41,0;311,0;76,98542423752028;-0,12696966977014768;116,4729915360362;267,0;336,0
42,0;311,0;76,98542423752028;0,401638711206296;-47,92421494763778;267,0;336,0
43,0;311,0;76,98542423752028;-0,12696966977014768;116,4729915360362;278,0;347,0
44,0;311,0;76,98542423752028;0,401638711206296;-47,92421494763778;278,0;347,0
45,0;311,0;76,98542423752028;0,0019532149493952196;76,37797438825837;294,0;363,0
46,0;364,0;77,08894462983822;0,0019532149493952196;76,37797438825837;311,0;380,0
47,0;395,0;95,23812118842385;0,37161910974012774;-51,551427158926614;325,0;394,0
48,0;395,0;95,23812118842385;0,37161910974012774;-51,551427158926614;337,0;406,0
49,0;395,0;95,23812118842385;-2,7391508544714678;1177,2027087046536;342,0;411,0
50,0;395,0;95,23812118842385;0,5854573083414717;-136,0175156064575;342,0;411,0
51,0;395,0;95,23812118842385;-0,3153053186870213;219,78372206979725;364,0;433,0
52,0;395,0;95,23812118842385;0,5854573083414717;-136,0175156064575;364,0;433,0
53,0;395,0;95,23812118842385;-0,3153053186870213;219,78372206979725;386,0;455,0
54,0;395,0;95,23812118842385;-0,3153053186870213;219,78372206979725;395,0;464,0
55,0;434,0;82,94121375963002;-0,46052449764629183;282,8088457381207;396,0;465,0
56,0;434,0;82,94121375963002;1,5576662316918692;-593,0859307946412;396,0;465,0
57,0;434,0;82,94121375963002;-0,46052449764629183;282,8088457381207;408,0;477,0
58,0;434,0;82,94121375963002;1,5576662316918692;-593,0859307946412;408,0;477,0
59,0;434,0;82,94121375963002;-0,46052449764629183;282,8088457381207;412,0;481,0
60,0;434,0;82,94121375963002;1,5576662316918692;-593,0859307946412;412,0;481,0
61,0;434,0;82,94121375963002;-0,46052449764629183;282,8088457381207;416,0;485,0
