;ativo;cenario;variavel;melhor_valor;media_de_pontos
0;NOC;cenario_in_sample_1x;janela_rsi;21;6,397872022905237
1;NOC;cenario_in_sample_1x;ordem;2;5,929354083194943
2;NOC;cenario_in_sample_1x;lookback;50;5,975947094616418
3;NOC;cenario_in_sample_1x;break_min;3;5,155039159957438
