;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
3;28;3;50;2;3;3;6;0,02;0,05;ITW;in_sample_1_2x;7,45561971546167;0,5881756659324939;-21,266708223684994;37,0;0,30349211909312945;0,02061009115013703;-44,97209949298405;34,0;10,461521120950934;0,8095415896972153;-11,696624125139898;44,0;7,040861563853072;7,194104631740576;7,1239827552416655;3,0;6,519253815754576
30;28;3;50;2;3;3;6;0,02;0,05;ITW;in_sample_2_2x;8,0407335088444;0,6002697305449978;-27,477953617668348;41,0;-0,8285942476987107;-0,05437449731888817;-32,33938672886067;35,0;11,239557524554167;0,7089121779769578;-17,34982966353722;52,0;7,349367097731975;8,576649495553545;3,243213318449993;3,5294117647058822;6,567717909636985
57;28;3;50;2;3;3;6;0,02;0,05;ITW;in_sample_3_2x;8,236426938682072;0,7548667674299239;-11,623619239056781;17,0;-6,649420742333678;-0,9454848054093419;-21,18664497853151;10,0;10,833542501929227;0,9390982731031638;-8,884182947008657;19,0;8,514487774777306;9,022428314390611;7,773261738155494;7,777777777777778;8,448479924149488
84;28;3;50;2;3;3;6;0,02;0,05;ITW;out_of_sample_val_1;9,332874051040374;0,7917443936780939;-7,558325406335065;7,0;-8,62096616951451;-1,1626943320711933;-12,839001182846943;3,0;11,265788534095545;1,0174705981668715;-5,029109788333585;8,0;9,028039259364784;8,964637026501801;6,7615226765146605;8,0;8,539273501087516
111;28;3;50;2;3;3;6;0,02;0,05;ITW;out_of_sample_val_2;-2,17182755327493;-0,15103069049876888;-19,501147597029178;24,0;-10,72983078114781;-0,7448282857770117;-35,2361327156146;19,0;0,3202332552992404;0,022425434537728578;-13,788788667718233;26,0;7,744754419201132;7,73925990263895;7,336565816003109;7,142857142857143;7,598886574534506
4;28;3;50;2;3;3;6;0,02;0,06;ITW;in_sample_1_2x;6,5143182987013715;0,45894370905532866;-20,8272413954949;36,0;0,30349211909312945;0,02061009115013703;-44,97209949298405;34,0;10,461521120950934;0,8095415896972153;-11,696624125139898;44,0;6,114204023706116;5,5560415411533315;7,256052041504898;2,0;5,530106742132844
31;28;3;50;2;3;3;6;0,02;0,06;ITW;in_sample_2_2x;5,606902983269846;0,3975386156815336;-27,477943921607782;39,0;-0,8285942476987107;-0,05437449731888817;-32,33938672886067;35,0;11,239557524554167;0,7089121779769578;-17,34982966353722;52,0;5,33262868450583;5,92062101470935;3,2432197869937425;2,3529411764705883;4,776469863771503
58;28;3;50;2;3;3;6;0,02;0,06;ITW;in_sample_3_2x;5,493633937096787;0,4815649324018326;-16,534210808646478;17,0;-6,649420742333678;-0,9454848054093419;-21,18664497853151;10,0;10,833542501929227;0,9390982731031638;-8,884182947008657;19,0;6,945650179419813;7,572230452889025;3,7817098382128753;7,777777777777778;6,79155700857545
85;28;3;50;2;3;3;6;0,02;0,06;ITW;out_of_sample_val_1;7,89200963183736;0,6554859484453618;-7,558329334895975;6,0;-8,62096616951451;-1,1626943320711933;-12,839001182846943;3,0;11,265788534095545;1,0174705981668715;-5,029109788333585;8,0;8,303504542324475;8,339645571300965;6,761517646277094;6,0;7,764474630836063
112;28;3;50;2;3;3;6;0,02;0,06;ITW;out_of_sample_val_2;-2,1756325687656397;-0,14858135090222868;-17,80468526543235;23,0;-10,72983078114781;-0,7448282857770117;-35,2361327156146;19,0;0,3202332552992404;0,022425434537728578;-13,788788667718233;26,0;7,741310986223586;7,771183365916981;8,127555286684547;5,714285714285714;7,515448670210712
